Year,OSHPD ID,Disposition,Count
2009,10844,Against Medical Advice,51
2009,10844,Died,5
2009,10844,Home Health Service,480
2009,10844,Other,136
2009,10846,Routine (Home),10858
2009,10846,Acute Care (This Hospital),81
2009,10846,Other Care (This Hospital),335
2009,10846,Skilled Nursing/IC (This Hospital),134
2009,10846,Acute Care (Another Hospital),344
2009,10846,Other Care (Another Hospital),497
2009,10846,Skilled Nursing/IC (Elsewhere),515
2009,10846,Residential Care Facility,517
2009,10846,Prison/Jail,255
2009,10846,Against Medical Advice,169
2009,10846,Died,245
2009,10846,Home Health Service,781
2009,10856,Routine (Home),15113
2009,10856,Acute Care (This Hospital),8
2009,10856,Other Care (This Hospital),6
2009,10856,Acute Care (Another Hospital),398
2009,10856,Other Care (Another Hospital),292
2009,10856,Skilled Nursing/IC (Elsewhere),1665
2009,10856,Residential Care Facility,65
2009,10856,Prison/Jail,3
2009,10856,Against Medical Advice,99
2009,10856,Died,434
2009,10856,Home Health Service,2026
2009,10856,Other,32
2009,10858,Routine (Home),13928
2009,10858,Other Care (This Hospital),5
2009,10858,Acute Care (Another Hospital),573
2009,10858,Other Care (Another Hospital),113
2009,10858,Skilled Nursing/IC (Elsewhere),1874
2009,10858,Residential Care Facility,246
2009,10858,Prison/Jail,2
2009,10858,Against Medical Advice,96
2009,10858,Died,427
2009,10858,Home Health Service,1543
2009,10858,Other,7
2009,10887,Routine (Home),12
2009,10887,Acute Care (Another Hospital),89
2009,10887,Other Care (Another Hospital),30
2009,10887,Skilled Nursing/IC (Elsewhere),220
2009,10887,Residential Care Facility,12
2009,10887,Died,64
2009,10887,Home Health Service,36
2009,10937,Routine (Home),8037
2009,10937,Acute Care (This Hospital),58
2009,10937,Other Care (This Hospital),4
2009,10937,Skilled Nursing/IC (This Hospital),487
2009,10937,Acute Care (Another Hospital),193
2009,10937,Other Care (Another Hospital),264
2009,10937,Skilled Nursing/IC (Elsewhere),2009
2009,10937,Residential Care Facility,51
2009,10937,Prison/Jail,2
2009,10937,Against Medical Advice,159
2009,10937,Died,448
2009,10937,Home Health Service,2834
2009,10937,Other,18
2009,10967,Routine (Home),6313
2009,10967,Acute Care (This Hospital),30
2009,10967,Skilled Nursing/IC (This Hospital),307
2009,10967,Acute Care (Another Hospital),218
2009,10967,Other Care (Another Hospital),60
2009,10967,Skilled Nursing/IC (Elsewhere),832
2009,10967,Residential Care Facility,195
2009,10967,Prison/Jail,5
2009,10967,Against Medical Advice,125
2009,10967,Died,197
2009,10967,Home Health Service,585
2009,10967,Other,25
2009,10987,Routine (Home),10613
2009,10987,Acute Care (Another Hospital),465
2009,10987,Other Care (Another Hospital),194
2009,10987,Skilled Nursing/IC (Elsewhere),1619
2009,10987,Residential Care Facility,181
2009,10987,Prison/Jail,2
2009,10987,Against Medical Advice,93
2009,10987,Died,336
2009,10987,Home Health Service,2192
2009,13619,Routine (Home),2346
2009,13619,Other Care (This Hospital),1
2009,13619,Skilled Nursing/IC (This Hospital),1
2009,13619,Acute Care (Another Hospital),146
2009,13619,Other Care (Another Hospital),155
2009,13619,Skilled Nursing/IC (Elsewhere),736
2009,13619,Residential Care Facility,49
2009,13619,Prison/Jail,1
2009,13619,Against Medical Advice,75
2009,13619,Died,142
2009,13619,Home Health Service,447
2009,13619,Other,124
2009,13687,Routine (Home),557
2009,13687,Acute Care (Another Hospital),2
2009,13687,Other Care (Another Hospital),3
2009,13687,Prison/Jail,2
2009,13687,Against Medical Advice,23
2009,13687,Other,4
2009,14034,Routine (Home),2961
2009,14034,Acute Care (Another Hospital),30
2009,14034,Skilled Nursing/IC (Elsewhere),95
2009,14034,Residential Care Facility,314
2009,14034,Prison/Jail,11
2009,14034,Against Medical Advice,25
2009,14034,Other,2
2009,14050,Routine (Home),6663
2009,14050,Acute Care (This Hospital),63
2009,14050,Other Care (This Hospital),70
2009,14050,Skilled Nursing/IC (This Hospital),420
2009,14050,Acute Care (Another Hospital),177
2009,14050,Other Care (Another Hospital),18
2009,14050,Skilled Nursing/IC (Elsewhere),411
2009,14050,Residential Care Facility,109
2009,14050,Prison/Jail,51
2009,14050,Against Medical Advice,59
2009,14050,Died,198
2009,14050,Home Health Service,1025
2009,14050,Other,158
2009,14207,Routine (Home),1154
2009,14207,Acute Care (Another Hospital),9
2009,14207,Other Care (Another Hospital),41
2009,14207,Residential Care Facility,24
2009,14207,Prison/Jail,2
2009,14207,Against Medical Advice,15
2009,14207,Other,27
2009,14226,Routine (Home),575
2009,14226,Other Care (This Hospital),1
2009,14226,Acute Care (Another Hospital),19
2009,14226,Other Care (Another Hospital),5
2009,14226,Residential Care Facility,35
2009,14226,Prison/Jail,13
2009,14226,Against Medical Advice,1
2009,34002,Routine (Home),1908
2009,34002,Acute Care (Another Hospital),150
2009,34002,Other Care (Another Hospital),3
2009,34002,Skilled Nursing/IC (Elsewhere),231
2009,34002,Residential Care Facility,19
2009,34002,Prison/Jail,33
2009,34002,Against Medical Advice,20
2009,34002,Died,59
2009,34002,Home Health Service,228
2009,34002,Other,7
2009,40802,Routine (Home),506
2009,40802,Acute Care (This Hospital),3
2009,40802,Skilled Nursing/IC (This Hospital),71
2009,40802,Acute Care (Another Hospital),28
2009,40802,Other Care (Another Hospital),9
2009,40802,Skilled Nursing/IC (Elsewhere),66
2009,40802,Against Medical Advice,8
2009,40802,Died,37
2009,40802,Home Health Service,5
2009,40875,Routine (Home),4225
2009,40875,Acute Care (Another Hospital),186
2009,40875,Other Care (Another Hospital),71
2009,40875,Skilled Nursing/IC (Elsewhere),527
2009,40875,Residential Care Facility,9
2009,40875,Against Medical Advice,56
2009,40875,Died,99
2009,40875,Home Health Service,736
2009,40937,Routine (Home),7078
2009,40937,Acute Care (This Hospital),58
2009,40937,Skilled Nursing/IC (This Hospital),447
2009,40937,Acute Care (Another Hospital),309
2009,40937,Other Care (Another Hospital),38
2009,40937,Skilled Nursing/IC (Elsewhere),489
2009,40937,Residential Care Facility,26
2009,40937,Prison/Jail,14
2009,40937,Against Medical Advice,207
2009,40937,Died,188
2009,40937,Home Health Service,563
2009,40962,Routine (Home),11033
2009,40962,Acute Care (This Hospital),91
2009,40962,Other Care (This Hospital),530
2009,40962,Acute Care (Another Hospital),201
2009,40962,Other Care (Another Hospital),60
2009,40962,Skilled Nursing/IC (Elsewhere),1505
2009,40962,Residential Care Facility,44
2009,40962,Prison/Jail,7
2009,40962,Against Medical Advice,155
2009,40962,Died,375
2009,40962,Home Health Service,2052
2009,40962,Other,37
2009,44006,Routine (Home),550
2009,44006,Acute Care (Another Hospital),2
2009,44006,Residential Care Facility,1
2009,44006,Prison/Jail,2
2009,44006,Other,54
2009,50932,Routine (Home),969
2009,50932,Skilled Nursing/IC (This Hospital),24
2009,50932,Acute Care (Another Hospital),103
2009,50932,Other Care (Another Hospital),14
2009,50932,Skilled Nursing/IC (Elsewhere),165
2009,50932,Residential Care Facility,19
2009,50932,Prison/Jail,21
2009,50932,Against Medical Advice,12
2009,50932,Died,57
2009,50932,Home Health Service,154
2009,60870,Routine (Home),1068
2009,60870,Acute Care (This Hospital),10
2009,60870,Skilled Nursing/IC (This Hospital),58
2009,60870,Acute Care (Another Hospital),84
2009,60870,Other Care (Another Hospital),1
2009,60870,Skilled Nursing/IC (Elsewhere),58
2009,60870,Residential Care Facility,11
2009,60870,Prison/Jail,1
2009,60870,Against Medical Advice,16
2009,60870,Died,18
2009,60870,Home Health Service,66
2009,60870,Other,1
2009,70904,Routine (Home),3746
2009,70904,Acute Care (This Hospital),1
2009,70904,Acute Care (Another Hospital),127
2009,70904,Other Care (Another Hospital),74
2009,70904,Skilled Nursing/IC (Elsewhere),998
2009,70904,Residential Care Facility,105
2009,70904,Prison/Jail,221
2009,70904,Against Medical Advice,115
2009,70904,Died,266
2009,70904,Home Health Service,624
2009,70924,Routine (Home),10327
2009,70924,Acute Care (This Hospital),16
2009,70924,Other Care (This Hospital),59
2009,70924,Acute Care (Another Hospital),256
2009,70924,Other Care (Another Hospital),105
2009,70924,Skilled Nursing/IC (Elsewhere),359
2009,70924,Residential Care Facility,273
2009,70924,Prison/Jail,81
2009,70924,Against Medical Advice,179
2009,70924,Died,92
2009,70924,Home Health Service,53
2009,70924,Other,45
2009,70924,Unknown,3
2009,70934,Routine (Home),6225
2009,70934,Acute Care (Another Hospital),238
2009,70934,Other Care (Another Hospital),22
2009,70934,Skilled Nursing/IC (Elsewhere),772
2009,70934,Residential Care Facility,42
2009,70934,Against Medical Advice,136
2009,70934,Died,198
2009,70934,Home Health Service,791
2009,70934,Other,13
2009,70988,Routine (Home),13257
2009,70988,Acute Care (This Hospital),40
2009,70988,Other Care (This Hospital),327
2009,70988,Acute Care (Another Hospital),397
2009,70988,Other Care (Another Hospital),132
2009,70988,Skilled Nursing/IC (Elsewhere),2114
2009,70988,Residential Care Facility,181
2009,70988,Prison/Jail,19
2009,70988,Against Medical Advice,55
2009,70988,Died,456
2009,70988,Home Health Service,2929
2009,70988,Other,113
2009,70990,Routine (Home),14517
2009,70990,Acute Care (This Hospital),13
2009,70990,Other Care (This Hospital),2
2009,70990,Acute Care (Another Hospital),480
2009,70990,Other Care (Another Hospital),141
2009,70990,Skilled Nursing/IC (Elsewhere),1646
2009,70990,Residential Care Facility,247
2009,70990,Prison/Jail,2
2009,70990,Against Medical Advice,76
2009,70990,Died,399
2009,70990,Home Health Service,1425
2009,70990,Other,20
2009,71018,Routine (Home),5156
2009,71018,Acute Care (Another Hospital),179
2009,71018,Other Care (Another Hospital),104
2009,71018,Skilled Nursing/IC (Elsewhere),1274
2009,71018,Residential Care Facility,82
2009,71018,Prison/Jail,11
2009,71018,Against Medical Advice,101
2009,71018,Died,367
2009,71018,Home Health Service,1738
2009,71018,Other,43
2009,74017,Routine (Home),4202
2009,74017,Acute Care (Another Hospital),89
2009,74017,Other Care (Another Hospital),28
2009,74017,Skilled Nursing/IC (Elsewhere),434
2009,74017,Residential Care Facility,50
2009,74017,Prison/Jail,1
2009,74017,Against Medical Advice,19
2009,74017,Died,90
2009,74017,Home Health Service,646
2009,74017,Other,20
2009,74039,Routine (Home),2464
2009,74039,Acute Care (This Hospital),1
2009,74039,Other Care (This Hospital),28
2009,74039,Acute Care (Another Hospital),13
2009,74039,Skilled Nursing/IC (Elsewhere),1
2009,74039,Residential Care Facility,109
2009,74039,Prison/Jail,10
2009,74039,Against Medical Advice,88
2009,74039,Home Health Service,2
2009,74039,Other,60
2009,74097,Routine (Home),6819
2009,74097,Acute Care (This Hospital),2
2009,74097,Acute Care (Another Hospital),240
2009,74097,Other Care (Another Hospital),70
2009,74097,Skilled Nursing/IC (Elsewhere),847
2009,74097,Residential Care Facility,83
2009,74097,Against Medical Advice,51
2009,74097,Died,206
2009,74097,Home Health Service,718
2009,74097,Other,10
2009,84001,Routine (Home),1938
2009,84001,Acute Care (Another Hospital),157
2009,84001,Other Care (Another Hospital),23
2009,84001,Skilled Nursing/IC (Elsewhere),171
2009,84001,Residential Care Facility,1
2009,84001,Prison/Jail,45
2009,84001,Against Medical Advice,27
2009,84001,Died,90
2009,84001,Home Health Service,323
2009,84001,Other,1
2009,90793,Routine (Home),2344
2009,90793,Acute Care (This Hospital),16
2009,90793,Other Care (This Hospital),1
2009,90793,Skilled Nursing/IC (This Hospital),81
2009,90793,Acute Care (Another Hospital),89
2009,90793,Other Care (Another Hospital),12
2009,90793,Skilled Nursing/IC (Elsewhere),31
2009,90793,Residential Care Facility,3
2009,90793,Prison/Jail,2
2009,90793,Against Medical Advice,17
2009,90793,Died,44
2009,90793,Home Health Service,396
2009,90793,Other,2
2009,90933,Routine (Home),4308
2009,90933,Acute Care (This Hospital),32
2009,90933,Skilled Nursing/IC (This Hospital),431
2009,90933,Acute Care (Another Hospital),236
2009,90933,Other Care (Another Hospital),2
2009,90933,Skilled Nursing/IC (Elsewhere),415
2009,90933,Residential Care Facility,44
2009,90933,Prison/Jail,6
2009,90933,Against Medical Advice,42
2009,90933,Died,186
2009,90933,Home Health Service,755
2009,90933,Other,8
2009,94002,Routine (Home),291
2009,94002,Other Care (This Hospital),5
2009,94002,Acute Care (Another Hospital),21
2009,94002,Residential Care Facility,8
2009,94002,Prison/Jail,10
2009,94002,Died,1
2009,94002,Other,1
2009,100005,Routine (Home),11624
2009,100005,Other Care (This Hospital),10
2009,100005,Acute Care (Another Hospital),251
2009,100005,Other Care (Another Hospital),64
2009,100005,Skilled Nursing/IC (Elsewhere),457
2009,100005,Residential Care Facility,32
2009,100005,Against Medical Advice,74
2009,100005,Died,127
2009,100005,Home Health Service,481
2009,100005,Other,19
2009,100697,Routine (Home),378
2009,100697,Acute Care (This Hospital),32
2009,100697,Skilled Nursing/IC (This Hospital),72
2009,100697,Acute Care (Another Hospital),99
2009,100697,Other Care (Another Hospital),5
2009,100697,Skilled Nursing/IC (Elsewhere),8
2009,100697,Residential Care Facility,1
2009,100697,Prison/Jail,618
2009,100697,Against Medical Advice,31
2009,100697,Died,33
2009,100697,Other,1
2009,100717,Routine (Home),32859
2009,100717,Acute Care (This Hospital),177
2009,100717,Other Care (This Hospital),597
2009,100717,Skilled Nursing/IC (This Hospital),227
2009,100717,Acute Care (Another Hospital),408
2009,100717,Other Care (Another Hospital),201
2009,100717,Skilled Nursing/IC (Elsewhere),2197
2009,100717,Residential Care Facility,290
2009,100717,Prison/Jail,526
2009,100717,Against Medical Advice,609
2009,100717,Died,990
2009,100717,Home Health Service,2907
2009,100717,Other,173
2009,100745,Routine (Home),9
2009,100745,Skilled Nursing/IC (This Hospital),1
2009,100745,Acute Care (Another Hospital),21
2009,100745,Skilled Nursing/IC (Elsewhere),3
2009,100745,Prison/Jail,2
2009,100745,Against Medical Advice,2
2009,100745,Died,5
2009,100745,Other,2
2009,100797,Routine (Home),3776
2009,100797,Skilled Nursing/IC (This Hospital),7
2009,100797,Acute Care (Another Hospital),97
2009,100797,Other Care (Another Hospital),14
2009,100797,Skilled Nursing/IC (Elsewhere),87
2009,100797,Residential Care Facility,16
2009,100797,Against Medical Advice,16
2009,100797,Died,16
2009,100797,Home Health Service,26
2009,100797,Other,1
2009,100899,Routine (Home),20472
2009,100899,Acute Care (Another Hospital),334
2009,100899,Other Care (Another Hospital),1033
2009,100899,Skilled Nursing/IC (Elsewhere),2163
2009,100899,Against Medical Advice,178
2009,100899,Died,888
2009,100899,Home Health Service,2618
2009,104023,Routine (Home),788
2009,104023,Acute Care (Another Hospital),128
2009,104023,Skilled Nursing/IC (Elsewhere),122
2009,104023,Against Medical Advice,6
2009,104023,Died,2
2009,104023,Home Health Service,348
2009,104047,Routine (Home),1888
2009,104047,Acute Care (Another Hospital),24
2009,104047,Other Care (Another Hospital),219
2009,104047,Skilled Nursing/IC (Elsewhere),22
2009,104047,Home Health Service,127
2009,104062,Routine (Home),6794
2009,104062,Acute Care (This Hospital),1
2009,104062,Skilled Nursing/IC (This Hospital),2
2009,104062,Acute Care (Another Hospital),198
2009,104062,Other Care (Another Hospital),69
2009,104062,Skilled Nursing/IC (Elsewhere),705
2009,104062,Residential Care Facility,54
2009,104062,Prison/Jail,1
2009,104062,Against Medical Advice,23
2009,104062,Died,215
2009,104062,Home Health Service,698
2009,104062,Other,4
2009,104089,Routine (Home),705
2009,104089,Acute Care (Another Hospital),4
2009,104089,Other Care (Another Hospital),6
2009,104089,Skilled Nursing/IC (Elsewhere),74
2009,104089,Residential Care Facility,31
2009,104089,Prison/Jail,52
2009,104089,Against Medical Advice,13
2009,104089,Other,12
2009,105029,Routine (Home),3160
2009,105029,Acute Care (Another Hospital),13
2009,105029,Other Care (Another Hospital),86
2009,105029,Skilled Nursing/IC (Elsewhere),92
2009,105029,Residential Care Facility,5
2009,105029,Against Medical Advice,6
2009,105029,Died,28
2009,105029,Home Health Service,243
2009,110889,Routine (Home),208
2009,110889,Skilled Nursing/IC (This Hospital),16
2009,110889,Acute Care (Another Hospital),26
2009,110889,Other Care (Another Hospital),1
2009,110889,Skilled Nursing/IC (Elsewhere),38
2009,110889,Prison/Jail,3
2009,110889,Against Medical Advice,6
2009,110889,Died,7
2009,121002,Routine (Home),2082
2009,121002,Acute Care (Another Hospital),83
2009,121002,Other Care (Another Hospital),26
2009,121002,Skilled Nursing/IC (Elsewhere),90
2009,121002,Prison/Jail,1
2009,121002,Against Medical Advice,25
2009,121002,Died,70
2009,121002,Home Health Service,202
2009,121031,Routine (Home),59
2009,121031,Acute Care (This Hospital),1
2009,121031,Skilled Nursing/IC (This Hospital),14
2009,121031,Acute Care (Another Hospital),3
2009,121031,Against Medical Advice,2
2009,121031,Died,4
2009,121051,Routine (Home),1453
2009,121051,Acute Care (This Hospital),2
2009,121051,Skilled Nursing/IC (This Hospital),31
2009,121051,Acute Care (Another Hospital),66
2009,121051,Other Care (Another Hospital),25
2009,121051,Skilled Nursing/IC (Elsewhere),146
2009,121051,Residential Care Facility,12
2009,121051,Prison/Jail,1
2009,121051,Against Medical Advice,12
2009,121051,Died,57
2009,121051,Home Health Service,271
2009,121080,Routine (Home),5362
2009,121080,Acute Care (This Hospital),10
2009,121080,Other Care (This Hospital),98
2009,121080,Acute Care (Another Hospital),78
2009,121080,Other Care (Another Hospital),78
2009,121080,Skilled Nursing/IC (Elsewhere),470
2009,121080,Residential Care Facility,67
2009,121080,Prison/Jail,12
2009,121080,Against Medical Advice,73
2009,121080,Died,191
2009,121080,Home Health Service,842
2009,124004,Routine (Home),569
2009,124004,Other Care (Another Hospital),28
2009,124004,Skilled Nursing/IC (Elsewhere),4
2009,124004,Prison/Jail,7
2009,124004,Against Medical Advice,4
2009,124004,Other,25
2009,130699,Routine (Home),6176
2009,130699,Acute Care (This Hospital),1
2009,130699,Acute Care (Another Hospital),232
2009,130699,Other Care (Another Hospital),81
2009,130699,Skilled Nursing/IC (Elsewhere),198
2009,130699,Residential Care Facility,2
2009,130699,Prison/Jail,22
2009,130699,Against Medical Advice,78
2009,130699,Died,161
2009,130699,Home Health Service,605
2009,130699,Other,57
2009,130760,Routine (Home),6437
2009,130760,Acute Care (Another Hospital),189
2009,130760,Other Care (Another Hospital),52
2009,130760,Skilled Nursing/IC (Elsewhere),202
2009,130760,Residential Care Facility,7
2009,130760,Prison/Jail,174
2009,130760,Against Medical Advice,52
2009,130760,Died,116
2009,130760,Home Health Service,225
2009,130760,Other,4
2009,141273,Routine (Home),1018
2009,141273,Skilled Nursing/IC (This Hospital),1
2009,141273,Acute Care (Another Hospital),56
2009,141273,Other Care (Another Hospital),11
2009,141273,Skilled Nursing/IC (Elsewhere),121
2009,141273,Residential Care Facility,2
2009,141273,Prison/Jail,2
2009,141273,Against Medical Advice,6
2009,141273,Died,31
2009,141273,Home Health Service,35
2009,141273,Other,3
2009,141338,Routine (Home),26
2009,141338,Skilled Nursing/IC (This Hospital),7
2009,141338,Acute Care (Another Hospital),2
2009,141338,Died,14
2009,150706,Routine (Home),4080
2009,150706,Acute Care (This Hospital),16
2009,150706,Skilled Nursing/IC (This Hospital),18
2009,150706,Acute Care (Another Hospital),178
2009,150706,Other Care (Another Hospital),17
2009,150706,Skilled Nursing/IC (Elsewhere),261
2009,150706,Residential Care Facility,2
2009,150706,Prison/Jail,130
2009,150706,Against Medical Advice,21
2009,150706,Died,102
2009,150706,Other,2
2009,150706,Unknown,1
2009,150722,Routine (Home),16193
2009,150722,Acute Care (This Hospital),59
2009,150722,Skilled Nursing/IC (This Hospital),247
2009,150722,Acute Care (Another Hospital),229
2009,150722,Other Care (Another Hospital),529
2009,150722,Skilled Nursing/IC (Elsewhere),864
2009,150722,Residential Care Facility,56
2009,150722,Prison/Jail,710
2009,150722,Against Medical Advice,149
2009,150722,Died,354
2009,150722,Home Health Service,608
2009,150722,Other,202
2009,150722,Unknown,3
2009,150736,Routine (Home),14211
2009,150736,Acute Care (This Hospital),22
2009,150736,Other Care (This Hospital),50
2009,150736,Acute Care (Another Hospital),166
2009,150736,Other Care (Another Hospital),65
2009,150736,Skilled Nursing/IC (Elsewhere),111
2009,150736,Residential Care Facility,131
2009,150736,Prison/Jail,156
2009,150736,Against Medical Advice,272
2009,150736,Died,135
2009,150736,Home Health Service,147
2009,150736,Other,44
2009,150737,Routine (Home),585
2009,150737,Acute Care (This Hospital),57
2009,150737,Skilled Nursing/IC (This Hospital),130
2009,150737,Acute Care (Another Hospital),86
2009,150737,Skilled Nursing/IC (Elsewhere),1
2009,150737,Residential Care Facility,10
2009,150737,Against Medical Advice,21
2009,150737,Died,35
2009,150737,Home Health Service,6
2009,150761,Routine (Home),10771
2009,150761,Acute Care (This Hospital),20
2009,150761,Skilled Nursing/IC (This Hospital),3
2009,150761,Acute Care (Another Hospital),332
2009,150761,Other Care (Another Hospital),269
2009,150761,Skilled Nursing/IC (Elsewhere),713
2009,150761,Residential Care Facility,22
2009,150761,Prison/Jail,1808
2009,150761,Against Medical Advice,121
2009,150761,Died,233
2009,150761,Home Health Service,402
2009,150761,Other,189
2009,150775,Routine (Home),3390
2009,150775,Acute Care (This Hospital),3
2009,150775,Other Care (This Hospital),1
2009,150775,Acute Care (Another Hospital),66
2009,150775,Skilled Nursing/IC (Elsewhere),10
2009,150775,Residential Care Facility,41
2009,150775,Prison/Jail,19
2009,150775,Against Medical Advice,179
2009,150775,Died,3
2009,150775,Home Health Service,2
2009,150782,Routine (Home),2555
2009,150782,Acute Care (Another Hospital),181
2009,150782,Other Care (Another Hospital),4
2009,150782,Skilled Nursing/IC (Elsewhere),211
2009,150782,Against Medical Advice,39
2009,150782,Died,78
2009,150782,Home Health Service,177
2009,150782,Other,1
2009,150788,Routine (Home),14265
2009,150788,Acute Care (This Hospital),8
2009,150788,Other Care (This Hospital),3
2009,150788,Skilled Nursing/IC (This Hospital),19
2009,150788,Acute Care (Another Hospital),316
2009,150788,Other Care (Another Hospital),414
2009,150788,Skilled Nursing/IC (Elsewhere),1294
2009,150788,Residential Care Facility,1
2009,150788,Prison/Jail,1408
2009,150788,Against Medical Advice,272
2009,150788,Died,346
2009,150788,Home Health Service,1084
2009,150788,Other,103
2009,150808,Routine (Home),184
2009,150808,Acute Care (This Hospital),1
2009,150808,Skilled Nursing/IC (This Hospital),10
2009,150808,Acute Care (Another Hospital),20
2009,150808,Against Medical Advice,2
2009,150808,Died,8
2009,150808,Home Health Service,1
2009,154022,Routine (Home),830
2009,154022,Acute Care (Another Hospital),208
2009,154022,Other Care (Another Hospital),1
2009,154022,Skilled Nursing/IC (Elsewhere),136
2009,154022,Against Medical Advice,15
2009,154022,Died,3
2009,154022,Home Health Service,281
2009,154022,Other,4
2009,154101,Routine (Home),2946
2009,154101,Acute Care (Another Hospital),122
2009,154101,Other Care (Another Hospital),165
2009,154101,Skilled Nursing/IC (Elsewhere),239
2009,154101,Residential Care Facility,13
2009,154101,Prison/Jail,2
2009,154101,Against Medical Advice,50
2009,154101,Died,139
2009,154101,Home Health Service,120
2009,154101,Other,27
2009,154147,Routine (Home),492
2009,154147,Other Care (Another Hospital),9
2009,154147,Residential Care Facility,76
2009,154147,Prison/Jail,2
2009,154147,Against Medical Advice,11
2009,154147,Other,4
2009,160702,Routine (Home),205
2009,160702,Skilled Nursing/IC (This Hospital),1
2009,160702,Acute Care (Another Hospital),9
2009,160702,Other Care (Another Hospital),1
2009,160702,Skilled Nursing/IC (Elsewhere),1
2009,160702,Prison/Jail,112
2009,160702,Against Medical Advice,8
2009,160702,Died,2
2009,160725,Routine (Home),7946
2009,160725,Acute Care (Another Hospital),358
2009,160725,Other Care (Another Hospital),35
2009,160725,Skilled Nursing/IC (Elsewhere),850
2009,160725,Residential Care Facility,21
2009,160725,Prison/Jail,21
2009,160725,Against Medical Advice,90
2009,160725,Died,244
2009,160725,Home Health Service,1038
2009,160725,Unknown,47
2009,160787,Routine (Home),5790
2009,160787,Other Care (This Hospital),1
2009,160787,Acute Care (Another Hospital),277
2009,160787,Other Care (Another Hospital),4
2009,160787,Skilled Nursing/IC (Elsewhere),103
2009,160787,Residential Care Facility,2
2009,160787,Prison/Jail,2
2009,160787,Against Medical Advice,44
2009,160787,Died,14
2009,160787,Home Health Service,78
2009,160787,Other,2
2009,160787,Unknown,4
2009,171049,Routine (Home),1298
2009,171049,Skilled Nursing/IC (This Hospital),31
2009,171049,Acute Care (Another Hospital),135
2009,171049,Other Care (Another Hospital),6
2009,171049,Skilled Nursing/IC (Elsewhere),92
2009,171049,Prison/Jail,1
2009,190034,Routine (Home),25132
2009,171049,Against Medical Advice,60
2009,171049,Died,46
2009,171049,Home Health Service,255
2009,171395,Routine (Home),1420
2009,171395,Skilled Nursing/IC (This Hospital),108
2009,171395,Acute Care (Another Hospital),132
2009,171395,Other Care (Another Hospital),7
2009,171395,Skilled Nursing/IC (Elsewhere),218
2009,171395,Residential Care Facility,4
2009,171395,Prison/Jail,4
2009,171395,Against Medical Advice,16
2009,171395,Died,62
2009,171395,Home Health Service,594
2009,171395,Other,4
2009,184008,Routine (Home),1317
2009,184008,Acute Care (Another Hospital),119
2009,184008,Other Care (Another Hospital),4
2009,184008,Skilled Nursing/IC (Elsewhere),88
2009,184008,Prison/Jail,78
2009,184008,Against Medical Advice,4
2009,184008,Died,23
2009,184008,Home Health Service,66
2009,190017,Routine (Home),1652
2009,190017,Acute Care (This Hospital),31
2009,190017,Other Care (This Hospital),106
2009,190017,Skilled Nursing/IC (This Hospital),24
2009,190017,Acute Care (Another Hospital),138
2009,190017,Other Care (Another Hospital),15
2009,190017,Skilled Nursing/IC (Elsewhere),953
2009,190017,Residential Care Facility,21
2009,190017,Prison/Jail,3
2009,190017,Against Medical Advice,86
2009,190017,Died,146
2009,190017,Home Health Service,692
2009,190017,Other,12
2009,190017,Unknown,2
2009,190020,Routine (Home),3844
2009,190020,Acute Care (Another Hospital),32
2009,190020,Other Care (Another Hospital),32
