Year,OSHPD ID,Principal Diagnosis Group,Count
2009,34002,Neoplasms,58
2009,34002,Endocrine/Metabolism,48
2009,34002,Blood/Blood-forming Organs,27
2009,34002,Psychoses & Neurosis,21
2009,34002,Nervous & Sensory Systems,34
2009,34002,Circulatory,302
2009,34002,Respiratory,255
2009,34002,Digestive,322
2009,34002,Genitourinary,161
2009,34002,All Pregnancies,394
2009,34002,Skin Disorders,69
2009,34002,Musculoskeletal,139
2009,34002,Perinatal Disorders,18
2009,34002,Symptoms,171
2009,34002,Injuries/Drugs/Complications,209
2009,34002,Other Reasons for Health Services,1
2009,34002,Births,345
2009,40802,Infections,30
2009,40802,Neoplasms,10
2009,40802,Endocrine/Metabolism,31
2009,40802,Blood/Blood-forming Organs,13
2009,40802,Psychoses & Neurosis,5
2009,40802,Nervous & Sensory Systems,21
2009,40802,Circulatory,111
2009,40802,Respiratory,152
2009,40802,Digestive,74
2009,40802,Genitourinary,44
2009,40802,All Pregnancies,2
2009,40802,Skin Disorders,24
2009,40802,Musculoskeletal,30
2009,40802,Congenital Anomalies (Birth Defects),2
2009,40802,Symptoms,64
2009,40802,Injuries/Drugs/Complications,86
2009,40802,Other Reasons for Health Services,34
2009,40875,Infections,354
2009,40875,Neoplasms,293
2009,40875,Endocrine/Metabolism,134
2009,40875,Blood/Blood-forming Organs,27
2009,40875,Psychoses & Neurosis,27
2009,40875,Nervous & Sensory Systems,81
2009,40875,Circulatory,639
2009,40875,Respiratory,456
2009,40875,Digestive,581
2009,40875,Genitourinary,240
2009,40875,All Pregnancies,1010
2009,40875,Skin Disorders,74
2009,40875,Musculoskeletal,292
2009,40875,Congenital Anomalies (Birth Defects),2
2009,40875,Perinatal Disorders,21
2009,40875,Symptoms,233
2009,40875,Injuries/Drugs/Complications,447
2009,40875,Other Reasons for Health Services,29
2009,40875,Births,969
2009,40937,Infections,450
2009,40937,Neoplasms,250
2009,40937,Endocrine/Metabolism,388
2009,40937,Blood/Blood-forming Organs,70
2009,40937,Psychoses & Neurosis,93
2009,40937,Nervous & Sensory Systems,165
2009,40937,Circulatory,1223
2009,40937,Respiratory,1292
2009,40937,Digestive,1171
2009,40937,Genitourinary,575
2009,40937,All Pregnancies,613
2009,40937,Skin Disorders,354
2009,40937,Musculoskeletal,337
2009,40937,Congenital Anomalies (Birth Defects),1
2009,40937,Perinatal Disorders,21
2009,40937,Symptoms,693
2009,40937,Injuries/Drugs/Complications,712
2009,40937,Other Reasons for Health Services,449
2009,40937,Births,560
2009,40962,Infections,524
2009,40962,Neoplasms,565
2009,40962,Endocrine/Metabolism,526
2009,40962,Blood/Blood-forming Organs,115
2009,40962,Psychoses & Neurosis,738
2009,40962,Nervous & Sensory Systems,234
2009,40962,Circulatory,2482
2009,40962,Respiratory,1439
2009,40962,Digestive,1441
2009,40962,Genitourinary,720
2009,40962,All Pregnancies,1516
2009,40962,Skin Disorders,273
2009,40962,Musculoskeletal,910
2009,40962,Congenital Anomalies (Birth Defects),50
2009,40962,Perinatal Disorders,63
2009,40962,Symptoms,768
2009,40962,Injuries/Drugs/Complications,1561
2009,40962,Other Reasons for Health Services,762
2009,40962,Births,1403
2009,44006,Psychoses & Neurosis,609
2009,50932,Infections,83
2009,50932,Neoplasms,48
2009,50932,Endocrine/Metabolism,84
2009,50932,Blood/Blood-forming Organs,18
2009,50932,Psychoses & Neurosis,27
2009,50932,Nervous & Sensory Systems,55
2009,50932,Circulatory,302
2009,50932,Respiratory,208
2009,50932,Digestive,205
2009,50932,Genitourinary,74
2009,50932,Skin Disorders,44
2009,50932,Musculoskeletal,100
2009,50932,Symptoms,77
2009,50932,Injuries/Drugs/Complications,196
2009,50932,Other Reasons for Health Services,17
2009,60870,Infections,31
2009,60870,Neoplasms,12
2009,60870,Endocrine/Metabolism,51
2009,60870,Blood/Blood-forming Organs,8
2009,60870,Psychoses & Neurosis,7
2009,60870,Nervous & Sensory Systems,37
2009,60870,Circulatory,148
2009,60870,Respiratory,195
2009,60870,Digestive,163
2009,60870,Genitourinary,68
2009,60870,All Pregnancies,258
2009,60870,Skin Disorders,24
2009,60870,Musculoskeletal,16
2009,60870,Congenital Anomalies (Birth Defects),1
2009,60870,Perinatal Disorders,16
2009,60870,Symptoms,36
2009,60870,Injuries/Drugs/Complications,41
2009,60870,Other Reasons for Health Services,64
2009,60870,Births,216
2009,70904,Infections,346
2009,70904,Neoplasms,187
2009,70904,Endocrine/Metabolism,299
2009,70904,Blood/Blood-forming Organs,117
2009,70904,Psychoses & Neurosis,43
2009,70904,Nervous & Sensory Systems,111
2009,70904,Circulatory,1497
2009,70904,Respiratory,934
2009,70904,Digestive,776
2009,70904,Genitourinary,282
2009,70904,All Pregnancies,6
2009,70904,Skin Disorders,184
2009,70904,Musculoskeletal,292
2009,70904,Congenital Anomalies (Birth Defects),2
2009,70904,Symptoms,595
2009,70904,Injuries/Drugs/Complications,583
2009,70904,Other Reasons for Health Services,23
2009,70924,Infections,190
2009,70924,Neoplasms,357
2009,70924,Endocrine/Metabolism,376
2009,70924,Blood/Blood-forming Organs,95
2009,70924,Psychoses & Neurosis,1030
2009,70924,Nervous & Sensory Systems,184
2009,70924,Circulatory,732
2009,70924,Respiratory,572
2009,70924,Digestive,1060
2009,70924,Genitourinary,426
2009,70924,All Pregnancies,2673
2009,70924,Skin Disorders,370
2009,70924,Musculoskeletal,205
2009,70924,Congenital Anomalies (Birth Defects),4
2009,70924,Perinatal Disorders,63
2009,70924,Symptoms,486
2009,70924,Injuries/Drugs/Complications,509
2009,70924,Other Reasons for Health Services,56
2009,70924,Births,2460
2009,70934,Infections,414
2009,70934,Neoplasms,213
2009,70934,Endocrine/Metabolism,337
2009,70934,Blood/Blood-forming Organs,84
2009,70934,Psychoses & Neurosis,56
2009,70934,Nervous & Sensory Systems,146
2009,70934,Circulatory,1155
2009,70934,Respiratory,1136
2009,70934,Digestive,1016
2009,70934,Genitourinary,430
2009,70934,All Pregnancies,1065
2009,70934,Skin Disorders,170
2009,70934,Musculoskeletal,163
2009,70934,Congenital Anomalies (Birth Defects),4
2009,70934,Perinatal Disorders,22
2009,70934,Symptoms,502
2009,70934,Injuries/Drugs/Complications,560
2009,70934,Other Reasons for Health Services,13
2009,70934,Births,951
2009,70988,Infections,548
2009,70988,Neoplasms,878
2009,70988,Endocrine/Metabolism,339
2009,70988,Blood/Blood-forming Organs,136
2009,70988,Psychoses & Neurosis,108
2009,70988,Nervous & Sensory Systems,306
2009,70988,Circulatory,1977
2009,70988,Respiratory,1245
2009,70988,Digestive,1717
2009,70988,Genitourinary,834
2009,70988,All Pregnancies,2970
2009,70988,Skin Disorders,283
2009,70988,Musculoskeletal,1794
2009,70988,Congenital Anomalies (Birth Defects),29
2009,70988,Perinatal Disorders,73
2009,70988,Symptoms,747
2009,70988,Injuries/Drugs/Complications,2731
2009,70988,Other Reasons for Health Services,546
2009,70988,Births,2759
2009,70990,Infections,782
2009,70990,Neoplasms,1122
2009,70990,Endocrine/Metabolism,461
2009,70990,Blood/Blood-forming Organs,166
2009,70990,Psychoses & Neurosis,138
2009,70990,Nervous & Sensory Systems,220
2009,70990,Circulatory,1830
2009,70990,Respiratory,1459
2009,70990,Digestive,1745
2009,70990,Genitourinary,837
2009,70990,All Pregnancies,3557
2009,70990,Skin Disorders,286
2009,70990,Musculoskeletal,796
2009,70990,Congenital Anomalies (Birth Defects),29
2009,70990,Perinatal Disorders,261
2009,70990,Symptoms,658
2009,70990,Injuries/Drugs/Complications,1092
2009,70990,Other Reasons for Health Services,162
2009,70990,Births,3366
2009,71018,Infections,419
2009,71018,Neoplasms,579
2009,71018,Endocrine/Metabolism,456
2009,71018,Blood/Blood-forming Organs,123
2009,71018,Psychoses & Neurosis,103
2009,71018,Nervous & Sensory Systems,160
2009,71018,Circulatory,2078
2009,71018,Respiratory,1043
2009,71018,Digestive,1253
2009,71018,Genitourinary,584
2009,71018,All Pregnancies,26
2009,71018,Skin Disorders,220
2009,71018,Musculoskeletal,622
2009,71018,Congenital Anomalies (Birth Defects),7
2009,71018,Symptoms,532
2009,71018,Injuries/Drugs/Complications,781
2009,71018,Other Reasons for Health Services,69
2009,74017,Infections,166
2009,74017,Neoplasms,250
2009,74017,Endocrine/Metabolism,116
2009,74017,Blood/Blood-forming Organs,48
2009,74017,Psychoses & Neurosis,41
2009,74017,Nervous & Sensory Systems,90
2009,74017,Circulatory,531
2009,74017,Respiratory,469
2009,74017,Digestive,664
2009,74017,Genitourinary,311
2009,74017,All Pregnancies,852
2009,74017,Skin Disorders,131
2009,74017,Musculoskeletal,478
2009,74017,Congenital Anomalies (Birth Defects),8
2009,74017,Perinatal Disorders,17
2009,74017,Symptoms,239
2009,74017,Injuries/Drugs/Complications,346
2009,74017,Other Reasons for Health Services,15
2009,74017,Births,807
2009,74039,Psychoses & Neurosis,2776
2009,74097,Infections,393
2009,74097,Neoplasms,442
2009,74097,Endocrine/Metabolism,248
2009,74097,Blood/Blood-forming Organs,57
2009,74097,Psychoses & Neurosis,87
2009,74097,Nervous & Sensory Systems,101
2009,74097,Circulatory,1054
2009,74097,Respiratory,677
2009,74097,Digestive,912
2009,74097,Genitourinary,599
2009,74097,All Pregnancies,1358
2009,74097,Skin Disorders,139
2009,74097,Musculoskeletal,778
2009,74097,Congenital Anomalies (Birth Defects),5
2009,74097,Perinatal Disorders,69
2009,74097,Symptoms,278
2009,74097,Injuries/Drugs/Complications,546
2009,74097,Other Reasons for Health Services,22
2009,74097,Births,1281
2009,84001,Infections,218
2009,84001,Neoplasms,44
2009,84001,Endocrine/Metabolism,105
2009,84001,Blood/Blood-forming Organs,48
2009,84001,Psychoses & Neurosis,27
2009,84001,Nervous & Sensory Systems,50
2009,84001,Circulatory,324
2009,84001,Respiratory,359
2009,84001,Digestive,397
2009,84001,Genitourinary,155
2009,84001,All Pregnancies,349
2009,84001,Skin Disorders,72
2009,84001,Musculoskeletal,46
2009,84001,Congenital Anomalies (Birth Defects),1
2009,84001,Perinatal Disorders,7
2009,84001,Symptoms,82
2009,84001,Injuries/Drugs/Complications,161
2009,84001,Other Reasons for Health Services,3
2009,84001,Births,328
2009,90793,Infections,65
2009,90793,Neoplasms,70
2009,90793,Endocrine/Metabolism,57
2009,90793,Blood/Blood-forming Organs,18
2009,90793,Psychoses & Neurosis,35
2009,90793,Nervous & Sensory Systems,43
2009,90793,Circulatory,243
2009,90793,Respiratory,239
2009,90793,Digestive,341
2009,90793,Genitourinary,76
2009,90793,All Pregnancies,512
2009,90793,Skin Disorders,45
2009,90793,Musculoskeletal,286
2009,90793,Congenital Anomalies (Birth Defects),3
2009,90793,Perinatal Disorders,13
2009,90793,Symptoms,121
2009,90793,Injuries/Drugs/Complications,367
2009,90793,Other Reasons for Health Services,55
2009,90793,Births,449
2009,90933,Infections,415
2009,90933,Neoplasms,207
2009,90933,Endocrine/Metabolism,120
2009,90933,Blood/Blood-forming Organs,54
2009,90933,Psychoses & Neurosis,61
2009,90933,Nervous & Sensory Systems,137
2009,90933,Circulatory,836
2009,90933,Respiratory,599
2009,90933,Digestive,693
2009,90933,Genitourinary,286
2009,90933,All Pregnancies,640
2009,90933,Skin Disorders,107
2009,90933,Musculoskeletal,389
2009,90933,Congenital Anomalies (Birth Defects),7
2009,90933,Perinatal Disorders,11
2009,90933,Symptoms,389
2009,90933,Injuries/Drugs/Complications,511
2009,90933,Other Reasons for Health Services,418
2009,90933,Births,585
2009,94002,Psychoses & Neurosis,333
2009,94002,Other Reasons for Health Services,4
2009,100005,Infections,252
2009,100005,Neoplasms,575
2009,100005,Endocrine/Metabolism,626
2009,100005,Blood/Blood-forming Organs,50
2009,100005,Psychoses & Neurosis,21
2009,100005,Nervous & Sensory Systems,56
2009,100005,Circulatory,685
2009,100005,Respiratory,580
2009,100005,Digestive,1122
2009,100005,Genitourinary,729
2009,100005,All Pregnancies,3792
2009,100005,Skin Disorders,162
2009,100005,Musculoskeletal,162
2009,100005,Congenital Anomalies (Birth Defects),4
2009,100005,Perinatal Disorders,3
2009,100005,Symptoms,227
2009,100005,Injuries/Drugs/Complications,424
2009,100005,Other Reasons for Health Services,47
2009,100005,Births,3622
2009,100697,Infections,150
2009,100697,Neoplasms,12
2009,100697,Endocrine/Metabolism,63
2009,100697,Blood/Blood-forming Organs,24
2009,100697,Psychoses & Neurosis,10
2009,100697,Nervous & Sensory Systems,18
2009,100697,Circulatory,136
2009,100697,Respiratory,197
2009,100697,Digestive,75
2009,100697,Genitourinary,79
2009,100697,All Pregnancies,3
2009,100697,Skin Disorders,153
2009,100697,Musculoskeletal,25
2009,100697,Perinatal Disorders,6
2009,100697,Symptoms,279
2009,100697,Injuries/Drugs/Complications,42
2009,100697,Other Reasons for Health Services,6
2009,100717,Infections,1422
2009,100717,Neoplasms,1237
2009,100717,Endocrine/Metabolism,1048
2009,100717,Blood/Blood-forming Organs,233
2009,100717,Psychoses & Neurosis,3239
2009,100717,Nervous & Sensory Systems,655
2009,100717,Circulatory,4197
2009,100717,Respiratory,2429
2009,100717,Digestive,3016
2009,100717,Genitourinary,1636
2009,100717,All Pregnancies,7608
2009,100717,Skin Disorders,714
2009,100717,Musculoskeletal,1347
2009,100717,Congenital Anomalies (Birth Defects),53
2009,100717,Perinatal Disorders,132
2009,100717,Symptoms,1753
2009,100717,Injuries/Drugs/Complications,4009
2009,100717,Other Reasons for Health Services,869
2009,100717,Births,6564
2009,100745,Neoplasms,2
2009,100745,Endocrine/Metabolism,2
2009,100745,Nervous & Sensory Systems,6
2009,100745,Circulatory,11
2009,100745,Respiratory,5
2009,100745,Digestive,2
2009,100745,Genitourinary,5
2009,100745,Skin Disorders,1
2009,100745,Musculoskeletal,1
2009,100745,Symptoms,2
2009,100745,Injuries/Drugs/Complications,4
2009,100745,Other Reasons for Health Services,4
2009,100797,Infections,16
2009,100797,Neoplasms,14
2009,100797,Endocrine/Metabolism,74
2009,100797,Blood/Blood-forming Organs,16
2009,100797,Psychoses & Neurosis,5
2009,100797,Nervous & Sensory Systems,14
2009,100797,Circulatory,109
2009,100797,Respiratory,184
2009,100797,Digestive,121
2009,100797,Genitourinary,59
2009,100797,All Pregnancies,1650
2009,100797,Skin Disorders,25
2009,100797,Musculoskeletal,7
2009,100797,Perinatal Disorders,4
2009,100797,Symptoms,120
2009,100797,Injuries/Drugs/Complications,33
2009,100797,Other Reasons for Health Services,6
2009,100797,Births,1599
2009,100899,Infections,964
2009,100899,Neoplasms,1246
2009,100899,Endocrine/Metabolism,960
2009,100899,Blood/Blood-forming Organs,255
2009,100899,Psychoses & Neurosis,112
2009,100899,Nervous & Sensory Systems,395
2009,100899,Circulatory,4587
2009,100899,Respiratory,2113
2009,100899,Digestive,2743
2009,100899,Genitourinary,1513
2009,100899,All Pregnancies,4024
2009,100899,Skin Disorders,397
2009,100899,Musculoskeletal,1302
2009,100899,Congenital Anomalies (Birth Defects),42
2009,100899,Perinatal Disorders,4
2009,100899,Symptoms,1142
2009,100899,Injuries/Drugs/Complications,1981
2009,100899,Other Reasons for Health Services,190
2009,100899,Births,3716
2009,104023,Neoplasms,2
2009,104023,Endocrine/Metabolism,1
2009,104023,Nervous & Sensory Systems,1
2009,104023,Circulatory,6
2009,104023,Digestive,1
2009,104023,Musculoskeletal,3
2009,104023,Congenital Anomalies (Birth Defects),1
2009,104023,Symptoms,1
2009,104023,Injuries/Drugs/Complications,9
2009,104023,Other Reasons for Health Services,1369
2009,104047,Neoplasms,167
2009,104047,Endocrine/Metabolism,57
2009,104047,Nervous & Sensory Systems,6
2009,104047,Circulatory,5
2009,104047,Digestive,17
2009,104047,Genitourinary,250
2009,104047,Skin Disorders,2
2009,104047,Musculoskeletal,1615
2009,104047,Congenital Anomalies (Birth Defects),2
2009,104047,Symptoms,7
2009,104047,Injuries/Drugs/Complications,138
2009,104047,Other Reasons for Health Services,14
2009,104062,Infections,381
2009,104062,Neoplasms,439
2009,104062,Endocrine/Metabolism,386
2009,104062,Blood/Blood-forming Organs,98
2009,104062,Psychoses & Neurosis,45
2009,104062,Nervous & Sensory Systems,80
2009,104062,Circulatory,1377
2009,104062,Respiratory,739
2009,104062,Digestive,850
2009,104062,Genitourinary,425
2009,104062,All Pregnancies,1159
2009,104062,Skin Disorders,109
2009,104062,Musculoskeletal,613
2009,104062,Congenital Anomalies (Birth Defects),6
2009,104062,Perinatal Disorders,57
2009,104062,Symptoms,227
2009,104062,Injuries/Drugs/Complications,626
2009,104062,Other Reasons for Health Services,37
2009,104062,Births,1110
2009,104089,Psychoses & Neurosis,897
2009,105029,Infections,16
2009,105029,Neoplasms,170
2009,105029,Endocrine/Metabolism,1055
2009,105029,Blood/Blood-forming Organs,11
2009,105029,Nervous & Sensory Systems,8
2009,105029,Circulatory,1559
2009,105029,Respiratory,51
2009,105029,Digestive,338
2009,105029,Genitourinary,14
2009,105029,All Pregnancies,1
2009,105029,Skin Disorders,20
2009,105029,Musculoskeletal,11
2009,105029,Congenital Anomalies (Birth Defects),3
2009,105029,Symptoms,107
2009,105029,Injuries/Drugs/Complications,265
2009,105029,Other Reasons for Health Services,4
2009,110889,Infections,1
2009,110889,Neoplasms,4
2009,110889,Endocrine/Metabolism,19
2009,110889,Blood/Blood-forming Organs,7
2009,110889,Psychoses & Neurosis,6
2009,110889,Nervous & Sensory Systems,3
2009,110889,Circulatory,28
2009,110889,Respiratory,73
2009,110889,Digestive,32
2009,110889,Genitourinary,26
2009,110889,All Pregnancies,1
2009,110889,Skin Disorders,10
2009,110889,Musculoskeletal,14
2009,110889,Congenital Anomalies (Birth Defects),1
2009,110889,Symptoms,59
2009,110889,Injuries/Drugs/Complications,21
2009,121002,Infections,96
2009,121002,Neoplasms,57
2009,121002,Endocrine/Metabolism,68
2009,121002,Blood/Blood-forming Organs,24
2009,121002,Psychoses & Neurosis,32
2009,121002,Nervous & Sensory Systems,34
2009,121002,Circulatory,203
2009,121002,Respiratory,287
2009,121002,Digestive,298
2009,121002,Genitourinary,92
2009,121002,All Pregnancies,514
2009,121002,Skin Disorders,98
2009,121002,Musculoskeletal,33
2009,121002,Perinatal Disorders,11
2009,121002,Symptoms,117
2009,121002,Injuries/Drugs/Complications,146
2009,121002,Other Reasons for Health Services,9
2009,121002,Births,460
2009,121031,Infections,2
2009,121031,Neoplasms,4
2009,121031,Endocrine/Metabolism,8
2009,121031,Blood/Blood-forming Organs,5
2009,121031,Psychoses & Neurosis,4
2009,121031,Nervous & Sensory Systems,3
2009,121031,Circulatory,12
2009,121031,Respiratory,14
2009,121031,Digestive,5
2009,121031,Genitourinary,2
2009,121031,Skin Disorders,9
2009,121031,Musculoskeletal,3
2009,121031,Symptoms,3
2009,121031,Injuries/Drugs/Complications,7
2009,121031,Other Reasons for Health Services,2
2009,121051,Infections,46
2009,121051,Neoplasms,67
2009,121051,Endocrine/Metabolism,42
2009,121051,Blood/Blood-forming Organs,13
2009,121051,Psychoses & Neurosis,20
2009,121051,Nervous & Sensory Systems,11
2009,121051,Circulatory,123
2009,121051,Respiratory,220
2009,121051,Digestive,201
2009,121051,Genitourinary,85
