Year,OSHPD ID,Type Of Care,Count
2009,190796,Acute,24347
2009,190796,Physical Rehabilitation,195
2009,190812,Acute,21544
2009,190812,Physical Rehabilitation,256
2009,190814,Psychiatric,3073
2009,190818,Acute,6106
2009,190818,Skilled Nursing/Intermediate Care,816
2009,190818,Psychiatric,563
2009,190854,Acute,3937
2009,190854,Psychiatric,2555
2009,190857,Acute,241
2009,190857,Skilled Nursing/Intermediate Care,16
2009,190859,Acute,9016
2009,190859,Unknown,3
2009,190878,Acute,19906
2009,190878,Skilled Nursing/Intermediate Care,496
2009,190878,Psychiatric,1945
2009,190878,Physical Rehabilitation,345
2009,190883,Acute,11980
2009,190883,Skilled Nursing/Intermediate Care,28
2009,190930,Psychiatric,1918
2009,190949,Acute,11627
2009,190949,Psychiatric,1022
2009,190949,Physical Rehabilitation,196
2009,191216,Acute,1840
2009,191225,Chemical Dependency,649
2009,191227,Acute,23867
2009,191227,Psychiatric,842
2009,191228,Acute,29882
2009,191228,Psychiatric,1296
2009,191231,Acute,14116
2009,191231,Psychiatric,820
2009,191306,Acute,2441
2009,191306,Physical Rehabilitation,1193
2009,191450,Acute,13741
2009,194010,Chemical Dependency,1288
2009,194219,Acute,7033
2009,194219,Psychiatric,181
2009,194219,Chemical Dependency,1
2009,194219,Physical Rehabilitation,1
2009,194967,Psychiatric,103
2009,194981,Psychiatric,111
2009,196035,Acute,18635
2009,196168,Acute,19696
2009,196403,Acute,6511
2009,196404,Skilled Nursing/Intermediate Care,279
2009,196404,Psychiatric,38
2009,201281,Acute,6923
2009,204019,Acute,13031
2009,204019,Skilled Nursing/Intermediate Care,2
2009,204019,Psychiatric,8
2009,204019,Physical Rehabilitation,68
2009,210992,Acute,5948
2009,210993,Acute,526
2009,211006,Acute,10801
2009,211006,Psychiatric,649
2009,214034,Acute,1852
2009,220733,Acute,272
2009,220733,Skilled Nursing/Intermediate Care,43
2009,230949,Acute,1386
2009,230949,Skilled Nursing/Intermediate Care,48
2009,231013,Acute,1211
2009,231013,Skilled Nursing/Intermediate Care,170
2009,231396,Acute,4693
2009,240924,Acute,2475
2009,240942,Acute,13033
2009,244027,Psychiatric,724
2009,250955,Acute,21
2009,250955,Skilled Nursing/Intermediate Care,18
2009,250956,Acute,195
2009,250956,Skilled Nursing/Intermediate Care,89
2009,260011,Acute,747
2009,270744,Acute,11797
2009,270744,Psychiatric,577
2009,270744,Chemical Dependency,7
2009,270777,Acute,2335
2009,270777,Skilled Nursing/Intermediate Care,153
2009,270875,Acute,13378
2009,274043,Acute,9310
2009,274043,Psychiatric,610
2009,274043,Physical Rehabilitation,332
2009,281047,Acute,8999
2009,281047,Physical Rehabilitation,251
2009,281078,Acute,4102
2009,281078,Psychiatric,773
2009,281297,Acute,46
2009,281297,Skilled Nursing/Intermediate Care,262
2009,291023,Acute,6357
2009,291023,Skilled Nursing/Intermediate Care,427
2009,291053,Acute,2186
2009,291053,Skilled Nursing/Intermediate Care,44
2009,300032,Acute,12496
2009,300225,Acute,13553
2009,301097,Acute,780
2009,301097,Skilled Nursing/Intermediate Care,25
2009,301097,Psychiatric,138
2009,301098,Acute,14478
2009,301127,Acute,483
2009,301127,Skilled Nursing/Intermediate Care,109
2009,301132,Acute,28564
2009,301140,Acute,1705
2009,301140,Skilled Nursing/Intermediate Care,12
2009,301140,Psychiatric,253
2009,301140,Chemical Dependency,353
2009,301155,Acute,655
2009,301155,Psychiatric,3416
2009,301175,Acute,21198
2009,301188,Acute,7571
2009,301188,Psychiatric,3106
2009,301205,Acute,32626
2009,301205,Chemical Dependency,454
2009,301209,Acute,3581
2009,301209,Psychiatric,295
2009,301234,Acute,3895
2009,301234,Psychiatric,322
2009,301248,Acute,11230
2009,301248,Psychiatric,372
2009,301248,Chemical Dependency,2
2009,301258,Acute,6479
2009,301258,Skilled Nursing/Intermediate Care,44
2009,301258,Psychiatric,485
2009,301262,Acute,21591
2009,301262,Physical Rehabilitation,372
2009,301279,Acute,15734
2009,301279,Psychiatric,1530
2009,301279,Physical Rehabilitation,220
2009,301283,Acute,9582
2009,301297,Acute,4221
2009,301304,Psychiatric,757
2009,301317,Acute,21128
2009,301317,Physical Rehabilitation,243
2009,301337,Acute,2398
2009,301337,Skilled Nursing/Intermediate Care,24
2009,301337,Psychiatric,738
2009,301337,Chemical Dependency,649
2009,301340,Acute,25388
2009,301340,Psychiatric,1808
2009,301340,Chemical Dependency,1
2009,301342,Acute,17856
2009,301342,Skilled Nursing/Intermediate Care,811
2009,301342,Physical Rehabilitation,478
2009,301357,Acute,174
2009,301357,Skilled Nursing/Intermediate Care,19
2009,301379,Acute,6438
2009,301379,Psychiatric,394
2009,301380,Acute,1008
2009,301566,Acute,13320
2009,301566,Psychiatric,78
2009,304045,Acute,119
2009,304079,Physical Rehabilitation,1162
2009,304113,Acute,2178
2009,304159,Skilled Nursing/Intermediate Care,19
2009,304159,Physical Rehabilitation,51
2009,304426,Psychiatric,293
2009,310791,Acute,4127
2009,311000,Acute,18248
2009,311000,Skilled Nursing/Intermediate Care,7
2009,311000,Physical Rehabilitation,717
2009,314029,Psychiatric,660
2009,320859,Acute,466
2009,320859,Skilled Nursing/Intermediate Care,86
2009,320986,Acute,590
2009,321016,Acute,195
2009,321016,Skilled Nursing/Intermediate Care,34
2009,330120,Chemical Dependency,1041
2009,331152,Acute,10430
2009,331152,Skilled Nursing/Intermediate Care,66
2009,331152,Psychiatric,424
2009,331152,Physical Rehabilitation,171
2009,331164,Acute,19891
2009,331164,Skilled Nursing/Intermediate Care,1040
2009,331164,Psychiatric,1
2009,331164,Physical Rehabilitation,172
2009,331168,Acute,18319
2009,331194,Acute,12320
2009,331194,Skilled Nursing/Intermediate Care,41
2009,331194,Chemical Dependency,739
2009,331216,Acute,11840
2009,331226,Psychiatric,547
2009,331226,Chemical Dependency,390
2009,331288,Acute,1717
2009,331293,Acute,10415
2009,331312,Acute,22695
2009,331326,Acute,4035
2009,331326,Skilled Nursing/Intermediate Care,288
2009,332172,Acute,380
2009,334018,Acute,4113
2009,334025,Acute,19252
2009,334048,Acute,5922
2009,334048,Psychiatric,988
2009,334068,Acute,22981
2009,334457,Psychiatric,732
2009,334487,Acute,19216
2009,334487,Psychiatric,4002
2009,340913,Acute,35955
2009,340947,Acute,20250
2009,340947,Skilled Nursing/Intermediate Care,707
2009,340947,Physical Rehabilitation,329
2009,340950,Acute,20614
2009,340951,Acute,9471
2009,340951,Skilled Nursing/Intermediate Care,699
2009,340951,Unknown,1
2009,341006,Acute,30392
2009,341006,Physical Rehabilitation,277
2009,341051,Acute,11688
2009,341051,Skilled Nursing/Intermediate Care,654
2009,341052,Acute,22471
2009,342344,Acute,14098
2009,342392,Psychiatric,3216
2009,344011,Psychiatric,1742
2009,344017,Psychiatric,2344
2009,344021,Acute,2
2009,344021,Psychiatric,2687
2009,344029,Acute,5625
2009,344035,Acute,314
2009,344114,Acute,1174
2009,344114,Physical Rehabilitation,42
2009,350784,Acute,2909
2009,350784,Skilled Nursing/Intermediate Care,214
2009,361105,Acute,2853
2009,361110,Acute,413
2009,361110,Skilled Nursing/Intermediate Care,7
2009,361144,Acute,6306
2009,361166,Acute,5667
2009,361223,Acute,29599
2009,361223,Chemical Dependency,851
2009,361223,Physical Rehabilitation,94
2009,361246,Acute,32616
2009,361246,Physical Rehabilitation,431
2009,361266,Acute,392
2009,361266,Skilled Nursing/Intermediate Care,33
2009,361274,Acute,1077
2009,361308,Acute,13651
2009,361308,Skilled Nursing/Intermediate Care,720
2009,361308,Psychiatric,730
2009,361318,Acute,17859
2009,361323,Acute,11265
2009,361323,Skilled Nursing/Intermediate Care,126
2009,361323,Psychiatric,1850
2009,361339,Acute,19283
2009,361343,Acute,18584
2009,361370,Acute,7987
2009,361458,Acute,575
2009,362041,Acute,3717
2009,362041,Skilled Nursing/Intermediate Care,605
2009,364014,Psychiatric,3720
2009,364014,Chemical Dependency,708
2009,364050,Psychiatric,4063
2009,364121,Physical Rehabilitation,971
2009,364144,Acute,6416
2009,364188,Acute,769
2009,364188,Unknown,1
2009,364231,Acute,23832
2009,364231,Psychiatric,3497
2009,370652,Acute,8946
2009,370652,Physical Rehabilitation,387
2009,370673,Acute,14542
2009,370673,Skilled Nursing/Intermediate Care,104
2009,370673,Physical Rehabilitation,47
2009,370689,Acute,2545
2009,370689,Skilled Nursing/Intermediate Care,315
2009,370693,Skilled Nursing/Intermediate Care,133
2009,370694,Acute,21120
2009,370694,Physical Rehabilitation,358
2009,370695,Acute,15733
2009,370705,Acute,2909
2009,370705,Skilled Nursing/Intermediate Care,445
2009,370714,Acute,28592
2009,370714,Skilled Nursing/Intermediate Care,133
2009,370714,Psychiatric,1375
2009,370714,Physical Rehabilitation,355
2009,370721,Acute,505
2009,370730,Acute,32491
2009,370744,Acute,32974
2009,370744,Psychiatric,1781
2009,370745,Psychiatric,5405
2009,370749,Psychiatric,1949
2009,370749,Chemical Dependency,268
2009,370755,Acute,22494
2009,370755,Skilled Nursing/Intermediate Care,443
2009,370755,Psychiatric,1073
2009,370755,Physical Rehabilitation,461
2009,370759,Acute,7913
2009,370759,Psychiatric,3463
2009,370759,Physical Rehabilitation,249
2009,370771,Acute,20464
2009,370771,Chemical Dependency,661
2009,370780,Acute,18811
2009,370780,Psychiatric,875
2009,370780,Physical Rehabilitation,169
2009,370782,Acute,23801
2009,370782,Psychiatric,1615
2009,370787,Acute,581
2009,370787,Psychiatric,1296
2009,370875,Acute,17740
2009,370875,Skilled Nursing/Intermediate Care,617
2009,370977,Acute,7399
2009,370977,Skilled Nursing/Intermediate Care,610
2009,370977,Psychiatric,291
2009,371256,Acute,11937
2009,371394,Acute,11052
2009,371394,Physical Rehabilitation,642
2009,374024,Psychiatric,2342
2009,374024,Chemical Dependency,519
2009,374049,Chemical Dependency,213
2009,374055,Skilled Nursing/Intermediate Care,58
2009,374055,Psychiatric,1658
2009,374084,Acute,914
2009,374094,Acute,778
2009,380842,Skilled Nursing/Intermediate Care,535
2009,380842,Psychiatric,9
2009,380857,Acute,15331
2009,380865,Acute,99
2009,380865,Skilled Nursing/Intermediate Care,730
2009,380865,Physical Rehabilitation,32
2009,380868,Psychiatric,687
2009,380929,Acute,30721
2009,380929,Skilled Nursing/Intermediate Care,1647
2009,380929,Psychiatric,584
2009,380929,Physical Rehabilitation,424
2009,380939,Acute,13417
2009,380939,Skilled Nursing/Intermediate Care,464
2009,380939,Psychiatric,2186
2009,380960,Acute,4168
2009,380960,Psychiatric,1420
2009,380960,Physical Rehabilitation,401
2009,380964,Acute,4997
2009,380964,Skilled Nursing/Intermediate Care,458
2009,380965,Acute,5127
2009,380965,Skilled Nursing/Intermediate Care,771
2009,380965,Psychiatric,608
2009,380965,Physical Rehabilitation,396
2009,381154,Acute,30554
2009,382715,Acute,2043
2009,390846,Acute,12366
2009,390923,Acute,9125
2009,390923,Skilled Nursing/Intermediate Care,120
2009,390923,Physical Rehabilitation,191
2009,391010,Acute,10702
2009,391042,Acute,18491
2009,391042,Skilled Nursing/Intermediate Care,621
2009,391056,Acute,4893
2009,392232,Psychiatric,1439
2009,392287,Acute,4295
2009,394003,Psychiatric,1149
2009,394009,Acute,11463
2009,394009,Skilled Nursing/Intermediate Care,97
2009,400466,Acute,2539
2009,400466,Skilled Nursing/Intermediate Care,251
2009,400480,Acute,5551
2009,400524,Acute,6937
2009,400548,Acute,6438
2009,404046,Psychiatric,1139
2009,410782,Acute,2808
2009,410782,Skilled Nursing/Intermediate Care,473
2009,410782,Psychiatric,813
2009,410804,Acute,8510
2009,410806,Acute,5834
2009,410817,Acute,9449
2009,410817,Skilled Nursing/Intermediate Care,777
2009,410828,Skilled Nursing/Intermediate Care,83
2009,410852,Acute,13840
2009,410852,Skilled Nursing/Intermediate Care,1087
2009,410852,Psychiatric,848
2009,410852,Chemical Dependency,343
2009,410852,Physical Rehabilitation,240
2009,410891,Acute,8375
2009,410891,Skilled Nursing/Intermediate Care,35
2009,410891,Psychiatric,951
2009,414018,Acute,462
2009,420483,Acute,1505
2009,420483,Skilled Nursing/Intermediate Care,16
2009,420491,Acute,2873
2009,420491,Skilled Nursing/Intermediate Care,204
2009,420493,Acute,13045
2009,420493,Skilled Nursing/Intermediate Care,523
2009,420514,Acute,19828
2009,420514,Psychiatric,1050
2009,420514,Physical Rehabilitation,607
2009,420522,Acute,300
2009,424002,Psychiatric,420
2009,430705,Acute,11043
2009,430743,Acute,809
2009,430763,Acute,20761
2009,430763,Skilled Nursing/Intermediate Care,7
2009,430763,Psychiatric,781
2009,430779,Acute,20187
2009,430779,Skilled Nursing/Intermediate Care,3
2009,430779,Psychiatric,677
2009,430779,Physical Rehabilitation,295
2009,430837,Acute,16771
2009,430837,Skilled Nursing/Intermediate Care,523
2009,430883,Acute,26351
2009,430883,Psychiatric,1052
2009,430883,Physical Rehabilitation,521
2009,430905,Acute,22959
2009,430905,Psychiatric,905
2009,431506,Acute,14004
2009,434040,Acute,16654
2009,434051,Skilled Nursing/Intermediate Care,16
2009,434138,Acute,4083
2009,434153,Acute,24931
2009,440755,Acute,11216
2009,440755,Skilled Nursing/Intermediate Care,796
2009,440755,Psychiatric,977
2009,440755,Physical Rehabilitation,372
2009,444012,Acute,2833
2009,444013,Acute,7114
2009,450936,Acute,552
2009,450936,Skilled Nursing/Intermediate Care,107
2009,450940,Acute,4611
2009,450949,Acute,16297
2009,454012,Acute,615
2009,454012,Skilled Nursing/Intermediate Care,374
2009,454013,Acute,381
2009,470871,Acute,1501
2009,470871,Skilled Nursing/Intermediate Care,89
2009,470871,Chemical Dependency,2
2009,474007,Acute,1892
2009,480989,Acute,15585
2009,480989,Physical Rehabilitation,848
2009,481015,Psychiatric,1979
2009,481094,Acute,5531
2009,481357,Acute,6795
2009,484001,Acute,2623
2009,484028,Psychiatric,765
2009,484044,Acute,701
2009,490919,Acute,7029
2009,490964,Acute,829
2009,490964,Skilled Nursing/Intermediate Care,93
2009,490964,Unknown,1
2009,491001,Acute,3495
2009,491064,Acute,12607
2009,491064,Physical Rehabilitation,254
2009,491076,Acute,1764
2009,491076,Skilled Nursing/Intermediate Care,445
2009,491338,Acute,1284
2009,491338,Skilled Nursing/Intermediate Care,38
2009,494019,Acute,10967
2009,500852,Acute,21308
2009,500852,Psychiatric,3369
2009,500852,Chemical Dependency,4
2009,500867,Acute,11635
2009,500867,Skilled Nursing/Intermediate Care,595
2009,500939,Acute,23099
2009,500954,Skilled Nursing/Intermediate Care,170
2009,500967,Acute,1804
2009,500967,Skilled Nursing/Intermediate Care,311
2009,504038,Acute,1124
2009,510882,Acute,8285
2009,514001,Psychiatric,325
2009,514030,Acute,241
2009,514033,Psychiatric,542
2009,514037,Psychiatric,251
2009,521041,Acute,4450
2009,521041,Skilled Nursing/Intermediate Care,18
2009,531059,Acute,397
2009,531059,Skilled Nursing/Intermediate Care,21
2009,540734,Acute,24093
2009,540734,Skilled Nursing/Intermediate Care,413
2009,540734,Psychiatric,648
2009,540734,Physical Rehabilitation,451
2009,540798,Acute,9786
2009,540798,Skilled Nursing/Intermediate Care,33
2009,540816,Acute,6715
2010,190053,Acute,14168
2009,551061,Skilled Nursing/Intermediate Care,10
2009,554011,Acute,4968
2009,554011,Skilled Nursing/Intermediate Care,353
2009,560203,Psychiatric,3335
2009,560473,Acute,15557
2009,560481,Acute,13992
2009,560481,Psychiatric,2894
2009,560481,Unknown,1
2009,560492,Acute,14404
2009,560492,Skilled Nursing/Intermediate Care,706
2009,560492,Physical Rehabilitation,181
2009,560492,Unknown,1
2009,560501,Acute,766
2009,560501,Skilled Nursing/Intermediate Care,299
2009,560508,Acute,3567
2009,560508,Skilled Nursing/Intermediate Care,42
2009,560525,Acute,5809
2009,560525,Skilled Nursing/Intermediate Care,644
2009,560529,Acute,12921
2009,560529,Physical Rehabilitation,387
2009,560838,Psychiatric,204
2009,564121,Acute,952
2009,571086,Acute,4103
2009,571086,Psychiatric,689
2009,574010,Acute,4709
2009,580996,Acute,7142
2010,10735,Acute,2514
2010,10735,Skilled Nursing/Intermediate Care,100
2010,10739,Acute,25112
2010,10776,Acute,10831
2010,10776,Physical Rehabilitation,161
2010,10782,Chemical Dependency,186
2010,10805,Acute,9795
2010,10805,Psychiatric,407
2010,10844,Skilled Nursing/Intermediate Care,8
2010,10844,Psychiatric,2748
2010,10844,Physical Rehabilitation,757
2010,10846,Acute,11178
2010,10846,Skilled Nursing/Intermediate Care,165
2010,190315,Acute,13991
2010,10846,Psychiatric,2991
2010,10846,Physical Rehabilitation,506
2010,10856,Acute,20512
2010,10858,Acute,18010
2010,10887,Acute,472
2010,10937,Acute,13080
2010,10937,Skilled Nursing/Intermediate Care,874
2010,10967,Acute,8205
2010,10967,Skilled Nursing/Intermediate Care,293
2010,10987,Acute,14834
2010,13619,Acute,4024
2010,13687,Chemical Dependency,561
2010,14034,Psychiatric,3445
2010,14050,Acute,8499
2010,14050,Skilled Nursing/Intermediate Care,505
2010,14050,Psychiatric,227
2010,14207,Psychiatric,1373
2010,14226,Psychiatric,586
2010,34002,Acute,2575
2010,40802,Acute,720
2010,40802,Skilled Nursing/Intermediate Care,50
2010,40875,Acute,6126
2010,40937,Acute,9474
2010,40937,Skilled Nursing/Intermediate Care,622
2010,40962,Acute,14927
2010,40962,Psychiatric,664
2010,40962,Physical Rehabilitation,533
2010,44006,Psychiatric,658
2010,50932,Acute,1470
2010,50932,Skilled Nursing/Intermediate Care,29
2010,60870,Acute,1245
2010,60870,Skilled Nursing/Intermediate Care,86
2010,70904,Acute,6094
2010,70924,Acute,10676
2010,70924,Psychiatric,871
2010,70934,Acute,8711
2010,70988,Acute,19087
2010,70988,Physical Rehabilitation,468
2010,70990,Acute,18322
2010,71018,Acute,8998
2010,74017,Acute,5501
2010,74017,Psychiatric,2
2010,74039,Psychiatric,2181
2010,74039,Chemical Dependency,609
2010,74097,Acute,9389
2010,84001,Acute,2805
2010,90793,Acute,2708
2010,90793,Skilled Nursing/Intermediate Care,55
2010,90933,Acute,5785
2010,90933,Skilled Nursing/Intermediate Care,243
2010,94002,Psychiatric,333
2010,100005,Acute,12822
2010,100697,Acute,979
2010,100697,Skilled Nursing/Intermediate Care,67
2010,100717,Acute,38656
2010,100717,Skilled Nursing/Intermediate Care,469
