Year,OSHPD ID,Principal_Procedure_Group,Count
2009,10887,Skin,68
2009,10887,Diagnostic/Therapeutic,242
2009,10937,Nervous System,80
2009,10937,Endocrine System,51
2009,10937,Eye,11
2009,10937,Ear,1
2009,10937,Nose/Mouth/Pharynx,39
2009,10937,Respiratory,492
2009,10937,Cardiovascular,3701
2009,10937,Blood/Lymph Organs,69
2009,10937,Digestive,1585
2009,10937,Urinary,108
2009,10937,Male Reproductive Organs,63
2009,10937,Female Reproductive Organs,197
2009,10937,Musculoskeletal,979
2009,10937,Skin,374
2009,10937,Diagnostic/Therapeutic,2635
2009,10937,Other Interventions,45
2009,10967,Nervous System,29
2009,10967,Endocrine System,7
2009,10967,Eye,3
2009,10967,Nose/Mouth/Pharynx,4
2009,10967,Respiratory,128
2009,10967,Cardiovascular,861
2009,10967,Blood/Lymph Organs,17
2009,10967,Digestive,775
2009,10967,Urinary,49
2009,10967,Male Reproductive Organs,19
2009,10967,Female Reproductive Organs,181
2009,10967,OB Procedures,1259
2009,10967,Musculoskeletal,377
2009,10967,Skin,230
2009,10967,Diagnostic/Therapeutic,477
2009,10967,Other Interventions,20
2009,10987,Nervous System,185
2009,10987,Endocrine System,50
2009,10987,Eye,4
2009,10987,Ear,2
2009,10987,Nose/Mouth/Pharynx,149
2009,10987,Respiratory,220
2009,10987,Cardiovascular,1685
2009,10987,Blood/Lymph Organs,36
2009,10987,Digestive,1259
2009,10987,Urinary,80
2009,10987,Male Reproductive Organs,260
2009,10987,Female Reproductive Organs,154
2009,10987,OB Procedures,2398
2009,10987,Musculoskeletal,1684
2009,10987,Skin,267
2009,10987,Diagnostic/Therapeutic,1532
2009,10987,Other Interventions,93
2009,13619,Nervous System,15
2009,13619,Endocrine System,3
2009,13619,Nose/Mouth/Pharynx,4
2009,13619,Respiratory,66
2009,13619,Cardiovascular,581
2009,13619,Blood/Lymph Organs,15
2009,13619,Digestive,513
2009,13619,Urinary,31
2009,13619,Male Reproductive Organs,11
2009,13619,Female Reproductive Organs,1
2009,13619,Musculoskeletal,243
2009,13619,Skin,96
2009,13619,Diagnostic/Therapeutic,390
2009,13619,Other Interventions,6
2009,13687,Diagnostic/Therapeutic,582
2009,14050,Nervous System,168
2009,14050,Endocrine System,7
2009,14050,Eye,2
2009,14050,Ear,1
2009,14050,Nose/Mouth/Pharynx,18
2009,14050,Respiratory,124
2009,14050,Cardiovascular,658
2009,14050,Blood/Lymph Organs,17
2009,14050,Digestive,917
2009,14050,Urinary,54
2009,14050,Male Reproductive Organs,13
2009,14050,Female Reproductive Organs,133
2009,14050,OB Procedures,1383
2009,14050,Musculoskeletal,865
2009,14050,Skin,92
2009,14050,Diagnostic/Therapeutic,1219
2009,14050,Other Interventions,37
2009,14207,Diagnostic/Therapeutic,1271
2009,14226,Diagnostic/Therapeutic,614
2009,34002,Nervous System,18
2009,34002,Nose/Mouth/Pharynx,1
2009,34002,Respiratory,36
2009,34002,Cardiovascular,80
2009,34002,Blood/Lymph Organs,4
2009,34002,Digestive,224
2009,34002,Urinary,50
2009,34002,Male Reproductive Organs,28
2009,34002,Female Reproductive Organs,79
2009,34002,OB Procedures,369
2009,34002,Musculoskeletal,245
2009,34002,Skin,45
2009,34002,Diagnostic/Therapeutic,807
2009,34002,Other Interventions,5
2009,40802,Respiratory,1
2009,40802,Cardiovascular,3
2009,40802,Digestive,36
2009,40802,Musculoskeletal,61
2009,40802,Skin,12
2009,40802,Diagnostic/Therapeutic,46
2009,40875,Nervous System,18
2009,40875,Endocrine System,14
2009,40875,Eye,3
2009,40875,Ear,1
2009,40875,Nose/Mouth/Pharynx,12
2009,40875,Respiratory,134
2009,40875,Cardiovascular,447
2009,40875,Blood/Lymph Organs,11
2009,40875,Digestive,503
2009,40875,Urinary,51
2009,40875,Male Reproductive Organs,269
2009,40875,Female Reproductive Organs,211
2009,40875,OB Procedures,968
2009,40875,Musculoskeletal,417
2009,40875,Skin,83
2009,40875,Diagnostic/Therapeutic,651
2009,40875,Other Interventions,25
2009,40937,Nervous System,37
2009,40937,Endocrine System,12
2009,40937,Eye,2
2009,40937,Ear,2
2009,40937,Nose/Mouth/Pharynx,46
2009,40937,Respiratory,258
2009,40937,Cardiovascular,316
2009,40937,Blood/Lymph Organs,6
2009,40937,Digestive,828
2009,40937,Urinary,83
2009,40937,Male Reproductive Organs,36
2009,40937,Female Reproductive Organs,241
2009,40937,OB Procedures,565
2009,40937,Musculoskeletal,444
2009,40937,Skin,200
2009,40937,Diagnostic/Therapeutic,3796
2009,40937,Other Interventions,6
2009,40962,Nervous System,253
2009,40962,Endocrine System,64
2009,40962,Eye,10
2009,40962,Ear,10
2009,40962,Nose/Mouth/Pharynx,55
2009,40962,Respiratory,317
2009,40962,Cardiovascular,1814
2009,40962,Blood/Lymph Organs,67
2009,40962,Digestive,1359
2009,40962,Urinary,171
2009,40962,Male Reproductive Organs,347
2009,40962,Female Reproductive Organs,173
2009,40962,OB Procedures,1366
2009,40962,Musculoskeletal,1396
2009,40962,Skin,295
2009,40962,Diagnostic/Therapeutic,1728
2009,40962,Other Interventions,28
2009,44006,Diagnostic/Therapeutic,322
2009,50932,Nervous System,14
2009,50932,Respiratory,24
2009,50932,Cardiovascular,48
2009,50932,Blood/Lymph Organs,4
2009,50932,Digestive,109
2009,50932,Urinary,9
2009,50932,Musculoskeletal,136
2009,50932,Skin,29
2009,50932,Diagnostic/Therapeutic,278
2009,50932,Other Interventions,2
2009,60870,Nervous System,13
2009,60870,Nose/Mouth/Pharynx,1
2009,60870,Respiratory,3
2009,60870,Cardiovascular,7
2009,60870,Digestive,82
2009,60870,Urinary,1
2009,60870,Female Reproductive Organs,2
2009,60870,OB Procedures,221
2009,60870,Musculoskeletal,4
2009,60870,Skin,16
2009,60870,Diagnostic/Therapeutic,295
2009,70904,Nervous System,48
2009,70904,Endocrine System,5
2009,70904,Eye,2
2009,70904,Nose/Mouth/Pharynx,9
2009,70904,Respiratory,146
2009,70904,Cardiovascular,851
2009,70904,Blood/Lymph Organs,21
2009,70904,Digestive,712
2009,70904,Urinary,62
2009,70904,Male Reproductive Organs,23
2009,70904,Female Reproductive Organs,7
2009,70904,Musculoskeletal,431
2009,70904,Skin,112
2009,70904,Diagnostic/Therapeutic,754
2009,70904,Other Interventions,34
2009,70924,Nervous System,91
2009,70924,Endocrine System,12
2009,70924,Eye,2
2009,70924,Ear,1
2009,70924,Nose/Mouth/Pharynx,20
2009,70924,Respiratory,83
2009,70924,Cardiovascular,161
2009,70924,Blood/Lymph Organs,36
2009,70924,Digestive,802
2009,70924,Urinary,78
2009,70924,Male Reproductive Organs,17
2009,70924,Female Reproductive Organs,259
2009,70924,OB Procedures,2388
2009,70924,Musculoskeletal,279
2009,70924,Skin,314
2009,70924,Diagnostic/Therapeutic,406
2009,70924,Other Interventions,1
2009,70934,Nervous System,51
2009,70934,Endocrine System,21
2009,70934,Eye,1
2009,70934,Nose/Mouth/Pharynx,15
2009,70934,Respiratory,80
2009,70934,Cardiovascular,789
2009,70934,Blood/Lymph Organs,12
2009,70934,Digestive,790
2009,70934,Urinary,163
2009,70934,Male Reproductive Organs,98
2009,70934,Female Reproductive Organs,126
2009,70934,OB Procedures,965
2009,70934,Musculoskeletal,309
2009,70934,Skin,124
2009,70934,Diagnostic/Therapeutic,1651
2009,70934,Other Interventions,4
2009,70988,Nervous System,492
2009,70988,Endocrine System,81
2009,70988,Eye,34
2009,70988,Ear,5
2009,70988,Nose/Mouth/Pharynx,54
2009,70988,Respiratory,446
2009,70988,Cardiovascular,1261
2009,70988,Blood/Lymph Organs,56
2009,70988,Digestive,1723
2009,70988,Urinary,183
2009,70988,Male Reproductive Organs,805
2009,70988,Female Reproductive Organs,586
2009,70988,OB Procedures,2715
2009,70988,Musculoskeletal,2450
2009,70988,Skin,478
2009,70988,Diagnostic/Therapeutic,2837
2009,70988,Other Interventions,125
2009,70990,Nervous System,133
2009,70990,Endocrine System,39
2009,70990,Eye,5
2009,70990,Ear,11
2009,70990,Nose/Mouth/Pharynx,139
2009,70990,Respiratory,352
2009,70990,Cardiovascular,858
2009,70990,Blood/Lymph Organs,80
2009,70990,Digestive,1692
2009,70990,Urinary,254
2009,70990,Male Reproductive Organs,1180
2009,70990,Female Reproductive Organs,396
2009,70990,OB Procedures,3288
2009,70990,Musculoskeletal,1206
2009,70990,Skin,244
2009,70990,Diagnostic/Therapeutic,4869
2009,70990,Other Interventions,65
2009,71018,Nervous System,76
2009,71018,Endocrine System,12
2009,71018,Eye,2
2009,71018,Nose/Mouth/Pharynx,21
2009,71018,Respiratory,299
2009,71018,Cardiovascular,1752
2009,71018,Blood/Lymph Organs,29
2009,71018,Digestive,1368
2009,71018,Urinary,149
2009,71018,Male Reproductive Organs,134
2009,71018,Female Reproductive Organs,222
2009,71018,Musculoskeletal,743
2009,71018,Skin,178
2009,71018,Diagnostic/Therapeutic,781
2009,71018,Other Interventions,17
2009,74017,Nervous System,112
2009,74017,Endocrine System,20
2009,74017,Nose/Mouth/Pharynx,7
2009,74017,Respiratory,110
2009,74017,Cardiovascular,373
2009,74017,Blood/Lymph Organs,18
2009,74017,Digestive,683
2009,74017,Urinary,94
2009,74017,Male Reproductive Organs,231
2009,74017,Female Reproductive Organs,161
2009,74017,OB Procedures,792
2009,74017,Musculoskeletal,500
2009,74017,Skin,78
2009,74017,Diagnostic/Therapeutic,351
2009,74017,Other Interventions,14
2009,74097,Nervous System,53
2009,74097,Endocrine System,7
2009,74097,Nose/Mouth/Pharynx,23
2009,74097,Respiratory,109
2009,74097,Cardiovascular,353
2009,74097,Blood/Lymph Organs,19
2009,74097,Digestive,865
2009,74097,Urinary,122
2009,74097,Male Reproductive Organs,403
2009,74097,Female Reproductive Organs,377
2009,74097,OB Procedures,1275
2009,74097,Musculoskeletal,938
2009,74097,Skin,114
2009,74097,Diagnostic/Therapeutic,1865
2009,74097,Other Interventions,23
2009,84001,Nervous System,24
2009,84001,Endocrine System,1
2009,84001,Eye,2
2009,84001,Nose/Mouth/Pharynx,1
2009,84001,Respiratory,32
2009,84001,Cardiovascular,65
2009,84001,Blood/Lymph Organs,1
2009,84001,Digestive,233
2009,84001,Urinary,4
2009,84001,Male Reproductive Organs,27
2009,84001,Female Reproductive Organs,46
2009,84001,OB Procedures,323
2009,84001,Musculoskeletal,33
2009,84001,Skin,49
2009,84001,Diagnostic/Therapeutic,321
2009,90793,Nervous System,29
2009,90793,Endocrine System,4
2009,90793,Ear,1
2009,90793,Nose/Mouth/Pharynx,9
2009,90793,Respiratory,41
2009,90793,Cardiovascular,53
2009,90793,Blood/Lymph Organs,12
2009,90793,Digestive,294
2009,90793,Urinary,1
2009,90793,Male Reproductive Organs,63
2009,90793,Female Reproductive Organs,27
2009,90793,OB Procedures,477
2009,90793,Musculoskeletal,451
2009,90793,Skin,85
2009,90793,Diagnostic/Therapeutic,365
2009,90793,Other Interventions,3
2009,90933,Nervous System,99
2009,90933,Endocrine System,13
2009,90933,Eye,2
2009,90933,Nose/Mouth/Pharynx,10
2009,90933,Respiratory,100
2009,90933,Cardiovascular,297
2009,90933,Blood/Lymph Organs,29
2009,90933,Digestive,683
2009,90933,Urinary,57
2009,90933,Male Reproductive Organs,45
2009,90933,Female Reproductive Organs,135
2009,90933,OB Procedures,547
2009,90933,Musculoskeletal,457
2009,90933,Skin,164
2009,90933,Diagnostic/Therapeutic,1582
2009,90933,Other Interventions,9
2009,94002,Diagnostic/Therapeutic,337
2009,100005,Nervous System,30
2009,100005,Endocrine System,79
2009,100005,Eye,3
2009,100005,Ear,1
2009,100005,Nose/Mouth/Pharynx,40
2009,100005,Respiratory,135
2009,100005,Cardiovascular,361
2009,100005,Blood/Lymph Organs,50
2009,100005,Digestive,1624
2009,100005,Urinary,70
2009,100005,Male Reproductive Organs,89
2009,100005,Female Reproductive Organs,733
2009,100005,OB Procedures,3567
2009,100005,Musculoskeletal,289
2009,100005,Skin,182
2009,100005,Diagnostic/Therapeutic,1157
2009,100005,Other Interventions,7
2009,100697,Nervous System,2
2009,100697,Nose/Mouth/Pharynx,3
2009,100697,Respiratory,3
2009,100697,Cardiovascular,1
2009,100697,Skin,1
2009,100697,Diagnostic/Therapeutic,919
2009,100717,Nervous System,781
2009,100717,Endocrine System,112
2009,100717,Eye,39
2009,100717,Ear,9
2009,100717,Nose/Mouth/Pharynx,130
2009,100717,Respiratory,698
2009,100717,Cardiovascular,3075
2009,100717,Blood/Lymph Organs,119
2009,100717,Digestive,2922
2009,100717,Urinary,337
2009,100717,Male Reproductive Organs,169
2009,100717,Female Reproductive Organs,692
2009,100717,OB Procedures,6495
2009,100717,Musculoskeletal,2332
2009,100717,Skin,844
2009,100717,Diagnostic/Therapeutic,10656
2009,100717,Other Interventions,45
2009,100797,Nervous System,5
2009,100797,Nose/Mouth/Pharynx,4
2009,100797,Respiratory,9
2009,100797,Digestive,72
2009,100797,Urinary,1
2009,100797,Male Reproductive Organs,1
2009,100797,Female Reproductive Organs,45
2009,100797,OB Procedures,1593
2009,100797,Musculoskeletal,6
2009,100797,Skin,19
2009,100797,Diagnostic/Therapeutic,2003
2009,100899,Nervous System,349
2009,100899,Endocrine System,209
2009,100899,Eye,17
2009,100899,Ear,4
2009,100899,Nose/Mouth/Pharynx,74
2009,100899,Respiratory,438
2009,100899,Cardiovascular,3022
2009,100899,Blood/Lymph Organs,145
2009,100899,Digestive,2906
2009,100899,Urinary,282
2009,100899,Male Reproductive Organs,285
2009,100899,Female Reproductive Organs,541
2009,100899,OB Procedures,3677
2009,100899,Musculoskeletal,1904
2009,100899,Skin,397
2009,100899,Diagnostic/Therapeutic,1109
2009,100899,Other Interventions,111
2009,104023,Cardiovascular,9
2009,104023,Digestive,2
2009,104023,Musculoskeletal,4
2009,104023,Diagnostic/Therapeutic,13
2009,104047,Nervous System,8
2009,104047,Endocrine System,4
2009,104047,Nose/Mouth/Pharynx,2
2009,104047,Cardiovascular,1
2009,104047,Blood/Lymph Organs,19
2009,104047,Digestive,73
2009,104047,Urinary,65
2009,104047,Male Reproductive Organs,104
2009,104047,Female Reproductive Organs,206
2009,104047,Musculoskeletal,1674
2009,104047,Skin,45
2009,104047,Diagnostic/Therapeutic,1
2009,104047,Other Interventions,77
2009,104062,Nervous System,61
2009,104062,Endocrine System,36
2009,104062,Eye,1
2009,104062,Ear,3
2009,104062,Nose/Mouth/Pharynx,18
2009,104062,Respiratory,149
2009,104062,Cardiovascular,588
2009,104062,Blood/Lymph Organs,34
2009,104062,Digestive,1015
2009,104062,Urinary,65
2009,104062,Male Reproductive Organs,185
2009,104062,Female Reproductive Organs,252
2009,104062,OB Procedures,1109
2009,104062,Musculoskeletal,843
2009,104062,Skin,157
2009,104062,Diagnostic/Therapeutic,1822
2009,104062,Other Interventions,21
2009,104089,Diagnostic/Therapeutic,897
2009,105029,Endocrine System,83
2009,105029,Respiratory,87
2009,105029,Cardiovascular,1538
2009,105029,Blood/Lymph Organs,9
2009,105029,Digestive,1447
2009,105029,Urinary,1
2009,105029,Male Reproductive Organs,1
2009,105029,Female Reproductive Organs,16
2009,105029,Musculoskeletal,82
2009,105029,Skin,30
2009,105029,Diagnostic/Therapeutic,95
2009,105029,Other Interventions,33
2009,110889,Cardiovascular,1
2009,110889,Digestive,13
2009,110889,Urinary,4
2009,110889,Female Reproductive Organs,2
2009,110889,Skin,2
2009,110889,Diagnostic/Therapeutic,47
2009,121002,Nervous System,23
2009,121002,Endocrine System,5
2009,121002,Eye,1
2009,121002,Nose/Mouth/Pharynx,14
2009,121002,Respiratory,32
2009,121002,Cardiovascular,23
2009,121002,Blood/Lymph Organs,4
2009,121002,Digestive,233
2009,121002,Urinary,58
2009,121002,Female Reproductive Organs,47
2009,121002,OB Procedures,444
2009,121002,Musculoskeletal,58
2009,121002,Skin,51
2009,121002,Diagnostic/Therapeutic,154
2009,121002,Other Interventions,1
2009,121031,Respiratory,1
2009,121031,Urinary,1
2009,121031,Skin,2
2009,121031,Diagnostic/Therapeutic,56
2009,121051,Nervous System,7
2009,121051,Endocrine System,1
2009,121051,Ear,3
2009,121051,Respiratory,15
2009,121051,Cardiovascular,18
2009,121051,Blood/Lymph Organs,2
2009,121051,Digestive,181
2009,121051,Urinary,1
2009,121051,Male Reproductive Organs,24
2009,121051,Female Reproductive Organs,64
2009,121051,OB Procedures,372
2009,121051,Musculoskeletal,246
2009,121051,Skin,16
2009,121051,Diagnostic/Therapeutic,291
2009,121051,Other Interventions,9
2009,121080,Nervous System,97
2009,121080,Endocrine System,28
2009,121080,Eye,3
2009,121080,Nose/Mouth/Pharynx,27
2009,121080,Respiratory,109
2009,121080,Cardiovascular,903
2009,121080,Blood/Lymph Organs,24
2009,121080,Digestive,893
2009,121080,Urinary,94
2009,121080,Male Reproductive Organs,53
2009,121080,Female Reproductive Organs,312
2009,121080,OB Procedures,700
2009,121080,Musculoskeletal,703
2009,121080,Skin,204
2009,121080,Diagnostic/Therapeutic,806
2009,121080,Other Interventions,21
2009,124004,Diagnostic/Therapeutic,637
2009,130699,Nervous System,70
2009,130699,Endocrine System,14
2009,130699,Eye,1
2009,130699,Nose/Mouth/Pharynx,3
2009,130699,Respiratory,102
2009,130699,Cardiovascular,254
2009,130699,Blood/Lymph Organs,22
2009,130699,Digestive,838
2009,130699,Urinary,53
2009,130699,Male Reproductive Organs,32
2009,130699,Female Reproductive Organs,209
2009,130699,OB Procedures,1392
2009,130699,Musculoskeletal,278
2009,130699,Skin,71
2009,130699,Diagnostic/Therapeutic,192
2009,130699,Other Interventions,2
2009,130760,Nervous System,56
2009,130760,Endocrine System,1
2009,130760,Nose/Mouth/Pharynx,4
2009,130760,Respiratory,65
2009,130760,Cardiovascular,200
2009,130760,Blood/Lymph Organs,9
2009,130760,Digestive,565
2009,130760,Urinary,194
2009,130760,Male Reproductive Organs,76
2009,130760,Female Reproductive Organs,303
2009,130760,OB Procedures,1589
2009,130760,Musculoskeletal,241
2009,130760,Skin,77
2009,130760,Diagnostic/Therapeutic,448
2009,130760,Other Interventions,1
2009,141273,Nervous System,1
2009,141273,Endocrine System,2
2009,141273,Nose/Mouth/Pharynx,2
2009,141273,Respiratory,7
2009,141273,Cardiovascular,52
2009,141273,Blood/Lymph Organs,2
2009,141273,Digestive,105
2009,141273,Urinary,9
2009,141273,Male Reproductive Organs,50
2009,141273,Female Reproductive Organs,43
2009,141273,OB Procedures,218
2009,141273,Musculoskeletal,92
2009,141273,Skin,10
2009,141273,Diagnostic/Therapeutic,96
2009,141273,Other Interventions,3
2009,141338,Diagnostic/Therapeutic,26
2009,150706,Nervous System,25
2009,150706,Endocrine System,8
2009,150706,Nose/Mouth/Pharynx,2
2009,150706,Respiratory,81
2009,150706,Cardiovascular,132
2009,150706,Blood/Lymph Organs,1
2009,150706,Digestive,679
2009,150706,Urinary,67
2009,150706,Male Reproductive Organs,45
2009,150706,Female Reproductive Organs,99
2009,150706,OB Procedures,925
2009,150706,Musculoskeletal,130
2009,150706,Skin,71
2009,150706,Diagnostic/Therapeutic,1914
2009,150722,Nervous System,332
2009,150722,Endocrine System,29
2009,150722,Eye,4
2009,150722,Ear,4
2009,150722,Nose/Mouth/Pharynx,12
2009,150722,Respiratory,351
2009,150722,Cardiovascular,1951
2009,150722,Blood/Lymph Organs,29
2009,150722,Digestive,1754
2009,150722,Urinary,197
2009,150722,Male Reproductive Organs,99
2009,150722,Female Reproductive Organs,658
2009,150722,OB Procedures,3403
2009,150722,Musculoskeletal,1269
2009,150722,Skin,265
2009,150722,Diagnostic/Therapeutic,1631
2009,150722,Other Interventions,48
2009,150736,Nervous System,246
2009,150736,Endocrine System,37
2009,150736,Eye,19
2009,150736,Ear,10
2009,150736,Nose/Mouth/Pharynx,40
2009,150736,Respiratory,266
2009,150736,Cardiovascular,285
2009,150736,Blood/Lymph Organs,40
2009,150736,Digestive,919
2009,150736,Urinary,97
2009,150736,Male Reproductive Organs,54
2009,150736,Female Reproductive Organs,284
2009,150736,OB Procedures,4069
2009,150736,Musculoskeletal,806
2009,150736,Skin,365
2009,150736,Diagnostic/Therapeutic,3442
2009,150736,Other Interventions,4
2009,150737,Nervous System,1
2009,150737,Respiratory,1
2009,150737,Digestive,29
2009,150737,Female Reproductive Organs,1
2009,150737,Musculoskeletal,5
2009,150737,Skin,4
2009,150737,Diagnostic/Therapeutic,830
2009,150761,Nervous System,261
2009,150761,Endocrine System,34
2009,150761,Eye,9
2009,150761,Ear,1
2009,150761,Nose/Mouth/Pharynx,31
2009,150761,Respiratory,303
2009,150761,Cardiovascular,983
2009,150761,Blood/Lymph Organs,51
2009,150761,Digestive,1797
2009,150761,Urinary,225
2009,150761,Male Reproductive Organs,101
2009,150761,Female Reproductive Organs,654
2009,150761,OB Procedures,2489
2009,150761,Musculoskeletal,758
2009,150761,Skin,266
2009,150761,Diagnostic/Therapeutic,3537
2009,150761,Other Interventions,10
2009,150775,Respiratory,2
2009,150775,Cardiovascular,19
2009,150775,Digestive,79
2009,150775,Female Reproductive Organs,2
2009,150775,Musculoskeletal,20
2009,150775,Skin,107
2009,150775,Diagnostic/Therapeutic,1343
2009,150782,Nervous System,15
2009,150782,Eye,1
2009,150782,Nose/Mouth/Pharynx,4
2009,150782,Respiratory,35
2009,150782,Cardiovascular,36
2009,150782,Blood/Lymph Organs,12
2009,150782,Digestive,345
2009,150782,Urinary,6
2009,150782,Male Reproductive Organs,30
2009,150782,Female Reproductive Organs,69
2009,150782,OB Procedures,564
2009,150782,Musculoskeletal,23
2009,150782,Skin,117
2009,150782,Diagnostic/Therapeutic,490
2009,150782,Other Interventions,1
2009,150788,Nervous System,425
2009,150788,Endocrine System,99
2009,150788,Eye,1
2009,150788,Ear,7
2009,150788,Nose/Mouth/Pharynx,24
2009,150788,Respiratory,318
2009,150788,Cardiovascular,2156
2009,150788,Blood/Lymph Organs,35
2009,150788,Digestive,2353
2009,150788,Urinary,111
2009,150788,Male Reproductive Organs,28
2009,150788,Female Reproductive Organs,416
2009,150788,OB Procedures,2544
2009,150788,Musculoskeletal,1221
2009,150788,Skin,347
2009,150788,Diagnostic/Therapeutic,3436
2009,150788,Other Interventions,53
2009,150808,Nervous System,1
2009,150808,Urinary,11
2009,150808,Skin,2
2009,150808,Diagnostic/Therapeutic,126
2009,154022,Cardiovascular,84
2009,154022,Diagnostic/Therapeutic,31
2009,154101,Nervous System,6
2009,154101,Endocrine System,4
2009,154101,Respiratory,117
2009,154101,Cardiovascular,1755
2009,154101,Blood/Lymph Organs,3
2009,154101,Digestive,297
2009,154101,Urinary,5
2009,154101,Musculoskeletal,18
2009,154101,Skin,16
2009,154101,Diagnostic/Therapeutic,365
2009,154101,Other Interventions,11
2009,160702,Nervous System,2
2009,160702,Nose/Mouth/Pharynx,2
2009,160702,Respiratory,1
2009,160702,Cardiovascular,2
2009,160702,Digestive,5
2009,160702,Urinary,1
2009,160702,Musculoskeletal,8
2009,160702,Skin,10
2009,160702,Diagnostic/Therapeutic,9
2009,160725,Nervous System,46
2009,160725,Endocrine System,70
2009,160725,Eye,2
2009,160725,Nose/Mouth/Pharynx,33
2009,160725,Respiratory,81
2009,160725,Cardiovascular,450
2009,160725,Blood/Lymph Organs,31
2009,160725,Digestive,1273
2009,160725,Urinary,176
2009,160725,Male Reproductive Organs,42
2009,160725,Female Reproductive Organs,183
2009,160725,OB Procedures,1238
2009,160725,Musculoskeletal,713
2009,160725,Skin,188
2009,160725,Diagnostic/Therapeutic,1546
2009,160725,Other Interventions,38
2009,160787,Nervous System,6
2009,160787,Eye,1
2009,160787,Nose/Mouth/Pharynx,2
2009,160787,Respiratory,20
2009,160787,Cardiovascular,218
2009,160787,Blood/Lymph Organs,5
2009,160787,Digestive,268
2009,160787,Urinary,24
