Year,OSHPD ID,Admission_Source_Route,Count
2009,130760,Your Emergency Room,3204
2009,130760,Not Your Emergency Room (or No ER),4254
2009,141273,Your Emergency Room,617
2009,141273,Not Your Emergency Room (or No ER),669
2009,141338,Your Emergency Room,22
2009,141338,Not Your Emergency Room (or No ER),27
2009,150706,Your Emergency Room,1994
2009,150706,Not Your Emergency Room (or No ER),2834
2009,150722,Your Emergency Room,7742
2009,150722,Not Your Emergency Room (or No ER),12461
2009,150736,Your Emergency Room,5365
2009,150736,Not Your Emergency Room (or No ER),10145
2009,150737,Your Emergency Room,720
2009,150737,Not Your Emergency Room (or No ER),211
2009,150761,Your Emergency Room,7766
2009,150761,Not Your Emergency Room (or No ER),7117
2009,150775,Not Your Emergency Room (or No ER),3714
2009,150782,Your Emergency Room,1657
2009,150782,Not Your Emergency Room (or No ER),1589
2009,150788,Your Emergency Room,9783
2009,150788,Not Your Emergency Room (or No ER),9750
2009,150808,Your Emergency Room,187
2009,150808,Not Your Emergency Room (or No ER),39
2009,154022,Not Your Emergency Room (or No ER),1478
2009,154101,Your Emergency Room,2924
2009,154101,Not Your Emergency Room (or No ER),899
2009,154147,Not Your Emergency Room (or No ER),594
2009,160702,Your Emergency Room,319
2009,160702,Not Your Emergency Room (or No ER),20
2009,160725,Your Emergency Room,6420
2009,160725,Not Your Emergency Room (or No ER),4230
2009,160787,Your Emergency Room,1172
2009,160787,Not Your Emergency Room (or No ER),5149
2009,171049,Your Emergency Room,1357
2009,171049,Not Your Emergency Room (or No ER),567
2009,171395,Your Emergency Room,1340
2009,171395,Not Your Emergency Room (or No ER),1229
2009,184008,Your Emergency Room,961
2009,184008,Not Your Emergency Room (or No ER),738
2009,190017,Your Emergency Room,2789
2009,190017,Not Your Emergency Room (or No ER),1092
2009,190020,Not Your Emergency Room (or No ER),4019
2009,190034,Your Emergency Room,15140
2009,190034,Not Your Emergency Room (or No ER),14844
2009,190045,Your Emergency Room,17
2009,190045,Not Your Emergency Room (or No ER),18
2009,190049,Not Your Emergency Room (or No ER),724
2009,190052,Not Your Emergency Room (or No ER),696
2009,190053,Your Emergency Room,5705
2009,190053,Not Your Emergency Room (or No ER),8698
2009,190053,Unknown,3
2009,190066,Your Emergency Room,2034
2009,190066,Not Your Emergency Room (or No ER),4131
2009,190081,Your Emergency Room,5771
2009,190081,Not Your Emergency Room (or No ER),4828
2009,190110,Your Emergency Room,4631
2009,190110,Not Your Emergency Room (or No ER),3615
2009,190125,Your Emergency Room,9564
2009,190125,Not Your Emergency Room (or No ER),11139
2009,190125,Unknown,1
2009,190137,Not Your Emergency Room (or No ER),1352
2009,190148,Your Emergency Room,15785
2009,190148,Not Your Emergency Room (or No ER),4757
2009,190150,Not Your Emergency Room (or No ER),1077
2009,190159,Your Emergency Room,2122
2009,190159,Not Your Emergency Room (or No ER),1462
2009,190163,Not Your Emergency Room (or No ER),4641
2009,190170,Your Emergency Room,4769
2009,190170,Not Your Emergency Room (or No ER),6308
2009,190176,Your Emergency Room,2
2009,190176,Not Your Emergency Room (or No ER),6339
2009,190184,Not Your Emergency Room (or No ER),6759
2009,190196,Not Your Emergency Room (or No ER),887
2009,190197,Your Emergency Room,3486
2009,190197,Not Your Emergency Room (or No ER),513
2009,190198,Your Emergency Room,2599
2009,190198,Not Your Emergency Room (or No ER),3374
2009,190200,Your Emergency Room,4181
2009,190200,Not Your Emergency Room (or No ER),5771
2009,190232,Not Your Emergency Room (or No ER),4579
2009,190240,Your Emergency Room,5172
2009,190240,Not Your Emergency Room (or No ER),2499
2009,190243,Your Emergency Room,8849
2009,190243,Not Your Emergency Room (or No ER),5944
2009,190256,Your Emergency Room,3137
2009,190256,Not Your Emergency Room (or No ER),1890
2009,190256,Unknown,2
2009,190280,Your Emergency Room,2379
2009,190280,Not Your Emergency Room (or No ER),325
2009,190298,Your Emergency Room,3911
2009,190298,Not Your Emergency Room (or No ER),2490
2009,190305,Not Your Emergency Room (or No ER),825
2009,190307,Not Your Emergency Room (or No ER),7105
2009,190307,Unknown,1
2009,190315,Your Emergency Room,5811
2009,190315,Not Your Emergency Room (or No ER),8878
2009,190317,Not Your Emergency Room (or No ER),854
2009,190323,Your Emergency Room,11511
2009,190323,Not Your Emergency Room (or No ER),10180
2009,190328,Your Emergency Room,1481
2009,190328,Not Your Emergency Room (or No ER),655
2009,190352,Your Emergency Room,2374
2009,190352,Not Your Emergency Room (or No ER),1897
2009,190380,Not Your Emergency Room (or No ER),3556
2009,190382,Your Emergency Room,7150
2009,190382,Not Your Emergency Room (or No ER),14688
2009,190385,Your Emergency Room,9427
2009,190385,Not Your Emergency Room (or No ER),8155
2009,190392,Your Emergency Room,6514
2009,190392,Not Your Emergency Room (or No ER),14505
2009,190400,Your Emergency Room,15634
2009,190400,Not Your Emergency Room (or No ER),15556
2009,190410,Not Your Emergency Room (or No ER),2774
2009,190413,Your Emergency Room,5561
2009,190413,Not Your Emergency Room (or No ER),3167
2009,190422,Your Emergency Room,13035
2009,190422,Not Your Emergency Room (or No ER),15370
2009,190422,Unknown,7
2009,190429,Your Emergency Room,9197
2009,190429,Not Your Emergency Room (or No ER),15962
2009,190430,Your Emergency Room,8111
2009,190430,Not Your Emergency Room (or No ER),7941
2009,190431,Your Emergency Room,8309
2009,190431,Not Your Emergency Room (or No ER),8280
2009,190432,Your Emergency Room,7996
2009,190432,Not Your Emergency Room (or No ER),8548
2009,190434,Your Emergency Room,6904
2009,190434,Not Your Emergency Room (or No ER),7202
2009,190449,Not Your Emergency Room (or No ER),2249
2009,190455,Your Emergency Room,4513
2009,190455,Not Your Emergency Room (or No ER),1607
2009,190462,Not Your Emergency Room (or No ER),2461
2009,190468,Not Your Emergency Room (or No ER),1547
2009,190470,Your Emergency Room,12088
2009,190470,Not Your Emergency Room (or No ER),10955
2009,190475,Your Emergency Room,3463
2009,190475,Not Your Emergency Room (or No ER),480
2009,190500,Your Emergency Room,2678
2009,190500,Not Your Emergency Room (or No ER),1468
2009,190517,Your Emergency Room,6955
2009,190517,Not Your Emergency Room (or No ER),6993
2009,190521,Your Emergency Room,5095
2009,190521,Not Your Emergency Room (or No ER),2876
2009,190522,Your Emergency Room,6871
2009,190522,Not Your Emergency Room (or No ER),5604
2009,190524,Your Emergency Room,4083
2009,190524,Not Your Emergency Room (or No ER),2806
2009,190525,Your Emergency Room,15469
2009,190525,Not Your Emergency Room (or No ER),8757
2009,190529,Your Emergency Room,10050
2009,190529,Not Your Emergency Room (or No ER),7994
2009,190529,Unknown,3
2009,190534,Your Emergency Room,5095
2009,190534,Not Your Emergency Room (or No ER),1517
2009,190534,Unknown,2
2009,190541,Not Your Emergency Room (or No ER),240
2009,190547,Your Emergency Room,2116
2009,190547,Not Your Emergency Room (or No ER),4309
2009,190552,Not Your Emergency Room (or No ER),554
2009,190555,Your Emergency Room,22119
2009,190555,Not Your Emergency Room (or No ER),33549
2009,190568,Your Emergency Room,10079
2009,190568,Not Your Emergency Room (or No ER),9882
2009,190570,Your Emergency Room,1633
2009,190570,Not Your Emergency Room (or No ER),1073
2009,190587,Your Emergency Room,4133
2009,190587,Not Your Emergency Room (or No ER),3899
2009,190630,Your Emergency Room,9950
2009,190630,Not Your Emergency Room (or No ER),18625
2009,190631,Your Emergency Room,9626
2009,190631,Not Your Emergency Room (or No ER),10371
2009,190636,Your Emergency Room,7493
2009,190636,Not Your Emergency Room (or No ER),12841
2009,190636,Unknown,1
2009,190646,Not Your Emergency Room (or No ER),2318
2009,190661,Not Your Emergency Room (or No ER),2181
2009,190673,Your Emergency Room,3409
2009,190673,Not Your Emergency Room (or No ER),1648
2009,190680,Your Emergency Room,3665
2009,190680,Not Your Emergency Room (or No ER),4642
2009,190681,Not Your Emergency Room (or No ER),243
2009,190687,Your Emergency Room,7795
2009,190687,Not Your Emergency Room (or No ER),8570
2009,190696,Your Emergency Room,2023
2009,190696,Not Your Emergency Room (or No ER),4065
2009,190708,Your Emergency Room,4053
2009,190708,Not Your Emergency Room (or No ER),424
2009,190712,Not Your Emergency Room (or No ER),1491
2009,190754,Your Emergency Room,11152
2009,190754,Not Your Emergency Room (or No ER),16114
2009,190756,Your Emergency Room,6639
2009,190756,Not Your Emergency Room (or No ER),9453
2009,190758,Your Emergency Room,8967
2009,190758,Not Your Emergency Room (or No ER),11408
2009,190762,Your Emergency Room,3581
2009,190762,Not Your Emergency Room (or No ER),6103
2009,190766,Your Emergency Room,3554
2009,190766,Not Your Emergency Room (or No ER),683
2009,190782,Not Your Emergency Room (or No ER),2066
2009,190784,Not Your Emergency Room (or No ER),2663
2009,190796,Your Emergency Room,8507
2009,190796,Not Your Emergency Room (or No ER),16035
2009,190812,Your Emergency Room,7061
2009,190812,Not Your Emergency Room (or No ER),14739
2009,190814,Not Your Emergency Room (or No ER),3073
2009,190818,Your Emergency Room,3449
2009,190818,Not Your Emergency Room (or No ER),4036
2009,190854,Your Emergency Room,1591
2009,190854,Not Your Emergency Room (or No ER),4901
2009,190857,Not Your Emergency Room (or No ER),257
2009,190859,Your Emergency Room,5437
2009,190859,Not Your Emergency Room (or No ER),3582
2009,190878,Your Emergency Room,8197
2009,190878,Not Your Emergency Room (or No ER),14494
2009,190878,Unknown,1
2009,190883,Your Emergency Room,5361
2009,190883,Not Your Emergency Room (or No ER),6647
2009,190930,Not Your Emergency Room (or No ER),1918
2009,190949,Your Emergency Room,8516
2009,190949,Not Your Emergency Room (or No ER),4329
2009,191216,Not Your Emergency Room (or No ER),1840
2009,191225,Not Your Emergency Room (or No ER),649
2009,191227,Your Emergency Room,16422
2009,191227,Not Your Emergency Room (or No ER),8287
2009,191228,Your Emergency Room,23721
2009,191228,Not Your Emergency Room (or No ER),7457
2009,191231,Your Emergency Room,9593
2009,191231,Not Your Emergency Room (or No ER),5343
2009,191306,Not Your Emergency Room (or No ER),3634
2009,191450,Your Emergency Room,5819
2009,191450,Not Your Emergency Room (or No ER),7922
2009,194010,Not Your Emergency Room (or No ER),1288
2009,194219,Your Emergency Room,1
2009,194219,Not Your Emergency Room (or No ER),7214
2009,194219,Unknown,1
2009,194967,Not Your Emergency Room (or No ER),103
2009,194981,Not Your Emergency Room (or No ER),111
2009,196035,Your Emergency Room,8925
2009,196035,Not Your Emergency Room (or No ER),9710
2009,196168,Not Your Emergency Room (or No ER),19696
2009,196403,Your Emergency Room,3138
2009,196403,Not Your Emergency Room (or No ER),3373
2009,196404,Not Your Emergency Room (or No ER),317
2009,201281,Your Emergency Room,2414
2009,201281,Not Your Emergency Room (or No ER),4509
2009,204019,Your Emergency Room,7662
2009,204019,Not Your Emergency Room (or No ER),5447
2009,210992,Your Emergency Room,3738
2009,210992,Not Your Emergency Room (or No ER),2210
2009,210993,Not Your Emergency Room (or No ER),526
2009,211006,Your Emergency Room,5706
2009,211006,Not Your Emergency Room (or No ER),5744
2009,214034,Your Emergency Room,1416
2009,214034,Not Your Emergency Room (or No ER),436
2009,220733,Your Emergency Room,226
2009,220733,Not Your Emergency Room (or No ER),89
2009,230949,Your Emergency Room,733
2009,230949,Not Your Emergency Room (or No ER),701
2009,231013,Your Emergency Room,650
2009,231013,Not Your Emergency Room (or No ER),731
2009,231396,Your Emergency Room,2272
2009,231396,Not Your Emergency Room (or No ER),2421
2009,240924,Your Emergency Room,887
2009,240924,Not Your Emergency Room (or No ER),1588
2009,240942,Your Emergency Room,6195
2009,240942,Not Your Emergency Room (or No ER),6838
2009,244027,Not Your Emergency Room (or No ER),724
2009,250955,Your Emergency Room,10
2009,250955,Not Your Emergency Room (or No ER),29
2009,250956,Your Emergency Room,165
2009,250956,Not Your Emergency Room (or No ER),119
2009,260011,Your Emergency Room,326
2009,260011,Not Your Emergency Room (or No ER),421
2009,270744,Your Emergency Room,6694
2009,270744,Not Your Emergency Room (or No ER),5687
2009,270777,Your Emergency Room,778
2009,270777,Not Your Emergency Room (or No ER),1710
2009,270875,Your Emergency Room,5908
2009,270875,Not Your Emergency Room (or No ER),7470
2009,274043,Your Emergency Room,3589
2009,274043,Not Your Emergency Room (or No ER),6663
2009,281047,Your Emergency Room,4072
2009,281047,Not Your Emergency Room (or No ER),5178
2009,281078,Your Emergency Room,1213
2009,281078,Not Your Emergency Room (or No ER),3662
2009,281297,Not Your Emergency Room (or No ER),308
2009,291023,Your Emergency Room,4353
2009,291023,Not Your Emergency Room (or No ER),2431
2009,291053,Your Emergency Room,915
2009,291053,Not Your Emergency Room (or No ER),1315
2009,300032,Your Emergency Room,4489
2009,300032,Not Your Emergency Room (or No ER),8007
2009,300225,Your Emergency Room,6419
2009,300225,Not Your Emergency Room (or No ER),7134
2009,301097,Your Emergency Room,646
2009,301097,Not Your Emergency Room (or No ER),297
2009,301098,Your Emergency Room,8333
2009,301098,Not Your Emergency Room (or No ER),6145
2009,301127,Not Your Emergency Room (or No ER),591
2009,301127,Unknown,1
2009,301132,Your Emergency Room,11329
2009,301132,Not Your Emergency Room (or No ER),17235
2009,301140,Your Emergency Room,1262
2009,301140,Not Your Emergency Room (or No ER),1061
2009,301155,Not Your Emergency Room (or No ER),4070
2009,301155,Unknown,1
2009,301175,Your Emergency Room,9938
2009,301175,Not Your Emergency Room (or No ER),11260
2009,301188,Your Emergency Room,2666
2009,301188,Not Your Emergency Room (or No ER),8011
2009,301205,Your Emergency Room,13619
2009,301205,Not Your Emergency Room (or No ER),19461
2009,301209,Your Emergency Room,3703
2009,301209,Not Your Emergency Room (or No ER),173
2009,301234,Your Emergency Room,3514
2009,301234,Not Your Emergency Room (or No ER),703
2009,301248,Your Emergency Room,5672
2009,301248,Not Your Emergency Room (or No ER),5932
2009,301258,Your Emergency Room,2031
2009,301258,Not Your Emergency Room (or No ER),4977
2009,301262,Your Emergency Room,11428
2009,301262,Not Your Emergency Room (or No ER),10535
2009,301279,Your Emergency Room,9810
2009,301279,Not Your Emergency Room (or No ER),7670
2009,301279,Unknown,4
2009,301283,Your Emergency Room,3877
2009,301283,Not Your Emergency Room (or No ER),5705
2009,301297,Your Emergency Room,3055
2009,301297,Not Your Emergency Room (or No ER),1166
2009,301304,Not Your Emergency Room (or No ER),757
2009,301317,Your Emergency Room,11775
2009,301317,Not Your Emergency Room (or No ER),9596
2009,301337,Your Emergency Room,2815
2009,301337,Not Your Emergency Room (or No ER),993
2009,301337,Unknown,1
2009,301340,Your Emergency Room,9517
2009,301340,Not Your Emergency Room (or No ER),17680
2009,301342,Your Emergency Room,8718
2009,301342,Not Your Emergency Room (or No ER),10427
2009,301357,Not Your Emergency Room (or No ER),193
2009,301379,Your Emergency Room,6473
2009,301379,Not Your Emergency Room (or No ER),359
2009,301380,Not Your Emergency Room (or No ER),1008
2009,301566,Your Emergency Room,5490
2009,301566,Not Your Emergency Room (or No ER),7908
2009,304045,Your Emergency Room,88
2009,304045,Not Your Emergency Room (or No ER),31
2009,304079,Not Your Emergency Room (or No ER),1162
2009,304113,Your Emergency Room,1349
2009,304113,Not Your Emergency Room (or No ER),829
2009,304159,Not Your Emergency Room (or No ER),70
2009,304426,Not Your Emergency Room (or No ER),293
2009,310791,Your Emergency Room,2617
2009,310791,Not Your Emergency Room (or No ER),1509
2009,310791,Unknown,1
2009,311000,Your Emergency Room,9093
2009,311000,Not Your Emergency Room (or No ER),9879
2009,314029,Not Your Emergency Room (or No ER),660
2009,320859,Your Emergency Room,424
2009,320859,Not Your Emergency Room (or No ER),128
2009,320986,Your Emergency Room,291
2009,320986,Not Your Emergency Room (or No ER),299
2009,321016,Your Emergency Room,193
2009,321016,Not Your Emergency Room (or No ER),36
2009,330120,Not Your Emergency Room (or No ER),1041
2009,331152,Your Emergency Room,5434
2009,331152,Not Your Emergency Room (or No ER),5657
2009,331164,Your Emergency Room,8636
2009,331164,Not Your Emergency Room (or No ER),12468
2009,331168,Your Emergency Room,12054
2009,331168,Not Your Emergency Room (or No ER),6265
2009,331194,Your Emergency Room,8671
2009,331194,Not Your Emergency Room (or No ER),4424
2009,331194,Unknown,5
2009,331216,Your Emergency Room,4240
2009,331216,Not Your Emergency Room (or No ER),7600
2009,331226,Not Your Emergency Room (or No ER),937
2009,331288,Your Emergency Room,1013
2009,331288,Not Your Emergency Room (or No ER),704
2009,331293,Your Emergency Room,4260
2009,331293,Not Your Emergency Room (or No ER),6155
2009,331312,Your Emergency Room,10565
2009,331312,Not Your Emergency Room (or No ER),12130
2009,331326,Your Emergency Room,3018
2009,331326,Not Your Emergency Room (or No ER),1305
2009,332172,Not Your Emergency Room (or No ER),380
2009,334018,Your Emergency Room,3775
2009,334018,Not Your Emergency Room (or No ER),337
2009,334018,Unknown,1
2009,334025,Your Emergency Room,5919
2009,334025,Not Your Emergency Room (or No ER),13333
2009,334048,Your Emergency Room,2865
2009,334048,Not Your Emergency Room (or No ER),4045
2009,334068,Your Emergency Room,11555
2009,334068,Not Your Emergency Room (or No ER),11426
2009,334457,Not Your Emergency Room (or No ER),732
2009,334487,Your Emergency Room,13067
2009,334487,Not Your Emergency Room (or No ER),10151
2009,340913,Your Emergency Room,16329
2009,340913,Not Your Emergency Room (or No ER),19625
2009,340913,Unknown,1
2009,340947,Your Emergency Room,6788
2009,340947,Not Your Emergency Room (or No ER),14497
2009,340947,Unknown,1
2009,340950,Your Emergency Room,11379
2009,340950,Not Your Emergency Room (or No ER),9235
2009,340951,Your Emergency Room,5204
2009,340951,Not Your Emergency Room (or No ER),4958
2009,340951,Unknown,9
2009,341006,Your Emergency Room,14199
2009,341006,Not Your Emergency Room (or No ER),16470
2009,341051,Your Emergency Room,6754
2009,341051,Not Your Emergency Room (or No ER),5588
2009,341052,Your Emergency Room,4132
2009,341052,Not Your Emergency Room (or No ER),18337
2009,341052,Unknown,2
2009,342344,Your Emergency Room,6473
2009,342344,Not Your Emergency Room (or No ER),7625
2009,342392,Not Your Emergency Room (or No ER),3216
2009,344011,Your Emergency Room,1
2009,344011,Not Your Emergency Room (or No ER),1741
2009,344017,Not Your Emergency Room (or No ER),2344
2009,344021,Not Your Emergency Room (or No ER),2689
2009,344029,Your Emergency Room,3044
2009,344029,Not Your Emergency Room (or No ER),2581
2009,344035,Not Your Emergency Room (or No ER),314
2009,344114,Not Your Emergency Room (or No ER),1216
2009,350784,Your Emergency Room,1561
2009,350784,Not Your Emergency Room (or No ER),1562
2009,361105,Your Emergency Room,2273
2009,361105,Not Your Emergency Room (or No ER),580
2009,361110,Your Emergency Room,397
2009,361110,Not Your Emergency Room (or No ER),23
2009,361144,Your Emergency Room,6247
2009,361144,Not Your Emergency Room (or No ER),59
2009,361166,Your Emergency Room,2935
2009,361166,Not Your Emergency Room (or No ER),2732
2009,361223,Your Emergency Room,13665
2009,361223,Not Your Emergency Room (or No ER),16879
2009,361246,Your Emergency Room,13079
2009,361246,Not Your Emergency Room (or No ER),19968
2009,361266,Your Emergency Room,215
2009,361266,Not Your Emergency Room (or No ER),210
2009,361274,Not Your Emergency Room (or No ER),1077
2009,361308,Your Emergency Room,6302
2009,361308,Not Your Emergency Room (or No ER),8799
2009,361318,Your Emergency Room,10707
2009,361318,Not Your Emergency Room (or No ER),7152
2009,361323,Your Emergency Room,5068
2009,361323,Not Your Emergency Room (or No ER),8173
2009,361339,Your Emergency Room,7791
2009,361339,Not Your Emergency Room (or No ER),11492
2009,361343,Your Emergency Room,10682
2009,361343,Not Your Emergency Room (or No ER),7902
2009,361370,Your Emergency Room,3217
2009,361370,Not Your Emergency Room (or No ER),4770
2009,361458,Your Emergency Room,530
2009,361458,Not Your Emergency Room (or No ER),45
2009,362041,Your Emergency Room,2591
2009,362041,Not Your Emergency Room (or No ER),1731
2009,364014,Not Your Emergency Room (or No ER),4428
2009,364050,Not Your Emergency Room (or No ER),4063
2009,364121,Not Your Emergency Room (or No ER),971
2009,364144,Your Emergency Room,5511
2009,364144,Not Your Emergency Room (or No ER),905
2009,364188,Not Your Emergency Room (or No ER),770
2009,364231,Your Emergency Room,18580
2009,364231,Not Your Emergency Room (or No ER),8749
2009,370652,Your Emergency Room,5886
2009,370652,Not Your Emergency Room (or No ER),3447
2009,370673,Your Emergency Room,6098
2009,370673,Not Your Emergency Room (or No ER),8594
2009,370673,Unknown,1
2009,370689,Your Emergency Room,1111
2009,370689,Not Your Emergency Room (or No ER),1749
2009,370693,Not Your Emergency Room (or No ER),133
2009,370694,Your Emergency Room,11859
2009,370694,Not Your Emergency Room (or No ER),9619
2009,370695,Your Emergency Room,17
2009,370695,Not Your Emergency Room (or No ER),15716
2009,370705,Your Emergency Room,1579
2009,370705,Not Your Emergency Room (or No ER),1775
2009,370714,Your Emergency Room,18455
2009,370714,Not Your Emergency Room (or No ER),12000
2009,370721,Not Your Emergency Room (or No ER),505
2009,370730,Your Emergency Room,15622
2009,370730,Not Your Emergency Room (or No ER),16869
2009,370744,Your Emergency Room,19298
2009,370744,Not Your Emergency Room (or No ER),15457
2009,370745,Your Emergency Room,4
2009,370745,Not Your Emergency Room (or No ER),5401
2009,370749,Not Your Emergency Room (or No ER),2217
2009,370755,Your Emergency Room,11121
2009,370755,Not Your Emergency Room (or No ER),13350
2009,370759,Your Emergency Room,7348
2009,370759,Not Your Emergency Room (or No ER),4277
2009,370771,Your Emergency Room,6646
2009,370771,Not Your Emergency Room (or No ER),14479
2009,370780,Your Emergency Room,10633
2009,370780,Not Your Emergency Room (or No ER),9220
2009,370780,Unknown,2
2009,370782,Your Emergency Room,9701
2009,370782,Not Your Emergency Room (or No ER),15715
2009,370787,Not Your Emergency Room (or No ER),1877
2009,370875,Your Emergency Room,8667
2009,370875,Not Your Emergency Room (or No ER),9690
2009,370977,Your Emergency Room,3540
2009,370977,Not Your Emergency Room (or No ER),4760
2009,371256,Not Your Emergency Room (or No ER),11937
2009,371394,Your Emergency Room,5185
2009,371394,Not Your Emergency Room (or No ER),6509
2009,374024,Not Your Emergency Room (or No ER),2861
2009,374049,Not Your Emergency Room (or No ER),213
2009,374055,Not Your Emergency Room (or No ER),1716
2009,374084,Not Your Emergency Room (or No ER),914
2009,374094,Not Your Emergency Room (or No ER),778
2009,380842,Not Your Emergency Room (or No ER),544
2009,380857,Your Emergency Room,4917
2009,380857,Not Your Emergency Room (or No ER),10414
2009,380865,Not Your Emergency Room (or No ER),861
2009,380868,Not Your Emergency Room (or No ER),687
2009,380929,Your Emergency Room,9788
2009,380929,Not Your Emergency Room (or No ER),23588
2009,380939,Your Emergency Room,9699
2009,380939,Not Your Emergency Room (or No ER),6368
2009,380960,Your Emergency Room,3518
2009,380960,Not Your Emergency Room (or No ER),2471
2009,380964,Your Emergency Room,2339
2009,380964,Not Your Emergency Room (or No ER),3116
2009,380965,Your Emergency Room,3176
2009,380965,Not Your Emergency Room (or No ER),3726
2009,381154,Your Emergency Room,8131
2009,381154,Not Your Emergency Room (or No ER),22423
2009,382715,Your Emergency Room,1441
2009,382715,Not Your Emergency Room (or No ER),602
2009,390846,Your Emergency Room,5121
2009,390846,Not Your Emergency Room (or No ER),7245
2009,390923,Your Emergency Room,5279
2009,390923,Not Your Emergency Room (or No ER),4157
2009,391010,Your Emergency Room,4109
2009,391010,Not Your Emergency Room (or No ER),6593
2009,391042,Your Emergency Room,8788
2009,391042,Not Your Emergency Room (or No ER),10321
2009,391042,Unknown,3
2009,391056,Your Emergency Room,2279
2009,391056,Not Your Emergency Room (or No ER),2614
