Year,OSHPD ID,Principal Injury Group,Count
2009,10844,Natural/Environment,6
2009,10844,Submersion/Suffocation/Foreign Body,1
2009,10844,Other Accidents,23
2009,10844,Adverse Effects of Drugs,52
2009,10844,Self-Inflicted,88
2009,10844,Inflicted by Others,9
2009,10844,Undetermined,4
2009,10844,Late Effects of Injury,65
2009,10846,Rail & Motor Vehicles,326
2009,10846,Other Vehicle/Transport,33
2009,10846,Accidental Poisoning,70
2009,10846,Misadventures/Complications,436
2009,10846,Accidental Falls,333
2009,10846,Fire Accidents,4
2009,10846,Natural/Environment,22
2009,10846,Submersion/Suffocation/Foreign Body,11
2009,10846,Other Accidents,123
2009,10846,Adverse Effects of Drugs,301
2009,10846,Self-Inflicted,55
2009,10846,Inflicted by Others,356
2009,10846,Undetermined,13
2009,10846,Late Effects of Injury,162
2009,10856,Rail & Motor Vehicles,96
2009,10856,Other Vehicle/Transport,32
2009,10856,Accidental Poisoning,73
2009,10856,Accidental Falls,645
2009,10856,Fire Accidents,3
2009,10856,Natural/Environment,48
2009,10856,Submersion/Suffocation/Foreign Body,40
2009,10856,Other Accidents,230
2009,10856,Adverse Effects of Drugs,1094
2009,10856,Self-Inflicted,54
2009,10856,Inflicted by Others,31
2009,10856,Undetermined,13
2009,10856,Late Effects of Injury,123
2009,10858,Rail & Motor Vehicles,37
2009,10858,Other Vehicle/Transport,16
2009,10858,Accidental Poisoning,61
2009,10858,Accidental Falls,568
2009,10858,Fire Accidents,1
2009,10858,Natural/Environment,22
2009,10858,Submersion/Suffocation/Foreign Body,14
2009,10858,Other Accidents,175
2009,10858,Adverse Effects of Drugs,767
2009,10858,Self-Inflicted,58
2009,10858,Inflicted by Others,9
2009,10858,Undetermined,1
2009,10858,Late Effects of Injury,42
2009,10887,Misadventures/Complications,71
2009,10887,Accidental Falls,1
2009,10887,Fire Accidents,1
2009,10887,Submersion/Suffocation/Foreign Body,1
2009,10887,Other Accidents,3
2009,10887,Adverse Effects of Drugs,17
2009,10887,Late Effects of Injury,6
2009,10937,Rail & Motor Vehicles,14
2009,10937,Other Vehicle/Transport,6
2009,10937,Accidental Poisoning,102
2009,10937,Misadventures/Complications,28
2009,10937,Accidental Falls,431
2009,10937,Natural/Environment,8
2009,10937,Submersion/Suffocation/Foreign Body,14
2009,10937,Other Accidents,84
2009,10937,Adverse Effects of Drugs,747
2009,10937,Self-Inflicted,24
2009,10937,Inflicted by Others,10
2009,10937,Undetermined,8
2009,10937,Late Effects of Injury,34
2009,10967,Rail & Motor Vehicles,12
2009,10967,Other Vehicle/Transport,1
2009,10967,Accidental Poisoning,56
2009,10967,Misadventures/Complications,106
2009,10967,Accidental Falls,206
2009,10967,Fire Accidents,1
2009,10967,Natural/Environment,18
2009,10967,Submersion/Suffocation/Foreign Body,57
2009,10967,Other Accidents,88
2009,10967,Adverse Effects of Drugs,341
2009,10967,Self-Inflicted,28
2009,10967,Inflicted by Others,7
2009,10967,Undetermined,9
2009,10967,Late Effects of Injury,24
2009,10987,Rail & Motor Vehicles,23
2009,10987,Other Vehicle/Transport,17
2009,10987,Accidental Poisoning,49
2009,10987,Misadventures/Complications,71
2009,10987,Accidental Falls,468
2009,10987,Fire Accidents,1
2009,10987,Natural/Environment,18
2009,10987,Submersion/Suffocation/Foreign Body,18
2009,10987,Other Accidents,181
2009,10987,Adverse Effects of Drugs,904
2009,10987,Self-Inflicted,45
2009,10987,Inflicted by Others,4
2009,10987,Undetermined,4
2009,10987,Late Effects of Injury,83
2009,13619,Rail & Motor Vehicles,5
2009,13619,Other Vehicle/Transport,2
2009,13619,Accidental Poisoning,59
2009,34002,Late Effects of Injury,3
2009,13619,Misadventures/Complications,366
2009,13619,Accidental Falls,193
2009,13619,Fire Accidents,2
2009,13619,Natural/Environment,7
2009,13619,Submersion/Suffocation/Foreign Body,40
2009,13619,Other Accidents,55
2009,13619,Adverse Effects of Drugs,571
2009,13619,Self-Inflicted,18
2009,13619,Inflicted by Others,5
2009,13619,Undetermined,1
2009,13619,Late Effects of Injury,18
2009,14034,Accidental Falls,4
2009,14034,Submersion/Suffocation/Foreign Body,1
2009,14034,Other Accidents,14
2009,14034,Adverse Effects of Drugs,25
2009,14034,Self-Inflicted,1
2009,14034,Inflicted by Others,1
2009,14034,Undetermined,1
2009,14050,Rail & Motor Vehicles,14
2009,14050,Other Vehicle/Transport,13
2009,14050,Accidental Poisoning,44
2009,14050,Misadventures/Complications,7
2009,14050,Accidental Falls,240
2009,14050,Natural/Environment,13
2009,14050,Submersion/Suffocation/Foreign Body,11
2009,14050,Other Accidents,67
2009,14050,Adverse Effects of Drugs,541
2009,14050,Self-Inflicted,32
2009,14050,Inflicted by Others,4
2009,14050,Undetermined,2
2009,14050,Late Effects of Injury,17
2009,34002,Rail & Motor Vehicles,14
2009,34002,Other Vehicle/Transport,4
2009,34002,Accidental Poisoning,22
2009,34002,Misadventures/Complications,13
2009,34002,Accidental Falls,180
2009,34002,Natural/Environment,6
2009,34002,Other Accidents,19
2009,34002,Adverse Effects of Drugs,49
2009,34002,Self-Inflicted,11
2009,34002,Inflicted by Others,2
2009,40802,Rail & Motor Vehicles,2
2009,40802,Other Vehicle/Transport,3
2009,40802,Accidental Poisoning,5
2009,40802,Misadventures/Complications,2
2009,40802,Accidental Falls,54
2009,40802,Other Accidents,7
2009,40802,Adverse Effects of Drugs,4
2009,40802,Self-Inflicted,13
2009,40802,Undetermined,1
2009,40875,Rail & Motor Vehicles,16
2009,40875,Other Vehicle/Transport,6
2009,40875,Accidental Poisoning,64
2009,40875,Misadventures/Complications,16
2009,40875,Accidental Falls,263
2009,40875,Fire Accidents,1
2009,40875,Natural/Environment,14
2009,40875,Submersion/Suffocation/Foreign Body,9
2009,40875,Other Accidents,49
2009,40875,Adverse Effects of Drugs,285
2009,40875,Self-Inflicted,20
2009,40875,Inflicted by Others,3
2009,40875,Undetermined,5
2009,40875,Late Effects of Injury,3
2009,40937,Rail & Motor Vehicles,47
2009,40937,Other Vehicle/Transport,11
2009,40937,Accidental Poisoning,116
2009,40937,Misadventures/Complications,20
2009,40937,Accidental Falls,339
2009,40937,Fire Accidents,4
2009,40937,Natural/Environment,42
2009,40937,Submersion/Suffocation/Foreign Body,23
2009,40937,Other Accidents,113
2009,40937,Adverse Effects of Drugs,448
2009,40937,Self-Inflicted,44
2009,40937,Inflicted by Others,17
2009,40937,Undetermined,1
2009,40937,Late Effects of Injury,52
2009,40962,Rail & Motor Vehicles,275
2009,40962,Other Vehicle/Transport,53
2009,40962,Accidental Poisoning,110
2009,40962,Misadventures/Complications,35
2009,40962,Accidental Falls,696
2009,40962,Fire Accidents,4
2009,40962,Natural/Environment,30
2009,40962,Submersion/Suffocation/Foreign Body,9
2009,40962,Other Accidents,118
2009,40962,Adverse Effects of Drugs,582
2009,40962,Self-Inflicted,79
2009,40962,Inflicted by Others,69
2009,40962,Undetermined,18
2009,40962,Late Effects of Injury,97
2009,50932,Rail & Motor Vehicles,10
2009,50932,Other Vehicle/Transport,3
2009,50932,Accidental Poisoning,33
2009,50932,Misadventures/Complications,73
2009,50932,Accidental Falls,125
2009,50932,Fire Accidents,1
2009,50932,Natural/Environment,11
2009,50932,Submersion/Suffocation/Foreign Body,2
2009,50932,Other Accidents,31
2009,50932,Adverse Effects of Drugs,122
2009,50932,Self-Inflicted,15
2009,50932,Inflicted by Others,1
2009,50932,Undetermined,3
2009,50932,Late Effects of Injury,5
2009,60870,Rail & Motor Vehicles,2
2009,60870,Accidental Poisoning,7
2009,60870,Misadventures/Complications,22
2009,60870,Accidental Falls,19
2009,60870,Fire Accidents,1
2009,60870,Natural/Environment,4
2009,60870,Other Accidents,13
2009,60870,Adverse Effects of Drugs,45
2009,60870,Self-Inflicted,8
2009,60870,Inflicted by Others,1
2009,60870,Late Effects of Injury,6
2009,70904,Rail & Motor Vehicles,16
2009,70904,Other Vehicle/Transport,2
2009,70904,Accidental Poisoning,91
2009,84001,Undetermined,2
2009,70904,Misadventures/Complications,477
2009,70904,Accidental Falls,261
2009,70904,Natural/Environment,20
2009,70904,Submersion/Suffocation/Foreign Body,35
2009,70904,Other Accidents,77
2009,70904,Adverse Effects of Drugs,718
2009,70904,Self-Inflicted,35
2009,70904,Inflicted by Others,14
2009,70904,Undetermined,9
2009,70904,Late Effects of Injury,57
2009,70924,Rail & Motor Vehicles,20
2009,70924,Other Vehicle/Transport,11
2009,70924,Accidental Poisoning,77
2009,70924,Misadventures/Complications,279
2009,70924,Accidental Falls,179
2009,70924,Fire Accidents,3
2009,70924,Natural/Environment,46
2009,70924,Submersion/Suffocation/Foreign Body,9
2009,70924,Other Accidents,92
2009,70924,Adverse Effects of Drugs,323
2009,70924,Self-Inflicted,108
2009,70924,Inflicted by Others,18
2009,70924,Undetermined,11
2009,70924,Late Effects of Injury,21
2009,70934,Rail & Motor Vehicles,20
2009,70934,Other Vehicle/Transport,5
2009,70934,Accidental Poisoning,65
2009,70934,Misadventures/Complications,8
2009,70934,Accidental Falls,265
2009,70934,Fire Accidents,3
2009,70934,Natural/Environment,14
2009,70934,Submersion/Suffocation/Foreign Body,13
2009,70934,Other Accidents,52
2009,70934,Adverse Effects of Drugs,480
2009,70934,Self-Inflicted,41
2009,70934,Inflicted by Others,13
2009,70934,Late Effects of Injury,14
2009,70988,Rail & Motor Vehicles,535
2009,70988,Other Vehicle/Transport,65
2009,70988,Accidental Poisoning,50
2009,70988,Misadventures/Complications,15
2009,70988,Accidental Falls,1014
2009,70988,Fire Accidents,2
2009,70988,Natural/Environment,20
2009,70988,Submersion/Suffocation/Foreign Body,51
2009,70988,Other Accidents,211
2009,70988,Adverse Effects of Drugs,1146
2009,70988,Self-Inflicted,75
2009,70988,Inflicted by Others,254
2009,70988,Undetermined,8
2009,70988,Late Effects of Injury,35
2009,70990,Rail & Motor Vehicles,29
2009,70990,Other Vehicle/Transport,21
2009,70990,Accidental Poisoning,39
2009,70990,Accidental Falls,626
2009,70990,Natural/Environment,30
2009,70990,Submersion/Suffocation/Foreign Body,19
2009,70990,Other Accidents,123
2009,70990,Adverse Effects of Drugs,1103
2009,70990,Self-Inflicted,29
2009,70990,Inflicted by Others,6
2009,70990,Undetermined,5
2009,70990,Late Effects of Injury,30
2009,71018,Rail & Motor Vehicles,17
2009,71018,Other Vehicle/Transport,3
2009,71018,Accidental Poisoning,68
2009,71018,Misadventures/Complications,21
2009,71018,Accidental Falls,323
2009,71018,Fire Accidents,1
2009,71018,Natural/Environment,11
2009,71018,Submersion/Suffocation/Foreign Body,22
2009,71018,Other Accidents,113
2009,71018,Adverse Effects of Drugs,1078
2009,71018,Self-Inflicted,36
2009,71018,Inflicted by Others,7
2009,71018,Undetermined,3
2009,71018,Late Effects of Injury,41
2009,74017,Rail & Motor Vehicles,11
2009,74017,Other Vehicle/Transport,3
2009,74017,Accidental Poisoning,10
2009,74017,Misadventures/Complications,376
2009,74017,Accidental Falls,167
2009,74017,Fire Accidents,1
2009,74017,Natural/Environment,5
2009,74017,Submersion/Suffocation/Foreign Body,11
2009,74017,Other Accidents,42
2009,74017,Adverse Effects of Drugs,333
2009,74017,Self-Inflicted,11
2009,74017,Inflicted by Others,3
2009,74017,Undetermined,2
2009,74017,Late Effects of Injury,3
2009,74097,Rail & Motor Vehicles,34
2009,74097,Other Vehicle/Transport,5
2009,74097,Accidental Poisoning,28
2009,74097,Accidental Falls,222
2009,74097,Natural/Environment,15
2009,74097,Submersion/Suffocation/Foreign Body,11
2009,74097,Other Accidents,91
2009,74097,Adverse Effects of Drugs,617
2009,74097,Self-Inflicted,27
2009,74097,Inflicted by Others,15
2009,74097,Undetermined,8
2009,74097,Late Effects of Injury,35
2009,84001,Rail & Motor Vehicles,16
2009,84001,Other Vehicle/Transport,2
2009,84001,Accidental Poisoning,54
2009,84001,Misadventures/Complications,91
2009,84001,Accidental Falls,119
2009,84001,Fire Accidents,2
2009,84001,Natural/Environment,7
2009,84001,Submersion/Suffocation/Foreign Body,6
2009,84001,Other Accidents,17
2009,84001,Adverse Effects of Drugs,91
2009,84001,Inflicted by Others,7
2009,84001,Late Effects of Injury,1
2009,90793,Rail & Motor Vehicles,27
2009,90793,Other Vehicle/Transport,12
2009,90793,Accidental Poisoning,8
2009,90793,Misadventures/Complications,147
2009,90793,Accidental Falls,184
2009,90793,Natural/Environment,18
2009,90793,Submersion/Suffocation/Foreign Body,6
2009,90793,Other Accidents,72
2009,90793,Adverse Effects of Drugs,93
2009,90793,Self-Inflicted,18
2009,90793,Inflicted by Others,4
2009,90793,Undetermined,9
2009,90793,Late Effects of Injury,9
2009,90933,Rail & Motor Vehicles,56
2009,90933,Other Vehicle/Transport,11
2009,90933,Accidental Poisoning,54
2009,90933,Misadventures/Complications,277
2009,90933,Accidental Falls,380
2009,90933,Natural/Environment,24
2009,90933,Submersion/Suffocation/Foreign Body,3
2009,90933,Other Accidents,139
2009,90933,Adverse Effects of Drugs,695
2009,90933,Self-Inflicted,14
2009,90933,Inflicted by Others,10
2009,90933,Undetermined,7
2009,90933,Late Effects of Injury,69
2009,100005,Rail & Motor Vehicles,6
2009,100005,Other Vehicle/Transport,2
2009,100005,Accidental Poisoning,17
2009,100005,Misadventures/Complications,201
2009,100005,Accidental Falls,219
2009,100005,Fire Accidents,1
2009,100005,Natural/Environment,12
2009,100005,Submersion/Suffocation/Foreign Body,6
2009,100005,Other Accidents,23
2009,100005,Adverse Effects of Drugs,187
2009,100005,Self-Inflicted,15
2009,100005,Inflicted by Others,1
2009,100005,Undetermined,4
2009,100005,Late Effects of Injury,11
2009,100697,Rail & Motor Vehicles,2
2009,100697,Accidental Poisoning,8
2009,100697,Misadventures/Complications,7
2009,100697,Accidental Falls,39
2009,100697,Fire Accidents,1
2009,100697,Natural/Environment,4
2009,100697,Other Accidents,7
2009,100697,Adverse Effects of Drugs,55
2009,100697,Self-Inflicted,1
2009,100697,Inflicted by Others,9
2009,100697,Undetermined,4
2009,100697,Late Effects of Injury,9
2009,100717,Rail & Motor Vehicles,927
2009,100717,Other Vehicle/Transport,45
2009,100717,Accidental Poisoning,152
2009,100717,Misadventures/Complications,420
2009,100717,Accidental Falls,1001
2009,100717,Fire Accidents,39
2009,100717,Natural/Environment,76
2009,100717,Submersion/Suffocation/Foreign Body,43
2009,100717,Other Accidents,295
2009,100717,Adverse Effects of Drugs,1015
2009,100717,Self-Inflicted,183
2009,100717,Inflicted by Others,460
2009,100717,Undetermined,104
2009,100717,Late Effects of Injury,282
2009,100797,Rail & Motor Vehicles,2
2009,100797,Accidental Poisoning,10
2009,100797,Misadventures/Complications,19
2009,100797,Accidental Falls,19
2009,100797,Natural/Environment,3
2009,100797,Other Accidents,5
2009,100797,Adverse Effects of Drugs,23
2009,100797,Undetermined,6
2009,100797,Late Effects of Injury,4
2009,100899,Rail & Motor Vehicles,43
2009,100899,Other Vehicle/Transport,18
2009,100899,Accidental Poisoning,124
2009,100899,Misadventures/Complications,50
2009,100899,Accidental Falls,924
2009,100899,Fire Accidents,2
2009,100899,Natural/Environment,27
2009,100899,Submersion/Suffocation/Foreign Body,26
2009,100899,Other Accidents,152
2009,100899,Adverse Effects of Drugs,1472
2009,100899,Self-Inflicted,47
2009,100899,Inflicted by Others,12
2009,100899,Undetermined,6
2009,100899,Late Effects of Injury,24
2009,104047,Rail & Motor Vehicles,2
2009,104047,Other Vehicle/Transport,3
2009,104047,Misadventures/Complications,3
2009,104047,Accidental Falls,25
2009,104047,Natural/Environment,1
2009,104047,Other Accidents,37
2009,104047,Adverse Effects of Drugs,9
2009,104047,Inflicted by Others,1
2009,104047,Late Effects of Injury,2
2009,104062,Rail & Motor Vehicles,19
2009,104062,Other Vehicle/Transport,6
2009,104062,Accidental Poisoning,24
2009,104062,Accidental Falls,326
2009,104062,Natural/Environment,11
2009,104062,Submersion/Suffocation/Foreign Body,12
2009,104062,Other Accidents,64
2009,104062,Adverse Effects of Drugs,690
2009,104062,Self-Inflicted,16
2009,104062,Inflicted by Others,6
2009,104062,Undetermined,4
2009,104062,Late Effects of Injury,24
2009,104089,Accidental Falls,3
2009,104089,Adverse Effects of Drugs,1
2009,104089,Self-Inflicted,1
2009,104089,Inflicted by Others,2
2009,105029,Rail & Motor Vehicles,1
2009,105029,Accidental Poisoning,2
2009,105029,Misadventures/Complications,12
2009,105029,Accidental Falls,6
2009,105029,Submersion/Suffocation/Foreign Body,7
2009,105029,Other Accidents,7
2009,105029,Adverse Effects of Drugs,78
2009,105029,Late Effects of Injury,4
2009,110889,Accidental Poisoning,1
2009,110889,Misadventures/Complications,2
2009,110889,Accidental Falls,17
2009,110889,Natural/Environment,2
2009,110889,Other Accidents,6
2009,110889,Self-Inflicted,1
2009,110889,Inflicted by Others,1
2009,110889,Undetermined,3
2009,121002,Rail & Motor Vehicles,13
2009,121002,Other Vehicle/Transport,3
2009,121002,Accidental Poisoning,23
2009,121002,Misadventures/Complications,7
2009,121002,Accidental Falls,53
2009,121002,Fire Accidents,2
2009,121002,Natural/Environment,6
2009,121002,Submersion/Suffocation/Foreign Body,5
2009,121002,Other Accidents,16
2009,121002,Adverse Effects of Drugs,35
2009,121002,Self-Inflicted,15
2009,121002,Inflicted by Others,11
2009,121002,Undetermined,6
2009,121002,Late Effects of Injury,5
2009,121031,Accidental Poisoning,1
2009,121031,Misadventures/Complications,1
2009,121031,Accidental Falls,2
2009,121031,Fire Accidents,1
2009,121031,Natural/Environment,1
2009,121031,Other Accidents,2
2009,121051,Rail & Motor Vehicles,19
2009,121051,Other Vehicle/Transport,6
2009,121051,Accidental Poisoning,10
2009,121051,Misadventures/Complications,6
2009,121051,Accidental Falls,87
2009,121051,Natural/Environment,6
2009,121051,Submersion/Suffocation/Foreign Body,1
2009,121051,Other Accidents,24
2009,121051,Adverse Effects of Drugs,97
2009,121051,Self-Inflicted,13
2009,121051,Inflicted by Others,4
2009,121051,Undetermined,2
2009,121051,Late Effects of Injury,14
2009,121080,Rail & Motor Vehicles,45
2009,121080,Other Vehicle/Transport,9
2009,121080,Accidental Poisoning,59
2009,121080,Misadventures/Complications,76
2009,121080,Accidental Falls,270
2009,121080,Fire Accidents,4
2009,121080,Natural/Environment,23
2009,121080,Submersion/Suffocation/Foreign Body,14
2009,121080,Other Accidents,87
2009,121080,Adverse Effects of Drugs,379
2009,121080,Self-Inflicted,52
2009,121080,Inflicted by Others,20
2009,121080,Undetermined,22
2009,121080,War,1
2009,121080,Late Effects of Injury,46
2009,130699,Rail & Motor Vehicles,29
2009,130699,Other Vehicle/Transport,1
2009,130699,Accidental Poisoning,26
2009,130699,Misadventures/Complications,214
2009,130699,Accidental Falls,176
2009,130699,Natural/Environment,41
2009,130699,Submersion/Suffocation/Foreign Body,14
2009,130699,Other Accidents,33
2009,130699,Adverse Effects of Drugs,154
2009,130699,Self-Inflicted,11
2009,130699,Inflicted by Others,9
2009,130699,Undetermined,3
2009,130699,Late Effects of Injury,15
2009,130760,Rail & Motor Vehicles,29
2009,130760,Other Vehicle/Transport,2
2009,130760,Accidental Poisoning,14
2009,130760,Misadventures/Complications,117
2009,130760,Accidental Falls,139
2009,130760,Fire Accidents,2
2009,130760,Natural/Environment,15
2009,130760,Submersion/Suffocation/Foreign Body,8
2009,130760,Other Accidents,67
2009,130760,Adverse Effects of Drugs,116
2009,130760,Self-Inflicted,10
2009,130760,Inflicted by Others,11
2009,130760,Undetermined,15
2009,130760,Late Effects of Injury,3
2009,141273,Rail & Motor Vehicles,7
2009,141273,Other Vehicle/Transport,5
2009,141273,Accidental Poisoning,5
2009,141273,Misadventures/Complications,47
2009,141273,Accidental Falls,53
2009,141273,Natural/Environment,5
2009,141273,Submersion/Suffocation/Foreign Body,5
2009,141273,Other Accidents,16
2009,141273,Adverse Effects of Drugs,57
2009,141273,Self-Inflicted,5
2009,141273,Undetermined,3
2009,141273,Late Effects of Injury,9
2009,141338,Accidental Falls,1
2009,141338,Natural/Environment,3
2009,150706,Rail & Motor Vehicles,9
2009,150706,Other Vehicle/Transport,3
2009,150706,Accidental Poisoning,13
2009,150706,Misadventures/Complications,197
2009,150706,Accidental Falls,85
2009,150706,Natural/Environment,10
2009,150706,Submersion/Suffocation/Foreign Body,32
2009,150706,Other Accidents,101
2009,150706,Adverse Effects of Drugs,79
2009,150706,Self-Inflicted,13
2009,150706,Inflicted by Others,5
2009,150706,Undetermined,4
2009,150706,Late Effects of Injury,18
2009,150722,Rail & Motor Vehicles,36
2009,150722,Other Vehicle/Transport,9
2009,150722,Accidental Poisoning,45
2009,150722,Misadventures/Complications,932
2009,150722,Accidental Falls,481
2009,150722,Fire Accidents,1
2009,150722,Natural/Environment,18
2009,150722,Submersion/Suffocation/Foreign Body,39
2009,150722,Other Accidents,148
2009,150722,Adverse Effects of Drugs,429
2009,150722,Self-Inflicted,24
2009,150722,Inflicted by Others,23
2009,150722,Undetermined,31
2009,150722,Late Effects of Injury,38
2009,150736,Rail & Motor Vehicles,603
2009,150736,Other Vehicle/Transport,33
2009,150736,Accidental Poisoning,41
2009,150736,Misadventures/Complications,408
2009,150736,Accidental Falls,271
2009,150736,Fire Accidents,3
2009,150736,Natural/Environment,37
2009,150736,Submersion/Suffocation/Foreign Body,21
2009,150736,Other Accidents,153
2009,150736,Adverse Effects of Drugs,173
2009,150736,Self-Inflicted,118
2009,150736,Inflicted by Others,317
2009,150736,Undetermined,21
2009,150736,Late Effects of Injury,48
2009,150737,Rail & Motor Vehicles,1
2009,150737,Accidental Poisoning,5
2009,150737,Misadventures/Complications,12
2009,150737,Accidental Falls,29
2009,150737,Submersion/Suffocation/Foreign Body,1
2009,150737,Other Accidents,6
2009,150737,Adverse Effects of Drugs,39
2009,150737,Self-Inflicted,1
2009,150737,Inflicted by Others,1
2009,150761,Rail & Motor Vehicles,52
2009,150761,Other Vehicle/Transport,16
2009,150761,Accidental Poisoning,83
2009,150761,Misadventures/Complications,839
2009,150761,Accidental Falls,556
2009,150761,Fire Accidents,3
2009,150761,Natural/Environment,20
2009,150761,Submersion/Suffocation/Foreign Body,50
2009,150761,Other Accidents,148
2009,150761,Adverse Effects of Drugs,512
2009,150761,Self-Inflicted,85
2009,150761,Inflicted by Others,95
2009,150761,Undetermined,11
2009,150761,Late Effects of Injury,61
2009,150775,Rail & Motor Vehicles,2
2009,150775,Accidental Poisoning,2
2009,150775,Misadventures/Complications,1
2009,150775,Accidental Falls,24
2009,150775,Fire Accidents,1
2009,150775,Natural/Environment,2
2009,150775,Submersion/Suffocation/Foreign Body,1
2009,150775,Other Accidents,25
2009,150775,Adverse Effects of Drugs,35
2009,150775,Self-Inflicted,4
2009,150775,Inflicted by Others,2
2009,150775,Late Effects of Injury,14
2009,150782,Rail & Motor Vehicles,21
2009,150782,Other Vehicle/Transport,1
2009,150782,Accidental Poisoning,35
2009,150782,Misadventures/Complications,40
2009,150782,Accidental Falls,54
2009,150782,Fire Accidents,4
2009,150782,Natural/Environment,17
2009,150782,Submersion/Suffocation/Foreign Body,4
2009,150782,Other Accidents,21
2009,150782,Adverse Effects of Drugs,102
2009,150782,Self-Inflicted,20
2009,150782,Inflicted by Others,3
2009,150782,Undetermined,2
2009,150782,Late Effects of Injury,4
2009,150788,Rail & Motor Vehicles,40
2009,150788,Other Vehicle/Transport,16
2009,150788,Accidental Poisoning,62
2009,150788,Misadventures/Complications,1040
2009,150788,Accidental Falls,628
2009,150788,Fire Accidents,15
2009,150788,Natural/Environment,26
2009,150788,Submersion/Suffocation/Foreign Body,34
2009,150788,Other Accidents,172
2009,150788,Adverse Effects of Drugs,628
2009,150788,Self-Inflicted,63
2009,150788,Inflicted by Others,66
2009,150788,Undetermined,38
2009,150788,Late Effects of Injury,91
2009,150808,Rail & Motor Vehicles,2
2009,150808,Other Vehicle/Transport,1
2009,150808,Accidental Poisoning,7
2009,150808,Accidental Falls,3
2009,150808,Other Accidents,2
2009,150808,Inflicted by Others,1
2009,154022,Rail & Motor Vehicles,38
2009,154022,Other Vehicle/Transport,6
2009,154022,Accidental Poisoning,2
2009,154022,Accidental Falls,289
2009,154022,Fire Accidents,1
2009,154022,Natural/Environment,1
2009,154022,Other Accidents,14
2009,154022,Adverse Effects of Drugs,10
2009,154022,Inflicted by Others,2
2009,154022,Undetermined,1
2009,154101,Rail & Motor Vehicles,1
2009,154101,Other Vehicle/Transport,1
2009,154101,Accidental Poisoning,1
2009,154101,Misadventures/Complications,178
2009,154101,Accidental Falls,32
2009,154101,Fire Accidents,1
2009,154101,Natural/Environment,2
2009,154101,Submersion/Suffocation/Foreign Body,1
2009,154101,Other Accidents,18
2009,154101,Adverse Effects of Drugs,143
2009,154101,Self-Inflicted,5
2009,154101,Undetermined,20
2009,160702,Rail & Motor Vehicles,3
2009,160702,Accidental Poisoning,4
2009,160702,Misadventures/Complications,4
2009,160702,Accidental Falls,5
2009,160702,Natural/Environment,2
2009,160702,Self-Inflicted,1
2009,160702,Inflicted by Others,3
2009,160702,Undetermined,1
2009,160725,Rail & Motor Vehicles,39
2009,160725,Other Vehicle/Transport,4
2009,160725,Accidental Poisoning,72
2009,160725,Misadventures/Complications,295
2009,160725,Accidental Falls,294
2009,160725,Fire Accidents,3
2009,160725,Natural/Environment,24
2009,160725,Submersion/Suffocation/Foreign Body,9
2009,160725,Other Accidents,80
2009,160725,Adverse Effects of Drugs,415
2009,160725,Self-Inflicted,37
2009,160725,Inflicted by Others,7
2009,160725,Undetermined,3
2009,160725,Late Effects of Injury,64
2009,160787,Rail & Motor Vehicles,4
2009,160787,Other Vehicle/Transport,1
2009,160787,Accidental Poisoning,11
2009,160787,Misadventures/Complications,19
2009,160787,Accidental Falls,44
2009,160787,Natural/Environment,6
2009,160787,Submersion/Suffocation/Foreign Body,1
2009,160787,Other Accidents,16
