Year,Oshpd_ID,Facility_Name,Type_Of_Control,County_Name,Principal_Procedure_Group,Count
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Musculoskeletal,748
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Skin,254
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Diagnostic/Therapeutic,1296
2009,10805,EDEN MEDICAL CENTER,Non-Profit,ALAMEDA,Other Interventions,19
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Cardiovascular,18
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Digestive,2
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Musculoskeletal,1
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Skin,1
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,Non-Profit,ALAMEDA,Diagnostic/Therapeutic,877
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Nervous System,236
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Endocrine System,30
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Eye,27
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Ear,4
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Nose/Mouth/Pharynx,43
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Respiratory,218
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Cardiovascular,554
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Blood/Lymph Organs,41
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Digestive,1075
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Urinary,98
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Male Reproductive Organs,43
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Female Reproductive Organs,267
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,OB Procedures,1386
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Musculoskeletal,532
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Skin,347
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,City/County,ALAMEDA,Diagnostic/Therapeutic,5063
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Nervous System,616
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Endocrine System,65
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Eye,13
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Ear,11
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Nose/Mouth/Pharynx,101
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Respiratory,302
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Cardiovascular,801
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Blood/Lymph Organs,132
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Digestive,1865
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Urinary,223
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Male Reproductive Organs,568
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Female Reproductive Organs,482
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,OB Procedures,2308
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Musculoskeletal,2382
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Skin,426
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Diagnostic/Therapeutic,6891
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,Non-Profit,ALAMEDA,Other Interventions,173
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Nervous System,152
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Endocrine System,57
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Eye,13
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Ear,4
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Nose/Mouth/Pharynx,79
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Respiratory,261
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Cardiovascular,807
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Blood/Lymph Organs,74
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Digestive,2261
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Urinary,216
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Male Reproductive Organs,796
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Female Reproductive Organs,335
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,OB Procedures,2693
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Musculoskeletal,1387
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Skin,336
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Diagnostic/Therapeutic,4998
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,Non-Profit,ALAMEDA,Other Interventions,45
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Investor,ALAMEDA,Respiratory,15
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Investor,ALAMEDA,Cardiovascular,19
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Investor,ALAMEDA,Blood/Lymph Organs,1
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Investor,ALAMEDA,Digestive,17
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Investor,ALAMEDA,Musculoskeletal,29
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Investor,ALAMEDA,Skin,68
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Investor,ALAMEDA,Diagnostic/Therapeutic,242
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Nervous System,80
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Endocrine System,51
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Eye,11
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Ear,1
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Nose/Mouth/Pharynx,39
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Respiratory,492
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Cardiovascular,3701
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Blood/Lymph Organs,69
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Digestive,1585
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Urinary,108
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Male Reproductive Organs,63
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Female Reproductive Organs,197
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Musculoskeletal,979
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Skin,374
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Diagnostic/Therapeutic,2635
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,Non-Profit,ALAMEDA,Other Interventions,45
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Nervous System,29
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Endocrine System,7
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Eye,3
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Nose/Mouth/Pharynx,4
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Respiratory,128
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Cardiovascular,861
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Blood/Lymph Organs,17
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Digestive,775
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Urinary,49
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Male Reproductive Organs,19
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Female Reproductive Organs,181
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,OB Procedures,1259
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Musculoskeletal,377
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Skin,230
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Diagnostic/Therapeutic,477
2009,10967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,Other Interventions,20
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Nervous System,185
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Endocrine System,50
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Eye,4
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Ear,2
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Nose/Mouth/Pharynx,149
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Respiratory,220
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Cardiovascular,1685
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Blood/Lymph Organs,36
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Digestive,1259
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Urinary,80
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Male Reproductive Organs,260
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Female Reproductive Organs,154
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,OB Procedures,2398
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Musculoskeletal,1684
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Skin,267
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Diagnostic/Therapeutic,1532
2009,10987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Other Interventions,93
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Nervous System,15
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Endocrine System,3
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Nose/Mouth/Pharynx,4
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Respiratory,66
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Cardiovascular,581
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Blood/Lymph Organs,15
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Digestive,513
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Urinary,31
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Male Reproductive Organs,11
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Female Reproductive Organs,1
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Musculoskeletal,243
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Skin,96
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Diagnostic/Therapeutic,390
2009,13619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Other Interventions,6
2009,13687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Non-Profit,ALAMEDA,Diagnostic/Therapeutic,582
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Nervous System,168
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Endocrine System,7
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Eye,2
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Ear,1
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Nose/Mouth/Pharynx,18
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Respiratory,124
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Cardiovascular,658
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Blood/Lymph Organs,17
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Digestive,917
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Urinary,54
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Male Reproductive Organs,13
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Female Reproductive Organs,133
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,OB Procedures,1383
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Musculoskeletal,865
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Skin,92
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Diagnostic/Therapeutic,1219
2009,14050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Other Interventions,37
2009,14207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,Investor,ALAMEDA,Diagnostic/Therapeutic,1271
2009,14226,TELECARE WILLOW ROCK CENTER,Investor,ALAMEDA,Diagnostic/Therapeutic,614
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Nervous System,18
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Nose/Mouth/Pharynx,1
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Respiratory,36
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Cardiovascular,80
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Blood/Lymph Organs,4
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Digestive,224
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Urinary,50
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Male Reproductive Organs,28
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Female Reproductive Organs,79
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,OB Procedures,369
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Musculoskeletal,245
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Skin,45
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Diagnostic/Therapeutic,807
2009,34002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Other Interventions,5
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,Non-Profit,BUTTE,Respiratory,1
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,Non-Profit,BUTTE,Cardiovascular,3
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,Non-Profit,BUTTE,Digestive,36
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,Non-Profit,BUTTE,Musculoskeletal,61
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,Non-Profit,BUTTE,Skin,12
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,Non-Profit,BUTTE,Diagnostic/Therapeutic,46
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Nervous System,18
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Endocrine System,14
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Eye,3
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Ear,1
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Nose/Mouth/Pharynx,12
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Respiratory,134
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Cardiovascular,447
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Blood/Lymph Organs,11
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Digestive,503
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Urinary,51
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Male Reproductive Organs,269
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Female Reproductive Organs,211
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,OB Procedures,968
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Musculoskeletal,417
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Skin,83
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Diagnostic/Therapeutic,651
2009,40875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Other Interventions,25
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Nervous System,37
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Endocrine System,12
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Eye,2
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Ear,2
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Nose/Mouth/Pharynx,46
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Respiratory,258
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Cardiovascular,316
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Blood/Lymph Organs,6
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Digestive,828
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Urinary,83
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Male Reproductive Organs,36
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Female Reproductive Organs,241
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,OB Procedures,565
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Musculoskeletal,444
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Skin,200
2009,40937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Diagnostic/Therapeutic,3796
