Year,Oshpd_ID,Facility_Name,Type_Of_Control,County_Name,Admission_Type,Count
2009,010967,ST. ROSE HOSPITAL,Non-Profit,ALAMEDA,"Infant, under 24 hrs old",1281
2009,010987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Scheduled,4746
2009,010987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,Unscheduled,8540
2009,010987,WASHINGTON HOSPITAL - FREMONT,District,ALAMEDA,"Infant, under 24 hrs old",2409
2009,013619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Scheduled,394
2009,013619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Unscheduled,3829
2009,013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Non-Profit,ALAMEDA,Scheduled,579
2009,013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Non-Profit,ALAMEDA,Unscheduled,12
2009,014034,FREMONT HOSPITAL,Investor,ALAMEDA,Unscheduled,3438
2009,014050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Scheduled,2455
2009,014050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Unscheduled,5557
2009,014050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,"Infant, under 24 hrs old",1408
2009,014050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Unknown,2
2009,014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,Investor,ALAMEDA,Scheduled,5
2009,014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,Investor,ALAMEDA,Unscheduled,1267
2009,014226,TELECARE WILLOW ROCK CENTER,Investor,ALAMEDA,Unscheduled,649
2009,034002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Scheduled,324
2009,034002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Unscheduled,1987
2009,034002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,"Infant, under 24 hrs old",345
2009,034002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Unknown,2
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,Non-Profit,BUTTE,Scheduled,39
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,Non-Profit,BUTTE,Unscheduled,694
2009,040875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Scheduled,1685
2009,040875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Unscheduled,3255
2009,040875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,"Infant, under 24 hrs old",969
2009,040937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Scheduled,1033
2009,040937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Unscheduled,7824
2009,040937,OROVILLE HOSPITAL,Non-Profit,BUTTE,"Infant, under 24 hrs old",560
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,Non-Profit,BUTTE,Scheduled,2928
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,Non-Profit,BUTTE,Unscheduled,11759
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,Non-Profit,BUTTE,"Infant, under 24 hrs old",1403
2009,044006,BUTTE COUNTY PHF,City/County,BUTTE,Unscheduled,602
2009,044006,BUTTE COUNTY PHF,City/County,BUTTE,Unknown,7
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,Non-Profit,CALAVERAS,Scheduled,287
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,Non-Profit,CALAVERAS,Unscheduled,1251
2009,060870,COLUSA REGIONAL MEDICAL CENTER,Non-Profit,COLUSA,Scheduled,140
2009,060870,COLUSA REGIONAL MEDICAL CENTER,Non-Profit,COLUSA,Unscheduled,1036
2009,060870,COLUSA REGIONAL MEDICAL CENTER,Non-Profit,COLUSA,"Infant, under 24 hrs old",216
2009,070904,DOCTORS MEDICAL CENTER - SAN PABLO,District,CONTRA COSTA,Scheduled,676
2009,070904,DOCTORS MEDICAL CENTER - SAN PABLO,District,CONTRA COSTA,Unscheduled,5601
2009,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,Scheduled,800
2009,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,Unscheduled,8587
2009,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,"Infant, under 24 hrs old",2459
2009,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,Unknown,2
2009,070934,SUTTER DELTA MEDICAL CENTER,Non-Profit,CONTRA COSTA,Scheduled,1189
2009,070934,SUTTER DELTA MEDICAL CENTER,Non-Profit,CONTRA COSTA,Unscheduled,6297
2009,070934,SUTTER DELTA MEDICAL CENTER,Non-Profit,CONTRA COSTA,"Infant, under 24 hrs old",951
2009,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,Non-Profit,CONTRA COSTA,Scheduled,3858
2009,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,Non-Profit,CONTRA COSTA,Unscheduled,13394
2009,100797,SIERRA KINGS DISTRICT HOSPITAL,District,FRESNO,Scheduled,351
2009,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,Non-Profit,CONTRA COSTA,"Infant, under 24 hrs old",2765
2009,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,Non-Profit,CONTRA COSTA,Unknown,3
2009,070990,KAISER FND HOSP - WALNUT CREEK,Non-Profit,CONTRA COSTA,Scheduled,2972
2009,070990,KAISER FND HOSP - WALNUT CREEK,Non-Profit,CONTRA COSTA,Unscheduled,12616
2009,070990,KAISER FND HOSP - WALNUT CREEK,Non-Profit,CONTRA COSTA,"Infant, under 24 hrs old",3379
2009,070990,KAISER FND HOSP - WALNUT CREEK,Non-Profit,CONTRA COSTA,Unknown,1
2009,071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,Non-Profit,CONTRA COSTA,Scheduled,1760
2009,071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,Non-Profit,CONTRA COSTA,Unscheduled,7291
2009,071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,Non-Profit,CONTRA COSTA,Unknown,4
2009,074017,SAN RAMON REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,Scheduled,512
2009,074017,SAN RAMON REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,Unscheduled,4260
2009,074017,SAN RAMON REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,"Infant, under 24 hrs old",807
2009,074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,Non-Profit,CONTRA COSTA,Unscheduled,2776
2009,074097,KAISER FOUND HSP-ANTIOCH,Non-Profit,CONTRA COSTA,Scheduled,1779
2009,074097,KAISER FOUND HSP-ANTIOCH,Non-Profit,CONTRA COSTA,Unscheduled,5984
2009,074097,KAISER FOUND HSP-ANTIOCH,Non-Profit,CONTRA COSTA,"Infant, under 24 hrs old",1281
2009,074097,KAISER FOUND HSP-ANTIOCH,Non-Profit,CONTRA COSTA,Unknown,2
2009,084001,SUTTER COAST HOSPITAL,Non-Profit,DEL NORTE,Scheduled,151
2009,084001,SUTTER COAST HOSPITAL,Non-Profit,DEL NORTE,Unscheduled,2297
2009,084001,SUTTER COAST HOSPITAL,Non-Profit,DEL NORTE,"Infant, under 24 hrs old",328
2009,090793,BARTON MEMORIAL HOSPITAL,Non-Profit,EL DORADO,Scheduled,1097
2009,090793,BARTON MEMORIAL HOSPITAL,Non-Profit,EL DORADO,Unscheduled,1491
2009,090793,BARTON MEMORIAL HOSPITAL,Non-Profit,EL DORADO,"Infant, under 24 hrs old",449
2009,090793,BARTON MEMORIAL HOSPITAL,Non-Profit,EL DORADO,Unknown,1
2009,090933,MARSHALL  MEDICAL CENTER (1-RH),Non-Profit,EL DORADO,Scheduled,1367
2009,090933,MARSHALL  MEDICAL CENTER (1-RH),Non-Profit,EL DORADO,Unscheduled,4500
2009,090933,MARSHALL  MEDICAL CENTER (1-RH),Non-Profit,EL DORADO,"Infant, under 24 hrs old",586
2009,090933,MARSHALL  MEDICAL CENTER (1-RH),Non-Profit,EL DORADO,Unknown,12
2009,094002,EL DORADO COUNTY P H F,City/County,EL DORADO,Unscheduled,337
2009,100005,CLOVIS COMMUNITY MEDICAL CENTER,Non-Profit,FRESNO,Scheduled,3492
2009,100005,CLOVIS COMMUNITY MEDICAL CENTER,Non-Profit,FRESNO,Unscheduled,6016
2009,100005,CLOVIS COMMUNITY MEDICAL CENTER,Non-Profit,FRESNO,"Infant, under 24 hrs old",3622
2009,100005,CLOVIS COMMUNITY MEDICAL CENTER,Non-Profit,FRESNO,Unknown,9
2009,100697,COALINGA REGIONAL MEDICAL CENTER,District,FRESNO,Scheduled,116
2009,100697,COALINGA REGIONAL MEDICAL CENTER,District,FRESNO,Unscheduled,1162
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Non-Profit,FRESNO,Scheduled,5606
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Non-Profit,FRESNO,Unscheduled,29940
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Non-Profit,FRESNO,"Infant, under 24 hrs old",6569
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Non-Profit,FRESNO,Unknown,46
2009,100745,KINGSBURG MEDICAL CENTER,District,FRESNO,Scheduled,45
2009,100797,SIERRA KINGS DISTRICT HOSPITAL,District,FRESNO,Unscheduled,2106
2009,100797,SIERRA KINGS DISTRICT HOSPITAL,District,FRESNO,"Infant, under 24 hrs old",1599
2009,100899,ST. AGNES MEDICAL CENTER,Non-Profit,FRESNO,Scheduled,4088
2009,100899,ST. AGNES MEDICAL CENTER,Non-Profit,FRESNO,Unscheduled,19876
2009,100899,ST. AGNES MEDICAL CENTER,Non-Profit,FRESNO,"Infant, under 24 hrs old",3717
2009,100899,ST. AGNES MEDICAL CENTER,Non-Profit,FRESNO,Unknown,5
2009,104023,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,Investor,FRESNO,Scheduled,1394
2009,104047,FRESNO SURGICAL HOSPITAL,Investor,FRESNO,Scheduled,2278
2009,104047,FRESNO SURGICAL HOSPITAL,Investor,FRESNO,Unscheduled,1
2009,104047,FRESNO SURGICAL HOSPITAL,Investor,FRESNO,Unknown,1
2009,104062,KAISER FND HOSP - FRESNO,Non-Profit,FRESNO,Scheduled,1742
2009,104062,KAISER FND HOSP - FRESNO,Non-Profit,FRESNO,Unscheduled,5912
2009,104062,KAISER FND HOSP - FRESNO,Non-Profit,FRESNO,"Infant, under 24 hrs old",1109
2009,104062,KAISER FND HOSP - FRESNO,Non-Profit,FRESNO,Unknown,1
2009,104089,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-FRESNO,City/County,FRESNO,Scheduled,18
2009,104089,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-FRESNO,City/County,FRESNO,Unscheduled,879
2009,105029,FRESNO HEART AND SURGICAL HOSPITAL,Non-Profit,FRESNO,Scheduled,2933
2009,105029,FRESNO HEART AND SURGICAL HOSPITAL,Non-Profit,FRESNO,Unscheduled,700
2009,110889,GLENN MEDICAL CENTER,Non-Profit,GLENN,Unscheduled,305
2009,121002,MAD RIVER COMMUNITY HOSPITAL,Investor,HUMBOLDT,Scheduled,228
2009,121002,MAD RIVER COMMUNITY HOSPITAL,Investor,HUMBOLDT,Unscheduled,1891
2009,121002,MAD RIVER COMMUNITY HOSPITAL,Investor,HUMBOLDT,"Infant, under 24 hrs old",460
2009,121031,JEROLD PHELPS COMMUNITY HOSPITAL,District,HUMBOLDT,Scheduled,9
2009,121031,JEROLD PHELPS COMMUNITY HOSPITAL,District,HUMBOLDT,Unscheduled,74
2009,121051,REDWOOD MEMORIAL HOSPITAL,Non-Profit,HUMBOLDT,Scheduled,276
2009,121051,REDWOOD MEMORIAL HOSPITAL,Non-Profit,HUMBOLDT,Unscheduled,1432
2009,121051,REDWOOD MEMORIAL HOSPITAL,Non-Profit,HUMBOLDT,"Infant, under 24 hrs old",368
2009,121080,ST. JOSEPH HOSPITAL - EUREKA,Non-Profit,HUMBOLDT,Scheduled,1417
2009,121080,ST. JOSEPH HOSPITAL - EUREKA,Non-Profit,HUMBOLDT,Unscheduled,5149
2009,121080,ST. JOSEPH HOSPITAL - EUREKA,Non-Profit,HUMBOLDT,"Infant, under 24 hrs old",715
2009,124004,SEMPERVIRENS P.H.F.,City/County,HUMBOLDT,Scheduled,1
2009,124004,SEMPERVIRENS P.H.F.,City/County,HUMBOLDT,Unscheduled,636
2009,130699,EL CENTRO REGIONAL MEDICAL CENTER,City/County,IMPERIAL,Scheduled,1613
2009,130699,EL CENTRO REGIONAL MEDICAL CENTER,City/County,IMPERIAL,Unscheduled,4572
2009,130699,EL CENTRO REGIONAL MEDICAL CENTER,City/County,IMPERIAL,"Infant, under 24 hrs old",1428
2009,130760,PIONEERS MEMORIAL HOSPITAL,District,IMPERIAL,Scheduled,748
2009,130760,PIONEERS MEMORIAL HOSPITAL,District,IMPERIAL,Unscheduled,5055
2009,130760,PIONEERS MEMORIAL HOSPITAL,District,IMPERIAL,"Infant, under 24 hrs old",1655
2009,141273,NORTHERN INYO HOSPITAL,District,INYO,Scheduled,209
2009,141273,NORTHERN INYO HOSPITAL,District,INYO,Unscheduled,844
2009,141273,NORTHERN INYO HOSPITAL,District,INYO,"Infant, under 24 hrs old",232
2009,141273,NORTHERN INYO HOSPITAL,District,INYO,Unknown,1
2009,141338,SOUTHERN INYO HOSPITAL,District,INYO,Scheduled,24
2009,141338,SOUTHERN INYO HOSPITAL,District,INYO,Unscheduled,25
2009,150706,DELANO REGIONAL MEDICAL CENTER,Non-Profit,KERN,Scheduled,501
2009,150706,DELANO REGIONAL MEDICAL CENTER,Non-Profit,KERN,Unscheduled,3370
2009,150706,DELANO REGIONAL MEDICAL CENTER,Non-Profit,KERN,"Infant, under 24 hrs old",957
2009,150722,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,Non-Profit,KERN,Scheduled,2551
2009,150722,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,Non-Profit,KERN,Unscheduled,14165
2009,150722,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,Non-Profit,KERN,"Infant, under 24 hrs old",3482
2009,150722,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,Non-Profit,KERN,Unknown,5
2009,150736,KERN MEDICAL CENTER,City/County,KERN,Scheduled,1978
2009,150736,KERN MEDICAL CENTER,City/County,KERN,Unscheduled,9398
2009,150736,KERN MEDICAL CENTER,City/County,KERN,"Infant, under 24 hrs old",4134
2009,150737,KERN VALLEY HEALTHCARE DISTRICT,District,KERN,Scheduled,179
2009,150737,KERN VALLEY HEALTHCARE DISTRICT,District,KERN,Unscheduled,752
2009,150761,MERCY HOSPITAL - BAKERSFIELD,Non-Profit,KERN,Scheduled,2223
2009,150761,MERCY HOSPITAL - BAKERSFIELD,Non-Profit,KERN,Unscheduled,10132
2009,150761,MERCY HOSPITAL - BAKERSFIELD,Non-Profit,KERN,"Infant, under 24 hrs old",2521
2009,150761,MERCY HOSPITAL - BAKERSFIELD,Non-Profit,KERN,Unknown,7
2009,150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,Investor,KERN,Scheduled,96
2009,150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,Investor,KERN,Unscheduled,3618
2009,150782,RIDGECREST REGIONAL HOSPITAL,Non-Profit,KERN,Scheduled,238
2009,150782,RIDGECREST REGIONAL HOSPITAL,Non-Profit,KERN,Unscheduled,2665
2009,150782,RIDGECREST REGIONAL HOSPITAL,Non-Profit,KERN,"Infant, under 24 hrs old",342
2009,150782,RIDGECREST REGIONAL HOSPITAL,Non-Profit,KERN,Unknown,1
2009,150788,SAN JOAQUIN COMMUNITY HOSPITAL,Non-Profit,KERN,Scheduled,3259
2009,150788,SAN JOAQUIN COMMUNITY HOSPITAL,Non-Profit,KERN,Unscheduled,13703
2009,150788,SAN JOAQUIN COMMUNITY HOSPITAL,Non-Profit,KERN,"Infant, under 24 hrs old",2562
2009,150788,SAN JOAQUIN COMMUNITY HOSPITAL,Non-Profit,KERN,Unknown,9
2009,150808,TEHACHAPI HOSPITAL,District,KERN,Scheduled,23
2009,150808,TEHACHAPI HOSPITAL,District,KERN,Unscheduled,203
2009,154022,HEALTHSOUTH BAKERSFIELD REHABILITATION HOSPITAL,Investor,KERN,Scheduled,1478
2009,154101,BAKERSFIELD HEART HOSPITAL,Investor,KERN,Scheduled,685
2009,154101,BAKERSFIELD HEART HOSPITAL,Investor,KERN,Unscheduled,3136
2009,154101,BAKERSFIELD HEART HOSPITAL,Investor,KERN,Unknown,2
2009,154147,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-BAKERSFIELD,Investor,KERN,Scheduled,6
2009,154147,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-BAKERSFIELD,Investor,KERN,Unscheduled,588
2009,160702,CORCORAN DISTRICT HOSPITAL,District,KINGS,Scheduled,7
2009,160702,CORCORAN DISTRICT HOSPITAL,District,KINGS,Unscheduled,330
2009,160702,CORCORAN DISTRICT HOSPITAL,District,KINGS,Unknown,2
2009,160725,HANFORD COMMUNITY MEDICAL CENTER,Non-Profit,KINGS,Scheduled,1365
2009,160725,HANFORD COMMUNITY MEDICAL CENTER,Non-Profit,KINGS,Unscheduled,8057
2009,160725,HANFORD COMMUNITY MEDICAL CENTER,Non-Profit,KINGS,"Infant, under 24 hrs old",1228
2009,160787,CENTRAL VALLEY GENERAL HOSPITAL,Non-Profit,KINGS,Scheduled,565
2009,160787,CENTRAL VALLEY GENERAL HOSPITAL,Non-Profit,KINGS,Unscheduled,3682
2009,160787,CENTRAL VALLEY GENERAL HOSPITAL,Non-Profit,KINGS,"Infant, under 24 hrs old",2074
2009,171049,ST. HELENA HOSPITAL - CLEARLAKE,Non-Profit,LAKE,Scheduled,230
2009,171049,ST. HELENA HOSPITAL - CLEARLAKE,Non-Profit,LAKE,Unscheduled,1496
2009,171049,ST. HELENA HOSPITAL - CLEARLAKE,Non-Profit,LAKE,"Infant, under 24 hrs old",198
2009,171395,SUTTER LAKESIDE HOSPITAL,Non-Profit,LAKE,Scheduled,497
2009,171395,SUTTER LAKESIDE HOSPITAL,Non-Profit,LAKE,Unscheduled,1731
2009,171395,SUTTER LAKESIDE HOSPITAL,Non-Profit,LAKE,"Infant, under 24 hrs old",341
2009,184008,BANNER LASSEN MEDICAL CENTER,Non-Profit,LASSEN,Scheduled,75
2009,184008,BANNER LASSEN MEDICAL CENTER,Non-Profit,LASSEN,Unscheduled,1310
2009,184008,BANNER LASSEN MEDICAL CENTER,Non-Profit,LASSEN,"Infant, under 24 hrs old",314
2009,190017,ALHAMBRA HOSPITAL,Investor,LOS ANGELES,Scheduled,963
2009,190017,ALHAMBRA HOSPITAL,Investor,LOS ANGELES,Unscheduled,2911
2009,190017,ALHAMBRA HOSPITAL,Investor,LOS ANGELES,Unknown,7
2009,190020,BHC ALHAMBRA HOSPITAL,Non-Profit,LOS ANGELES,Unscheduled,4019
2009,190034,ANTELOPE VALLEY HOSPITAL,District,LOS ANGELES,Scheduled,2141
2009,190034,ANTELOPE VALLEY HOSPITAL,District,LOS ANGELES,Unscheduled,22244
2009,190034,ANTELOPE VALLEY HOSPITAL,District,LOS ANGELES,"Infant, under 24 hrs old",5599
2009,190045,CATALINA ISLAND MEDICAL CENTER,Non-Profit,LOS ANGELES,Scheduled,9
2009,190045,CATALINA ISLAND MEDICAL CENTER,Non-Profit,LOS ANGELES,Unscheduled,26
2009,190049,KINDRED HOSPITAL BALDWIN PARK,Investor,LOS ANGELES,Scheduled,724
2009,190052,BARLOW RESPIRATORY HOSPITAL,Non-Profit,LOS ANGELES,Scheduled,696
2009,190053,ST. MARY MEDICAL CENTER,Non-Profit,LOS ANGELES,Scheduled,2581
2009,190053,ST. MARY MEDICAL CENTER,Non-Profit,LOS ANGELES,Unscheduled,8897
2009,190053,ST. MARY MEDICAL CENTER,Non-Profit,LOS ANGELES,"Infant, under 24 hrs old",2925
2009,190053,ST. MARY MEDICAL CENTER,Non-Profit,LOS ANGELES,Unknown,3
2009,190066,BELLFLOWER MEDICAL CENTER,Investor,LOS ANGELES,Scheduled,1708
2009,190066,BELLFLOWER MEDICAL CENTER,Investor,LOS ANGELES,Unscheduled,3152
2009,190066,BELLFLOWER MEDICAL CENTER,Investor,LOS ANGELES,"Infant, under 24 hrs old",1267
2009,190066,BELLFLOWER MEDICAL CENTER,Investor,LOS ANGELES,Unknown,38
2009,190081,BEVERLY HOSPITAL,Non-Profit,LOS ANGELES,Scheduled,2049
2009,190081,BEVERLY HOSPITAL,Non-Profit,LOS ANGELES,Unscheduled,7243
2009,190081,BEVERLY HOSPITAL,Non-Profit,LOS ANGELES,"Infant, under 24 hrs old",1307
2009,190110,BROTMAN MEDICAL CENTER,Investor,LOS ANGELES,Scheduled,1864
2009,190110,BROTMAN MEDICAL CENTER,Investor,LOS ANGELES,Unscheduled,6382
2009,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,Non-Profit,LOS ANGELES,Scheduled,809
2009,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,Non-Profit,LOS ANGELES,Unscheduled,15345
2009,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,Non-Profit,LOS ANGELES,"Infant, under 24 hrs old",4550
2009,190137,CASA COLINA HOSPITAL FOR REHAB MEDICINE,Non-Profit,LOS ANGELES,Scheduled,1344
2009,190137,CASA COLINA HOSPITAL FOR REHAB MEDICINE,Non-Profit,LOS ANGELES,Unknown,8
2009,190148,CENTINELA HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Scheduled,2424
2009,190148,CENTINELA HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Unscheduled,16351
2009,190148,CENTINELA HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,"Infant, under 24 hrs old",1767
2009,190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,Non-Profit,LOS ANGELES,Scheduled,18
2009,190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,Non-Profit,LOS ANGELES,Unscheduled,1059
2009,190159,TRI-CITY REGIONAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Scheduled,856
2009,190159,TRI-CITY REGIONAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Unscheduled,2728
2009,190163,AURORA CHARTER OAK,Investor,LOS ANGELES,Unscheduled,4641
2009,190170,CHILDREN'S HOSPITAL OF LOS ANGELES,Non-Profit,LOS ANGELES,Scheduled,2929
2009,190170,CHILDREN'S HOSPITAL OF LOS ANGELES,Non-Profit,LOS ANGELES,Unscheduled,7951
2009,190170,CHILDREN'S HOSPITAL OF LOS ANGELES,Non-Profit,LOS ANGELES,"Infant, under 24 hrs old",197
2009,190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Non-Profit,LOS ANGELES,Scheduled,4198
2009,190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Non-Profit,LOS ANGELES,Unscheduled,2142
2009,190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Non-Profit,LOS ANGELES,Unknown,1
2009,190184,COLLEGE HOSPITAL,Investor,LOS ANGELES,Scheduled,2
2009,190184,COLLEGE HOSPITAL,Investor,LOS ANGELES,Unscheduled,6757
2009,190196,KINDRED HOSPITAL SOUTH BAY,Investor,LOS ANGELES,Scheduled,887
2009,190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,Investor,LOS ANGELES,Scheduled,131
2009,190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,Investor,LOS ANGELES,Unscheduled,3839
2009,190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,Investor,LOS ANGELES,Unknown,29
