Year,OSHPD ID,Facility Name,County Name,Type of Control,Disposition,Count
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Residential Care Facility,5
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Prison/Jail,1
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Against Medical Advice,21
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Died,67
2009,10776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Non-Profit,Home Health Service,7
2009,10782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Routine (Home),90
2009,10782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Prison/Jail,4
2009,10782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Against Medical Advice,42
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Routine (Home),6548
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Acute Care (This Hospital),48
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Other Care (This Hospital),308
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Skilled Nursing/IC (This Hospital),1
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Acute Care (Another Hospital),276
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Other Care (Another Hospital),143
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Skilled Nursing/IC (Elsewhere),1227
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Residential Care Facility,182
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Prison/Jail,20
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Against Medical Advice,138
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Died,284
2009,10805,EDEN MEDICAL CENTER,ALAMEDA,Non-Profit,Home Health Service,923
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Routine (Home),2438
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Other Care (This Hospital),1
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Acute Care (Another Hospital),128
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Other Care (Another Hospital),33
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Skilled Nursing/IC (Elsewhere),99
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Residential Care Facility,193
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Prison/Jail,7
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Against Medical Advice,51
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Died,5
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Home Health Service,480
2009,10844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Non-Profit,Other,136
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Routine (Home),10858
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Acute Care (This Hospital),81
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Other Care (This Hospital),335
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Skilled Nursing/IC (This Hospital),134
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Acute Care (Another Hospital),344
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Other Care (Another Hospital),497
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Skilled Nursing/IC (Elsewhere),515
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Residential Care Facility,517
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Prison/Jail,255
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Against Medical Advice,169
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Died,245
2009,10846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,ALAMEDA,City/County,Home Health Service,781
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Routine (Home),15113
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Acute Care (This Hospital),8
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Other Care (This Hospital),6
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Acute Care (Another Hospital),398
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Other Care (Another Hospital),292
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Skilled Nursing/IC (Elsewhere),1665
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Residential Care Facility,65
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Prison/Jail,3
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Against Medical Advice,99
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Died,434
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Home Health Service,2026
2009,10856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Non-Profit,Other,32
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Routine (Home),13928
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Other Care (This Hospital),5
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Acute Care (Another Hospital),573
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Other Care (Another Hospital),113
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Skilled Nursing/IC (Elsewhere),1874
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Residential Care Facility,246
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Prison/Jail,2
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Against Medical Advice,96
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Died,427
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Home Health Service,1543
2009,10858,KAISER FND HOSP - HAYWARD/FREMONT,ALAMEDA,Non-Profit,Other,7
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Routine (Home),12
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Acute Care (Another Hospital),89
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Other Care (Another Hospital),30
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Skilled Nursing/IC (Elsewhere),220
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Residential Care Facility,12
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Died,64
2009,10887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Home Health Service,36
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Routine (Home),8037
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Acute Care (This Hospital),58
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Other Care (This Hospital),4
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Skilled Nursing/IC (This Hospital),487
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Acute Care (Another Hospital),193
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Other Care (Another Hospital),264
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Skilled Nursing/IC (Elsewhere),2009
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Residential Care Facility,51
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Prison/Jail,2
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Against Medical Advice,159
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Died,448
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Home Health Service,2834
2009,10937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,ALAMEDA,Non-Profit,Other,18
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Routine (Home),6313
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Acute Care (This Hospital),30
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Skilled Nursing/IC (This Hospital),307
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Acute Care (Another Hospital),218
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Other Care (Another Hospital),60
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Skilled Nursing/IC (Elsewhere),832
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Residential Care Facility,195
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Prison/Jail,5
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Against Medical Advice,125
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Died,197
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Home Health Service,585
2009,10967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Other,25
2009,10987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Routine (Home),10613
2009,10987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Acute Care (Another Hospital),465
2009,10987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Other Care (Another Hospital),194
2009,10987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Skilled Nursing/IC (Elsewhere),1619
2009,10987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Residential Care Facility,181
2009,10987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Prison/Jail,2
2009,10987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Against Medical Advice,93
2009,10987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Died,336
2009,10987,WASHINGTON HOSPITAL - FREMONT,ALAMEDA,District,Home Health Service,2192
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Routine (Home),2346
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Other Care (This Hospital),1
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Skilled Nursing/IC (This Hospital),1
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Acute Care (Another Hospital),146
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Other Care (Another Hospital),155
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Skilled Nursing/IC (Elsewhere),736
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Residential Care Facility,49
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Prison/Jail,1
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Against Medical Advice,75
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Died,142
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Home Health Service,447
2009,13619,SAN LEANDRO HOSPITAL,ALAMEDA,Non-Profit,Other,124
2009,13687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Routine (Home),557
2009,13687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Acute Care (Another Hospital),2
2009,13687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Other Care (Another Hospital),3
2009,13687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Prison/Jail,2
2009,13687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Against Medical Advice,23
2009,13687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Other,4
2009,14034,FREMONT HOSPITAL,ALAMEDA,Investor,Routine (Home),2961
2009,14034,FREMONT HOSPITAL,ALAMEDA,Investor,Acute Care (Another Hospital),30
2009,14034,FREMONT HOSPITAL,ALAMEDA,Investor,Skilled Nursing/IC (Elsewhere),95
2009,14034,FREMONT HOSPITAL,ALAMEDA,Investor,Residential Care Facility,314
2009,14034,FREMONT HOSPITAL,ALAMEDA,Investor,Prison/Jail,11
2009,14034,FREMONT HOSPITAL,ALAMEDA,Investor,Against Medical Advice,25
2009,14034,FREMONT HOSPITAL,ALAMEDA,Investor,Other,2
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Routine (Home),6663
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Acute Care (This Hospital),63
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Other Care (This Hospital),70
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Skilled Nursing/IC (This Hospital),420
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Acute Care (Another Hospital),177
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Other Care (Another Hospital),18
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Skilled Nursing/IC (Elsewhere),411
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Residential Care Facility,109
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Prison/Jail,51
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Against Medical Advice,59
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Died,198
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Home Health Service,1025
2009,14050,VALLEYCARE MEDICAL CENTER,ALAMEDA,Non-Profit,Other,158
2009,14207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,ALAMEDA,Investor,Routine (Home),1154
2009,14207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,ALAMEDA,Investor,Acute Care (Another Hospital),9
2009,14207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,ALAMEDA,Investor,Other Care (Another Hospital),41
2009,14207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,ALAMEDA,Investor,Residential Care Facility,24
2009,14207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,ALAMEDA,Investor,Prison/Jail,2
2009,14207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,ALAMEDA,Investor,Against Medical Advice,15
2009,14207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,ALAMEDA,Investor,Other,27
2009,14226,TELECARE WILLOW ROCK CENTER,ALAMEDA,Investor,Routine (Home),575
2009,14226,TELECARE WILLOW ROCK CENTER,ALAMEDA,Investor,Other Care (This Hospital),1
2009,14226,TELECARE WILLOW ROCK CENTER,ALAMEDA,Investor,Acute Care (Another Hospital),19
2009,14226,TELECARE WILLOW ROCK CENTER,ALAMEDA,Investor,Other Care (Another Hospital),5
2009,14226,TELECARE WILLOW ROCK CENTER,ALAMEDA,Investor,Residential Care Facility,35
2009,14226,TELECARE WILLOW ROCK CENTER,ALAMEDA,Investor,Prison/Jail,13
2009,14226,TELECARE WILLOW ROCK CENTER,ALAMEDA,Investor,Against Medical Advice,1
2009,34002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Routine (Home),1908
2009,34002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Acute Care (Another Hospital),150
2009,34002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Other Care (Another Hospital),3
2009,34002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Skilled Nursing/IC (Elsewhere),231
2009,34002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Residential Care Facility,19
2009,34002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Prison/Jail,33
2009,34002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Against Medical Advice,20
2009,34002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Died,59
2009,34002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Home Health Service,228
2009,34002,SUTTER AMADOR HOSPITAL,AMADOR,Non-Profit,Other,7
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Routine (Home),506
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Acute Care (This Hospital),3
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Skilled Nursing/IC (This Hospital),71
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Acute Care (Another Hospital),28
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Other Care (Another Hospital),9
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Skilled Nursing/IC (Elsewhere),66
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Against Medical Advice,8
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Died,37
2009,40802,BIGGS GRIDLEY MEMORIAL HOSPITAL,BUTTE,Non-Profit,Home Health Service,5
2009,40875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Routine (Home),4225
2009,40875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Acute Care (Another Hospital),186
2009,40875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Other Care (Another Hospital),71
2009,40875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Skilled Nursing/IC (Elsewhere),527
2009,40875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Residential Care Facility,9
2009,40875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Against Medical Advice,56
2009,40875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Died,99
2009,40875,FEATHER RIVER HOSPITAL,BUTTE,Non-Profit,Home Health Service,736
2009,40937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Routine (Home),7078
2009,40937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Acute Care (This Hospital),58
2009,40937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Skilled Nursing/IC (This Hospital),447
2009,40937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Acute Care (Another Hospital),309
2009,40937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Other Care (Another Hospital),38
2009,40937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Skilled Nursing/IC (Elsewhere),489
2009,40937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Residential Care Facility,26
2009,40937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Prison/Jail,14
2009,40937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Against Medical Advice,207
2009,40937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Died,188
2009,40937,OROVILLE HOSPITAL,BUTTE,Non-Profit,Home Health Service,563
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Routine (Home),11033
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Acute Care (This Hospital),91
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Other Care (This Hospital),530
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Acute Care (Another Hospital),201
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Other Care (Another Hospital),60
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Skilled Nursing/IC (Elsewhere),1505
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Residential Care Facility,44
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Prison/Jail,7
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Against Medical Advice,155
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Died,375
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Home Health Service,2052
2009,40962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,BUTTE,Non-Profit,Other,37
2009,44006,BUTTE COUNTY PHF,BUTTE,City/County,Routine (Home),550
2009,44006,BUTTE COUNTY PHF,BUTTE,City/County,Acute Care (Another Hospital),2
2009,44006,BUTTE COUNTY PHF,BUTTE,City/County,Residential Care Facility,1
2009,44006,BUTTE COUNTY PHF,BUTTE,City/County,Prison/Jail,2
2009,44006,BUTTE COUNTY PHF,BUTTE,City/County,Other,54
2009,50932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Routine (Home),969
2009,50932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Skilled Nursing/IC (This Hospital),24
2009,50932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Acute Care (Another Hospital),103
2009,50932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Other Care (Another Hospital),14
2009,50932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Skilled Nursing/IC (Elsewhere),165
2009,50932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Residential Care Facility,19
2009,50932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Prison/Jail,21
2009,50932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Against Medical Advice,12
2009,50932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Died,57
