Year,OSHPD Facility Number,Facility Name,County Name,Type Of Control,Type Of Care,Count
2009,044006,BUTTE COUNTY PHF,BUTTE,City/County,Psychiatric,609
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Acute,1517
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,CALAVERAS,Non-Profit,Skilled Nursing/Intermediate Care,21
2009,060870,COLUSA REGIONAL MEDICAL CENTER,COLUSA,Non-Profit,Acute,1308
2009,060870,COLUSA REGIONAL MEDICAL CENTER,COLUSA,Non-Profit,Skilled Nursing/Intermediate Care,84
2009,070904,DOCTORS MEDICAL CENTER - SAN PABLO,CONTRA COSTA,District,Acute,6277
2009,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,City/County,Acute,11044
2009,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA,City/County,Psychiatric,804
2009,070934,SUTTER DELTA MEDICAL CENTER,CONTRA COSTA,Non-Profit,Acute,8437
2009,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,CONTRA COSTA,Non-Profit,Acute,19553
2009,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,CONTRA COSTA,Non-Profit,Physical Rehabilitation,467
2009,070990,KAISER FND HOSP - WALNUT CREEK,CONTRA COSTA,Non-Profit,Acute,18968
2009,071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,CONTRA COSTA,Non-Profit,Acute,9055
2009,074017,SAN RAMON REGIONAL MEDICAL CENTER,CONTRA COSTA,City/County,Acute,5579
2009,074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,CONTRA COSTA,Non-Profit,Psychiatric,2053
2009,074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,CONTRA COSTA,Non-Profit,Chemical Dependency,723
2009,074097,KAISER FOUND HSP-ANTIOCH,CONTRA COSTA,Non-Profit,Acute,9046
2009,084001,SUTTER COAST HOSPITAL,DEL NORTE,Non-Profit,Acute,2776
2009,090793,BARTON MEMORIAL HOSPITAL,EL DORADO,Non-Profit,Acute,2965
2009,090793,BARTON MEMORIAL HOSPITAL,EL DORADO,Non-Profit,Skilled Nursing/Intermediate Care,73
2009,090933,MARSHALL  MEDICAL CENTER (1-RH),EL DORADO,Non-Profit,Acute,6027
2009,090933,MARSHALL  MEDICAL CENTER (1-RH),EL DORADO,Non-Profit,Skilled Nursing/Intermediate Care,438
2009,094002,EL DORADO COUNTY P H F,EL DORADO,City/County,Psychiatric,337
2009,100005,CLOVIS COMMUNITY MEDICAL CENTER,FRESNO,Non-Profit,Acute,13138
2009,100005,CLOVIS COMMUNITY MEDICAL CENTER,FRESNO,Non-Profit,Physical Rehabilitation,1
2009,100697,COALINGA REGIONAL MEDICAL CENTER,FRESNO,District,Acute,1174
2009,100697,COALINGA REGIONAL MEDICAL CENTER,FRESNO,District,Skilled Nursing/Intermediate Care,104
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,FRESNO,Non-Profit,Acute,38296
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,FRESNO,Non-Profit,Skilled Nursing/Intermediate Care,304
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,FRESNO,Non-Profit,Psychiatric,2963
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,FRESNO,Non-Profit,Physical Rehabilitation,598
2009,100745,KINGSBURG MEDICAL CENTER,FRESNO,District,Acute,1
2009,100745,KINGSBURG MEDICAL CENTER,FRESNO,District,Skilled Nursing/Intermediate Care,44
2009,100797,SIERRA KINGS DISTRICT HOSPITAL,FRESNO,District,Acute,4052
2009,100797,SIERRA KINGS DISTRICT HOSPITAL,FRESNO,District,Skilled Nursing/Intermediate Care,4
2009,100899,ST. AGNES MEDICAL CENTER,FRESNO,Non-Profit,Acute,27686
2009,104023,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,FRESNO,Investor,Acute,1394
2009,104047,FRESNO SURGICAL HOSPITAL,FRESNO,Investor,Acute,2280
2009,104062,KAISER FND HOSP - FRESNO,FRESNO,Non-Profit,Acute,8764
2009,104089,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-FRESNO,FRESNO,City/County,Psychiatric,897
2009,105029,FRESNO HEART AND SURGICAL HOSPITAL,FRESNO,Non-Profit,Acute,3633
2009,110889,GLENN MEDICAL CENTER,GLENN,Non-Profit,Acute,290
2009,110889,GLENN MEDICAL CENTER,GLENN,Non-Profit,Skilled Nursing/Intermediate Care,15
2009,121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor,Acute,2579
2009,121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,District,Acute,55
2009,121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,District,Skilled Nursing/Intermediate Care,28
2009,121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Non-Profit,Acute,2044
2009,121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Non-Profit,Skilled Nursing/Intermediate Care,32
2009,121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Non-Profit,Acute,7136
2009,121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Non-Profit,Physical Rehabilitation,145
2009,124004,SEMPERVIRENS P.H.F.,HUMBOLDT,City/County,Psychiatric,637
2009,130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,City/County,Acute,7613
2009,130760,PIONEERS MEMORIAL HOSPITAL,IMPERIAL,District,Acute,7458
2009,141273,NORTHERN INYO HOSPITAL,INYO,District,Acute,1286
2009,141338,SOUTHERN INYO HOSPITAL,INYO,District,Acute,20
2009,141338,SOUTHERN INYO HOSPITAL,INYO,District,Skilled Nursing/Intermediate Care,29
2009,150706,DELANO REGIONAL MEDICAL CENTER,KERN,Non-Profit,Acute,4798
2009,150706,DELANO REGIONAL MEDICAL CENTER,KERN,Non-Profit,Skilled Nursing/Intermediate Care,30
2009,150722,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,KERN,Non-Profit,Acute,19966
2009,150722,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,KERN,Non-Profit,Skilled Nursing/Intermediate Care,237
2009,150736,KERN MEDICAL CENTER,KERN,City/County,Acute,14730
2009,150736,KERN MEDICAL CENTER,KERN,City/County,Psychiatric,780
2009,150737,KERN VALLEY HEALTHCARE DISTRICT,KERN,District,Acute,747
2009,150737,KERN VALLEY HEALTHCARE DISTRICT,KERN,District,Skilled Nursing/Intermediate Care,184
2009,150761,MERCY HOSPITAL - BAKERSFIELD,KERN,Non-Profit,Acute,14883
2009,150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,KERN,Investor,Acute,1494
2009,150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,KERN,Investor,Psychiatric,2031
2009,150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,KERN,Investor,Chemical Dependency,189
2009,150782,RIDGECREST REGIONAL HOSPITAL,KERN,Non-Profit,Acute,3246
2009,150788,SAN JOAQUIN COMMUNITY HOSPITAL,KERN,Non-Profit,Acute,19533
2009,150808,TEHACHAPI HOSPITAL,KERN,District,Acute,207
2009,150808,TEHACHAPI HOSPITAL,KERN,District,Skilled Nursing/Intermediate Care,19
2009,154022,HEALTHSOUTH BAKERSFIELD REHABILITATION HOSPITAL,KERN,Investor,Physical Rehabilitation,1478
2009,154101,BAKERSFIELD HEART HOSPITAL,KERN,Investor,Acute,3823
2009,154147,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-BAKERSFIELD,KERN,Investor,Psychiatric,594
2009,160702,CORCORAN DISTRICT HOSPITAL,KINGS,District,Acute,339
2009,160725,HANFORD COMMUNITY MEDICAL CENTER,KINGS,Non-Profit,Acute,10650
2009,160787,CENTRAL VALLEY GENERAL HOSPITAL,KINGS,Non-Profit,Acute,6321
2009,171049,ST. HELENA HOSPITAL - CLEARLAKE,LAKE,Non-Profit,Acute,1889
2009,171049,ST. HELENA HOSPITAL - CLEARLAKE,LAKE,Non-Profit,Skilled Nursing/Intermediate Care,35
2009,171395,SUTTER LAKESIDE HOSPITAL,LAKE,Non-Profit,Acute,2461
2009,171395,SUTTER LAKESIDE HOSPITAL,LAKE,Non-Profit,Skilled Nursing/Intermediate Care,108
2009,184008,BANNER LASSEN MEDICAL CENTER,LASSEN,Non-Profit,Acute,1699
2009,190017,ALHAMBRA HOSPITAL,LOS ANGELES,Investor,Acute,3659
2009,190017,ALHAMBRA HOSPITAL,LOS ANGELES,Investor,Skilled Nursing/Intermediate Care,23
2009,190017,ALHAMBRA HOSPITAL,LOS ANGELES,Investor,Physical Rehabilitation,199
2009,190020,BHC ALHAMBRA HOSPITAL,LOS ANGELES,Non-Profit,Psychiatric,4019
2009,190034,ANTELOPE VALLEY HOSPITAL,LOS ANGELES,District,Acute,29351
2009,190034,ANTELOPE VALLEY HOSPITAL,LOS ANGELES,District,Psychiatric,633
2009,190045,CATALINA ISLAND MEDICAL CENTER,LOS ANGELES,Non-Profit,Acute,25
2009,190045,CATALINA ISLAND MEDICAL CENTER,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,10
2009,190049,KINDRED HOSPITAL BALDWIN PARK,LOS ANGELES,Investor,Acute,724
2009,190052,BARLOW RESPIRATORY HOSPITAL,LOS ANGELES,Non-Profit,Acute,696
2009,190053,ST. MARY MEDICAL CENTER,LOS ANGELES,Non-Profit,Acute,13800
2009,190053,ST. MARY MEDICAL CENTER,LOS ANGELES,Non-Profit,Physical Rehabilitation,606
2009,190066,BELLFLOWER MEDICAL CENTER,LOS ANGELES,Investor,Acute,5027
2009,190066,BELLFLOWER MEDICAL CENTER,LOS ANGELES,Investor,Psychiatric,1138
2009,190081,BEVERLY HOSPITAL,LOS ANGELES,Non-Profit,Acute,10599
2009,190110,BROTMAN MEDICAL CENTER,LOS ANGELES,Investor,Acute,5241
2009,190110,BROTMAN MEDICAL CENTER,LOS ANGELES,Investor,Skilled Nursing/Intermediate Care,441
2009,190110,BROTMAN MEDICAL CENTER,LOS ANGELES,Investor,Psychiatric,1255
2009,190110,BROTMAN MEDICAL CENTER,LOS ANGELES,Investor,Chemical Dependency,954
2009,190110,BROTMAN MEDICAL CENTER,LOS ANGELES,Investor,Physical Rehabilitation,355
2009,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,LOS ANGELES,Non-Profit,Acute,20415
2009,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,289
2009,190137,CASA COLINA HOSPITAL FOR REHAB MEDICINE,LOS ANGELES,Non-Profit,Physical Rehabilitation,1352
2009,190148,CENTINELA HOSPITAL MEDICAL CENTER,LOS ANGELES,Investor,Acute,20541
2009,190148,CENTINELA HOSPITAL MEDICAL CENTER,LOS ANGELES,Investor,Physical Rehabilitation,1
2009,190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,LOS ANGELES,Non-Profit,Psychiatric,1077
2009,190159,TRI-CITY REGIONAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Acute,3584
2009,190163,AURORA CHARTER OAK,LOS ANGELES,Investor,Psychiatric,4641
2009,190170,CHILDREN'S HOSPITAL OF LOS ANGELES,LOS ANGELES,Non-Profit,Acute,10953
2009,190170,CHILDREN'S HOSPITAL OF LOS ANGELES,LOS ANGELES,Non-Profit,Physical Rehabilitation,124
2009,190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,LOS ANGELES,Non-Profit,Acute,6341
2009,190184,COLLEGE HOSPITAL,LOS ANGELES,Investor,Psychiatric,6759
2009,190196,KINDRED HOSPITAL SOUTH BAY,LOS ANGELES,Investor,Acute,887
2009,190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,LOS ANGELES,Investor,Acute,3999
2009,190198,LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES,Investor,Acute,5927
2009,190198,LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES,Investor,Skilled Nursing/Intermediate Care,46
2009,190200,SAN GABRIEL VALLEY MEDICAL CENTER,LOS ANGELES,Investor,Acute,9633
2009,190200,SAN GABRIEL VALLEY MEDICAL CENTER,LOS ANGELES,Investor,Skilled Nursing/Intermediate Care,319
2009,190232,DEL AMO HOSPITAL,LOS ANGELES,Investor,Psychiatric,4508
2009,190232,DEL AMO HOSPITAL,LOS ANGELES,Investor,Chemical Dependency,71
2009,190240,LAKEWOOD REGIONAL MEDICAL CENTER,LOS ANGELES,Investor,Acute,7491
2009,190240,LAKEWOOD REGIONAL MEDICAL CENTER,LOS ANGELES,Investor,Physical Rehabilitation,180
2009,190243,DOWNEY REGIONAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Acute,14793
2009,190256,EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,Investor,Acute,5014
2009,190256,EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,Investor,Skilled Nursing/Intermediate Care,15
2009,190280,ENCINO HOSPITAL MEDICAL CENTER,LOS ANGELES,Investor,Acute,2452
2009,190280,ENCINO HOSPITAL MEDICAL CENTER,LOS ANGELES,Investor,Skilled Nursing/Intermediate Care,23
2009,190280,ENCINO HOSPITAL MEDICAL CENTER,LOS ANGELES,Investor,Psychiatric,229
2009,190298,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,LOS ANGELES,Non-Profit,Acute,6401
2009,190305,KINDRED HOSPITAL - LOS ANGELES,LOS ANGELES,Investor,Acute,825
2009,190307,"PACIFIC ALLIANCE MEDICAL CENTER, INC.",LOS ANGELES,Investor,Acute,6832
2009,190307,"PACIFIC ALLIANCE MEDICAL CENTER, INC.",LOS ANGELES,Investor,Physical Rehabilitation,274
2009,190315,GARFIELD MEDICAL CENTER,LOS ANGELES,Investor,Acute,14209
2009,190315,GARFIELD MEDICAL CENTER,LOS ANGELES,Investor,Physical Rehabilitation,480
2009,190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,LOS ANGELES,Non-Profit,Psychiatric,854
2009,190323,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,LOS ANGELES,Non-Profit,Acute,19054
2009,190323,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,455
2009,190323,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,LOS ANGELES,Non-Profit,Psychiatric,1647
2009,190323,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,LOS ANGELES,Non-Profit,Physical Rehabilitation,535
2009,190328,EAST VALLEY HOSPITAL MEDICAL CENTER,LOS ANGELES,Investor,Acute,1658
2009,190328,EAST VALLEY HOSPITAL MEDICAL CENTER,LOS ANGELES,Investor,Psychiatric,478
2009,190352,GREATER EL MONTE COMMUNITY HOSPITAL,LOS ANGELES,Investor,Acute,4261
2009,190352,GREATER EL MONTE COMMUNITY HOSPITAL,LOS ANGELES,Investor,Skilled Nursing/Intermediate Care,10
2009,190380,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,LOS ANGELES,Investor,Acute,3556
2009,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,Investor,Acute,21174
2009,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,Investor,Skilled Nursing/Intermediate Care,255
2009,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,Investor,Chemical Dependency,2
2009,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,Investor,Physical Rehabilitation,407
2009,190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,LOS ANGELES,Non-Profit,Acute,17294
2009,190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,48
2009,190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,LOS ANGELES,Non-Profit,Physical Rehabilitation,240
2009,190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,LOS ANGELES,Non-Profit,Acute,20043
2009,190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,774
2009,190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,LOS ANGELES,Non-Profit,Physical Rehabilitation,202
2009,190400,HUNTINGTON MEMORIAL HOSPITAL,LOS ANGELES,Non-Profit,Acute,29649
2009,190400,HUNTINGTON MEMORIAL HOSPITAL,LOS ANGELES,Non-Profit,Psychiatric,1174
2009,190400,HUNTINGTON MEMORIAL HOSPITAL,LOS ANGELES,Non-Profit,Physical Rehabilitation,367
2009,190410,SILVER LAKE MEDICAL CENTER-INGLESIDE CAMPUS,LOS ANGELES,Investor,Psychiatric,2774
2009,190413,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,LOS ANGELES,Non-Profit,Acute,6553
2009,190413,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,751
2009,190413,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,LOS ANGELES,Non-Profit,Psychiatric,1424
2009,190422,TORRANCE MEMORIAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Acute,26901
2009,190422,TORRANCE MEMORIAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,1497
2009,190422,TORRANCE MEMORIAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Psychiatric,14
2009,190429,KAISER FND HOSP - SUNSET,LOS ANGELES,Non-Profit,Acute,25159
2009,190430,KAISER FND HOSP - BELLFLOWER,LOS ANGELES,Non-Profit,Acute,16052
2009,190431,KAISER FND HOSP - SOUTH BAY,LOS ANGELES,Non-Profit,Acute,16589
2009,190432,KAISER FND HOSP - PANORAMA CITY,LOS ANGELES,Non-Profit,Acute,16544
2009,190434,KAISER FND HOSP - WEST LA,LOS ANGELES,Non-Profit,Acute,14106
2009,190449,KINDRED HOSPITAL - LA MIRADA,LOS ANGELES,Investor,Acute,2249
2009,190455,LANCASTER COMMUNITY HOSPITAL,LOS ANGELES,Investor,Acute,5918
2009,190455,LANCASTER COMMUNITY HOSPITAL,LOS ANGELES,Investor,Physical Rehabilitation,202
2009,190462,"AURORA LAS ENCINAS HOSPITAL, LLC",LOS ANGELES,Investor,Psychiatric,1940
2009,190462,"AURORA LAS ENCINAS HOSPITAL, LLC",LOS ANGELES,Investor,Chemical Dependency,521
2009,190468,PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS,LOS ANGELES,Investor,Acute,1547
2009,190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,LOS ANGELES,Non-Profit,Acute,20999
2009,190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,2044
2009,190475,COMMUNITY HOSPITAL OF LONG BEACH,LOS ANGELES,Non-Profit,Acute,2787
2009,190475,COMMUNITY HOSPITAL OF LONG BEACH,LOS ANGELES,Non-Profit,Psychiatric,1156
2009,190500,MARINA DEL REY HOSPITAL,LOS ANGELES,Investor,Acute,4146
2009,190517,PROVIDENCE TARZANA MEDICAL CENTER,LOS ANGELES,Non-Profit,Acute,13948
2009,190521,MEMORIAL HOSPITAL OF GARDENA,LOS ANGELES,Investor,Acute,7859
2009,190521,MEMORIAL HOSPITAL OF GARDENA,LOS ANGELES,Investor,Skilled Nursing/Intermediate Care,112
2009,190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,LOS ANGELES,Non-Profit,Acute,12188
2009,190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,LOS ANGELES,Non-Profit,Psychiatric,1
2009,190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,LOS ANGELES,Non-Profit,Physical Rehabilitation,286
2009,190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,LOS ANGELES,Non-Profit,Acute,3549
2009,190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,LOS ANGELES,Non-Profit,Psychiatric,3340
2009,190525,LONG BEACH MEMORIAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Acute,23566
2009,190525,LONG BEACH MEMORIAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Physical Rehabilitation,660
2009,190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,LOS ANGELES,Non-Profit,Acute,16666
2009,190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,975
2009,190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,LOS ANGELES,Non-Profit,Physical Rehabilitation,406
2009,190534,OLYMPIA MEDICAL CENTER,LOS ANGELES,Investor,Acute,6614
2009,190541,MONROVIA MEMORIAL HOSPITAL,LOS ANGELES,Investor,Acute,240
2009,190547,MONTEREY PARK HOSPITAL,LOS ANGELES,Investor,Acute,6425
2009,190552,MOTION PICTURE AND TELEVISION HOSPITAL,LOS ANGELES,Non-Profit,Acute,411
2009,190552,MOTION PICTURE AND TELEVISION HOSPITAL,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,143
2009,190555,CEDARS SINAI MEDICAL CENTER,LOS ANGELES,Non-Profit,Acute,53369
2009,190555,CEDARS SINAI MEDICAL CENTER,LOS ANGELES,Non-Profit,Psychiatric,1541
2009,190555,CEDARS SINAI MEDICAL CENTER,LOS ANGELES,Non-Profit,Physical Rehabilitation,758
2009,190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Acute,18057
2009,190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Psychiatric,1597
2009,190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Physical Rehabilitation,307
2009,190570,NORWALK COMMUNITY HOSPITAL,LOS ANGELES,Investor,Acute,2706
2009,190587,PACIFIC HOSPITAL OF LONG BEACH,LOS ANGELES,Investor,Acute,5354
2009,190587,PACIFIC HOSPITAL OF LONG BEACH,LOS ANGELES,Investor,Psychiatric,2678
2009,190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Acute,27809
2009,190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,766
2009,190631,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,LOS ANGELES,Non-Profit,Acute,19096
2009,190631,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,LOS ANGELES,Non-Profit,Skilled Nursing/Intermediate Care,771
2009,190631,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,LOS ANGELES,Non-Profit,Physical Rehabilitation,130
