Year,OSHPD Facility Number,Facility Name,Type Of Control,County Name,Discharge Days,Count
2009,040937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Discharge Days,38308
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,Non-Profit,BUTTE,Discharge Days,71247
2009,044006,BUTTE COUNTY PHF,City/County,BUTTE,Discharge Days,5211
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,Non-Profit,CALAVERAS,Discharge Days,5804
2009,060870,COLUSA REGIONAL MEDICAL CENTER,Non-Profit,COLUSA,Discharge Days,4840
2009,070904,DOCTORS MEDICAL CENTER - SAN PABLO,District,CONTRA COSTA,Discharge Days,30832
2009,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,Discharge Days,44733
2009,070934,SUTTER DELTA MEDICAL CENTER,Non-Profit,CONTRA COSTA,Discharge Days,32308
2009,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,Non-Profit,CONTRA COSTA,Discharge Days,94889
2009,070990,KAISER FND HOSP - WALNUT CREEK,Non-Profit,CONTRA COSTA,Discharge Days,72651
2009,071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,Non-Profit,CONTRA COSTA,Discharge Days,48016
2009,074017,SAN RAMON REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,Discharge Days,24180
2009,074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,Non-Profit,CONTRA COSTA,Discharge Days,19210
2009,074097,KAISER FOUND HSP-ANTIOCH,Non-Profit,CONTRA COSTA,Discharge Days,31459
2009,084001,SUTTER COAST HOSPITAL,Non-Profit,DEL NORTE,Discharge Days,8552
2009,090793,BARTON MEMORIAL HOSPITAL,Non-Profit,EL DORADO,Discharge Days,11166
2009,090933,MARSHALL  MEDICAL CENTER (1-RH),Non-Profit,EL DORADO,Discharge Days,27771
2009,094002,EL DORADO COUNTY P H F,City/County,EL DORADO,Discharge Days,2440
2009,100005,CLOVIS COMMUNITY MEDICAL CENTER,Non-Profit,FRESNO,Discharge Days,37797
2009,100697,COALINGA REGIONAL MEDICAL CENTER,District,FRESNO,Discharge Days,22544
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Non-Profit,FRESNO,Discharge Days,209308
2009,100745,KINGSBURG MEDICAL CENTER,District,FRESNO,Discharge Days,7862
2009,100797,SIERRA KINGS DISTRICT HOSPITAL,District,FRESNO,Discharge Days,7722
2009,100899,ST. AGNES MEDICAL CENTER,Non-Profit,FRESNO,Discharge Days,116569
2009,104023,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,Investor,FRESNO,Discharge Days,15775
2009,104047,FRESNO SURGICAL HOSPITAL,Investor,FRESNO,Discharge Days,4540
2009,104062,KAISER FND HOSP - FRESNO,Non-Profit,FRESNO,Discharge Days,32304
2009,104089,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-FRESNO,City/County,FRESNO,Discharge Days,5118
2009,105029,FRESNO HEART AND SURGICAL HOSPITAL,Non-Profit,FRESNO,Discharge Days,10991
2009,110889,GLENN MEDICAL CENTER,Non-Profit,GLENN,Discharge Days,1288
2009,121002,MAD RIVER COMMUNITY HOSPITAL,Investor,HUMBOLDT,Discharge Days,8549
2009,121031,JEROLD PHELPS COMMUNITY HOSPITAL,District,HUMBOLDT,Discharge Days,5272
2009,121051,REDWOOD MEMORIAL HOSPITAL,Non-Profit,HUMBOLDT,Discharge Days,6959
2009,121080,ST. JOSEPH HOSPITAL - EUREKA,Non-Profit,HUMBOLDT,Discharge Days,32136
2009,124004,SEMPERVIRENS P.H.F.,City/County,HUMBOLDT,Discharge Days,4246
2009,130699,EL CENTRO REGIONAL MEDICAL CENTER,City/County,IMPERIAL,Discharge Days,27297
2009,130760,PIONEERS MEMORIAL HOSPITAL,District,IMPERIAL,Discharge Days,23506
2009,141273,NORTHERN INYO HOSPITAL,District,INYO,Discharge Days,3704
2009,141338,SOUTHERN INYO HOSPITAL,District,INYO,Discharge Days,4599
2009,150706,DELANO REGIONAL MEDICAL CENTER,Non-Profit,KERN,Discharge Days,32677
2009,150722,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,Non-Profit,KERN,Discharge Days,79663
2009,150736,KERN MEDICAL CENTER,City/County,KERN,Discharge Days,58074
2009,150737,KERN VALLEY HEALTHCARE DISTRICT,District,KERN,Discharge Days,21235
2009,150761,MERCY HOSPITAL - BAKERSFIELD,Non-Profit,KERN,Discharge Days,67490
2009,150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,Investor,KERN,Discharge Days,22668
2009,150782,RIDGECREST REGIONAL HOSPITAL,Non-Profit,KERN,Discharge Days,12278
2009,150788,SAN JOAQUIN COMMUNITY HOSPITAL,Non-Profit,KERN,Discharge Days,72512
2009,150808,TEHACHAPI HOSPITAL,District,KERN,Discharge Days,3708
2009,154022,HEALTHSOUTH BAKERSFIELD REHABILITATION HOSPITAL,Investor,KERN,Discharge Days,17491
2009,154101,BAKERSFIELD HEART HOSPITAL,Investor,KERN,Discharge Days,15211
2009,154147,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-BAKERSFIELD,Investor,KERN,Discharge Days,3714
2009,160702,CORCORAN DISTRICT HOSPITAL,District,KINGS,Discharge Days,1368
2009,160725,HANFORD COMMUNITY MEDICAL CENTER,Non-Profit,KINGS,Discharge Days,36325
2009,160787,CENTRAL VALLEY GENERAL HOSPITAL,Non-Profit,KINGS,Discharge Days,14410
2009,171049,ST. HELENA HOSPITAL - CLEARLAKE,Non-Profit,LAKE,Discharge Days,6895
2009,171395,SUTTER LAKESIDE HOSPITAL,Non-Profit,LAKE,Discharge Days,7652
2009,184008,BANNER LASSEN MEDICAL CENTER,Non-Profit,LASSEN,Discharge Days,4821
2009,190017,ALHAMBRA HOSPITAL,Investor,LOS ANGELES,Discharge Days,35740
2009,190020,BHC ALHAMBRA HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,26573
2009,190034,ANTELOPE VALLEY HOSPITAL,District,LOS ANGELES,Discharge Days,115044
2009,190045,CATALINA ISLAND MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,631
2009,190049,KINDRED HOSPITAL BALDWIN PARK,Investor,LOS ANGELES,Discharge Days,22019
2009,190052,BARLOW RESPIRATORY HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,21725
2009,190053,ST. MARY MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,66736
2009,190066,BELLFLOWER MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,27142
2009,190081,BEVERLY HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,39260
2009,190110,BROTMAN MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,59697
2009,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,Non-Profit,LOS ANGELES,Discharge Days,79169
2009,190137,CASA COLINA HOSPITAL FOR REHAB MEDICINE,Non-Profit,LOS ANGELES,Discharge Days,22385
2009,190148,CENTINELA HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,77779
2009,190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,Non-Profit,LOS ANGELES,Discharge Days,23386
2009,190159,TRI-CITY REGIONAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,17114
2009,190163,AURORA CHARTER OAK,Investor,LOS ANGELES,Discharge Days,30595
2009,190170,CHILDREN'S HOSPITAL OF LOS ANGELES,Non-Profit,LOS ANGELES,Discharge Days,86082
2009,190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,57113
2009,190184,COLLEGE HOSPITAL,Investor,LOS ANGELES,Discharge Days,49468
2009,190196,KINDRED HOSPITAL SOUTH BAY,Investor,LOS ANGELES,Discharge Days,22782
2009,190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,Investor,LOS ANGELES,Discharge Days,12242
2009,190198,LOS ANGELES COMMUNITY HOSPITAL,Investor,LOS ANGELES,Discharge Days,37272
2009,190200,SAN GABRIEL VALLEY MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,48501
2009,190232,DEL AMO HOSPITAL,Investor,LOS ANGELES,Discharge Days,38027
2009,190240,LAKEWOOD REGIONAL MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,37796
2009,190243,DOWNEY REGIONAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,52193
2009,190256,EAST LOS ANGELES DOCTORS HOSPITAL,Investor,LOS ANGELES,Discharge Days,31687
2009,190280,ENCINO HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,17999
2009,190298,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,Non-Profit,LOS ANGELES,Discharge Days,22709
2009,190305,KINDRED HOSPITAL - LOS ANGELES,Investor,LOS ANGELES,Discharge Days,27173
2009,190307,"PACIFIC ALLIANCE MEDICAL CENTER, INC.",Investor,LOS ANGELES,Discharge Days,28910
2009,190315,GARFIELD MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,67185
2009,190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,Non-Profit,LOS ANGELES,Discharge Days,12952
2009,190323,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,Non-Profit,LOS ANGELES,Discharge Days,116222
2009,190328,EAST VALLEY HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,13220
2009,190352,GREATER EL MONTE COMMUNITY HOSPITAL,Investor,LOS ANGELES,Discharge Days,18286
2009,190380,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,Investor,LOS ANGELES,Discharge Days,21769
2009,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,111673
2009,190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,85080
2009,190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,Non-Profit,LOS ANGELES,Discharge Days,91910
2009,190400,HUNTINGTON MEMORIAL HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,141948
2009,190410,SILVER LAKE MEDICAL CENTER-INGLESIDE CAMPUS,Investor,LOS ANGELES,Discharge Days,22109
2009,190413,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,Non-Profit,LOS ANGELES,Discharge Days,44827
2009,190422,TORRANCE MEMORIAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,113286
2009,190429,KAISER FND HOSP - SUNSET,Non-Profit,LOS ANGELES,Discharge Days,117927
2009,190430,KAISER FND HOSP - BELLFLOWER,Non-Profit,LOS ANGELES,Discharge Days,57950
2009,190431,KAISER FND HOSP - SOUTH BAY,Non-Profit,LOS ANGELES,Discharge Days,55551
2009,190432,KAISER FND HOSP - PANORAMA CITY,Non-Profit,LOS ANGELES,Discharge Days,53016
2009,190434,KAISER FND HOSP - WEST LA,Non-Profit,LOS ANGELES,Discharge Days,47428
2009,190449,KINDRED HOSPITAL - LA MIRADA,Investor,LOS ANGELES,Discharge Days,63966
2009,190455,LANCASTER COMMUNITY HOSPITAL,Investor,LOS ANGELES,Discharge Days,28768
2009,190462,"AURORA LAS ENCINAS HOSPITAL, LLC",Investor,LOS ANGELES,Discharge Days,20989
2009,190468,PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS,Investor,LOS ANGELES,Discharge Days,45490
2009,190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,Non-Profit,LOS ANGELES,Discharge Days,97282
2009,190475,COMMUNITY HOSPITAL OF LONG BEACH,Non-Profit,LOS ANGELES,Discharge Days,19153
2009,190500,MARINA DEL REY HOSPITAL,Investor,LOS ANGELES,Discharge Days,16326
2009,190517,PROVIDENCE TARZANA MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,66249
2009,190521,MEMORIAL HOSPITAL OF GARDENA,Investor,LOS ANGELES,Discharge Days,52337
2009,190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,Non-Profit,LOS ANGELES,Discharge Days,59228
2009,190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,Non-Profit,LOS ANGELES,Discharge Days,33935
2009,190525,LONG BEACH MEMORIAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,117381
2009,190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,Non-Profit,LOS ANGELES,Discharge Days,90903
2009,190534,OLYMPIA MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,33093
2009,190541,MONROVIA MEMORIAL HOSPITAL,Investor,LOS ANGELES,Discharge Days,4138
2009,190547,MONTEREY PARK HOSPITAL,Investor,LOS ANGELES,Discharge Days,22192
2009,190552,MOTION PICTURE AND TELEVISION HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,71011
2009,190555,CEDARS SINAI MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,300335
2009,190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,92944
2009,190570,NORWALK COMMUNITY HOSPITAL,Investor,LOS ANGELES,Discharge Days,18020
2009,190587,PACIFIC HOSPITAL OF LONG BEACH,Investor,LOS ANGELES,Discharge Days,42818
2009,190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,125248
2009,190631,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,80282
2009,190636,CITRUS VALLEY MEDICAL CENTER - QV CAMPUS,Non-Profit,LOS ANGELES,Discharge Days,87080
2009,190646,KAISER FND HOSP - MENTAL HEALTH CENTER,Non-Profit,LOS ANGELES,Discharge Days,17901
2009,190661,SILVER LAKE MEDICAL CENTER-DOWNTOWN CAMPUS,Investor,LOS ANGELES,Discharge Days,11946
2009,190673,SAN DIMAS COMMUNITY HOSPITAL,Investor,LOS ANGELES,Discharge Days,16025
2009,190680,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,Non-Profit,LOS ANGELES,Discharge Days,62841
2009,190681,MIRACLE MILE MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,935
2009,190687,SANTA MONICA - UCLA MEDICAL CENTER & ORTHOPAEDIC HOSPITAL,UC,LOS ANGELES,Discharge Days,81878
2009,190696,PACIFICA HOSPITAL OF THE VALLEY,Investor,LOS ANGELES,Discharge Days,56442
2009,190708,SHERMAN OAKS HOSPITAL,Investor,LOS ANGELES,Discharge Days,19892
2009,190712,SHRINERS HOSPITAL FOR  CHILDREN - L.A.,Non-Profit,LOS ANGELES,Discharge Days,6084
2009,190754,ST. FRANCIS MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,125081
2009,190756,ST. JOHN'S HEALTH CENTER,Non-Profit,LOS ANGELES,Discharge Days,62997
2009,190758,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,97556
2009,190762,ST. VINCENT MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,55588
2009,190766,COAST PLAZA DOCTORS HOSPITAL,Investor,LOS ANGELES,Discharge Days,16778
2009,190782,TARZANA TREATMENT CENTER,Non-Profit,LOS ANGELES,Discharge Days,15689
2009,190784,TEMPLE COMMUNITY HOSPITAL,Investor,LOS ANGELES,Discharge Days,14425
2009,190796,RONALD REAGAN UCLA MEDICAL CENTER,UC,LOS ANGELES,Discharge Days,165649
2009,190812,VALLEY PRESBYTERIAN HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,88887
2009,190814,HOLLYWOOD COMMUNITY HOSPITAL OF VAN NUYS,Investor,LOS ANGELES,Discharge Days,17332
2009,190818,VERDUGO HILLS HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,36797
2009,190854,LOS ANGELES METROPOLITAN MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,40957
2009,190857,"DOCTORS HOSPITAL OF WEST COVINA, INC",Investor,LOS ANGELES,Discharge Days,1605
2009,190859,WEST HILLS HOSPITAL AND MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,40322
2009,190878,WHITE MEMORIAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,101342
2009,190883,WHITTIER HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Discharge Days,42465
2009,190930,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,UC,LOS ANGELES,Discharge Days,23807
2009,190949,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,54778
2009,191216,"USC KENNETH NORRIS, JR. CANCER HOSPITAL",Non-Profit,LOS ANGELES,Discharge Days,12578
2009,191225,TOM REDGATE MEMORIAL RECOVERY CENTER,Non-Profit,LOS ANGELES,Discharge Days,17879
2009,191227,LAC/HARBOR-UCLA MEDICAL CENTER,City/County,LOS ANGELES,Discharge Days,130202
2009,191228,LAC+USC MEDICAL CENTER,City/County,LOS ANGELES,Discharge Days,178680
2009,191231,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER,City/County,LOS ANGELES,Discharge Days,69748
2009,191306,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER,City/County,LOS ANGELES,Discharge Days,64157
2009,191450,KAISER FND HOSP - WOODLAND HILLS,Non-Profit,LOS ANGELES,Discharge Days,54211
2009,194010,AMERICAN RECOVERY CENTER,Non-Profit,LOS ANGELES,Discharge Days,8381
2009,194219,USC UNIVERSITY HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,54285
2009,194967,STAR VIEW ADOLESCENT - P H F,City/County,LOS ANGELES,Discharge Days,5576
2009,194981,LA CASA PSYCHIATRIC HEALTH FACILITY,Investor,LOS ANGELES,Discharge Days,5623
2009,196035,KAISER FND HOSP - BALDWIN PARK,Non-Profit,LOS ANGELES,Discharge Days,54741
2009,196168,EARL AND LORRAINE MILLER CHILDRENS HOSPITAL,Non-Profit,LOS ANGELES,Discharge Days,96234
2009,196403,KAISER FOUNDATION HOSPITAL - DOWNEY,Non-Profit,LOS ANGELES,Discharge Days,20600
2009,196404,JOYCE EISENBERG KEEFER MEDICAL CENTER,Non-Profit,LOS ANGELES,Discharge Days,39846
2009,201281,MADERA COMMUNITY HOSPITAL,Non-Profit,MADERA,Discharge Days,26829
2009,204019,CHILDREN'S HOSPITAL CENTRAL CALIFORNIA,Non-Profit,MADERA,Discharge Days,81869
2009,210992,KAISER FND HOSP - SAN RAFAEL,Non-Profit,MARIN,Discharge Days,23554
2009,210993,KENTFIELD REHABILITATION HOSPITAL,Investor,MARIN,Discharge Days,18073
2009,211006,MARIN GENERAL HOSPITAL,Non-Profit,MARIN,Discharge Days,46107
2009,214034,NOVATO COMMUNITY HOSPITAL,Non-Profit,MARIN,Discharge Days,6603
2009,220733,JOHN C FREMONT HEALTHCARE DISTRICT,District,MARIPOSA,Discharge Days,4553
2009,230949,FRANK R HOWARD MEMORIAL HOSPITAL,Non-Profit,MENDOCINO,Discharge Days,5537
2009,231013,MENDOCINO COAST DISTRICT HOSPITAL,District,MENDOCINO,Discharge Days,5991
2009,231396,UKIAH VALLEY MEDICAL CENTER/HOSPITAL DRIVE,Non-Profit,MENDOCINO,Discharge Days,13139
2009,240924,MEMORIAL HOSPITAL LOS BANOS,Non-Profit,MERCED,Discharge Days,6982
2009,240942,MERCY MEDICAL CENTER - MERCED,Non-Profit,MERCED,Discharge Days,49605
2009,244027,MARIE GREEN PSYCHIATRIC CENTER - P H F,City/County,MERCED,Discharge Days,3344
2009,250955,SURPRISE VALLEY COMMUNITY HOSPITAL,District,MODOC,Discharge Days,9068
2009,250956,MODOC MEDICAL CENTER,City/County,MODOC,Discharge Days,21971
2009,260011,MAMMOTH HOSPITAL,District,MONO,Discharge Days,1824
2009,270744,COMMUNITY HOSPITAL MONTEREY PENINSULA,Non-Profit,MONTEREY,Discharge Days,56275
2009,270777,GEORGE L MEE MEMORIAL HOSPITAL,Non-Profit,MONTEREY,Discharge Days,18116
2009,270875,SALINAS VALLEY MEMORIAL HOSPITAL,District,MONTEREY,Discharge Days,52545
2009,274043,NATIVIDAD MEDICAL CENTER,City/County,MONTEREY,Discharge Days,38834
2009,281047,QUEEN OF THE VALLEY HOSPITAL - NAPA,Non-Profit,NAPA,Discharge Days,43412
2009,281078,ST. HELENA HOSPITAL,Non-Profit,NAPA,Discharge Days,20935
2009,281297,N M HOLDERMAN MEMORIAL HOSPITAL (VET'S HOME OF CAL,State,NAPA,Discharge Days,75171
2009,291023,SIERRA NEVADA MEMORIAL HOSPITAL,Non-Profit,NEVADA,Discharge Days,24654
2009,291053,TAHOE FOREST HOSPITAL,District,NEVADA,Discharge Days,8460
2009,300032,CHILDREN'S HOSPITAL OF ORANGE COUNTY,Non-Profit,ORANGE,Discharge Days,61852
2009,300225,ORANGE COAST MEMORIAL MEDICAL CENTER,Non-Profit,ORANGE,Discharge Days,49135
2009,301097,ANAHEIM GENERAL HOSPITAL,Investor,ORANGE,Discharge Days,8426
2009,301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,Investor,ORANGE,Discharge Days,54939
2009,301127,KINDRED HOSPITAL BREA,Investor,ORANGE,Discharge Days,17723
2009,301132,KAISER FND HOSP - ANAHEIM,Non-Profit,ORANGE,Discharge Days,95634
2009,301140,CHAPMAN MEDICAL CENTER,Investor,ORANGE,Discharge Days,19780
2009,301155,COLLEGE HOSPITAL COSTA MESA,Investor,ORANGE,Discharge Days,38123
2009,301175,FOUNTAIN VALLEY RGNL HOSP AND MED CTR - EUCLID,Investor,ORANGE,Discharge Days,94660
2009,301188,WESTERN MEDICAL CENTER HOSPITAL - ANAHEIM,Investor,ORANGE,Discharge Days,50087
2009,301205,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Non-Profit,ORANGE,Discharge Days,129227
2009,301209,HUNTINGTON BEACH HOSPITAL,Investor,ORANGE,Discharge Days,15677
2009,301234,LA PALMA INTERCOMMUNITY HOSPITAL,Investor,ORANGE,Discharge Days,15810
2009,301248,LOS ALAMITOS MEDICAL CENTER,Investor,ORANGE,Discharge Days,46710
2009,301258,COASTAL COMMUNITIES HOSPITAL,Investor,ORANGE,Discharge Days,40459
2009,301262,MISSION HOSPITAL REGIONAL MEDICAL CENTER,Non-Profit,ORANGE,Discharge Days,82910
2009,301279,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,UC,ORANGE,Discharge Days,104496
2009,301283,GARDEN GROVE HOSPITAL AND MEDICAL CENTER,Investor,ORANGE,Discharge Days,30331
2009,301297,PLACENTIA LINDA HOSPITAL,Investor,ORANGE,Discharge Days,14020
2009,301304,NEWPORT BAY HOSPITAL,Investor,ORANGE,Discharge Days,10265
2009,301317,SADDLEBACK MEMORIAL MEDICAL CENTER,Non-Profit,ORANGE,Discharge Days,80150
2009,301337,MISSION HOSPITAL LAGUNA BEACH,Non-Profit,ORANGE,Discharge Days,51969
2009,301340,ST. JOSEPH HOSPITAL - ORANGE,Non-Profit,ORANGE,Discharge Days,96763
2009,301342,ST. JUDE MEDICAL CENTER,Non-Profit,ORANGE,Discharge Days,89917
2009,301357,NEWPORT SPECIALTY HOSPITAL,Investor,ORANGE,Discharge Days,8289
2009,301379,WEST ANAHEIM MEDICAL CENTER,Investor,ORANGE,Discharge Days,33415
2009,301380,KINDRED HOSPITAL WESTMINSTER,Investor,ORANGE,Discharge Days,35502
2009,301566,WESTERN MEDICAL CENTER - SANTA ANA,Investor,ORANGE,Discharge Days,51619
2009,304045,HOAG HOSPITAL IRVINE,Non-Profit,ORANGE,Discharge Days,531
2009,304079,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,Investor,ORANGE,Discharge Days,13314
2009,304113,CHILDREN'S HOSPITAL AT MISSION,Non-Profit,ORANGE,Discharge Days,9864
2009,304159,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,Investor,ORANGE,Discharge Days,2955
2009,304426,ROYALE' MISSION VIEJO,Investor,ORANGE,Discharge Days,4649
2009,310791,SUTTER AUBURN FAITH HOSPITAL,Non-Profit,PLACER,Discharge Days,13340
2009,311000,SUTTER ROSEVILLE MEDICAL CENTER,Non-Profit,PLACER,Discharge Days,75222
2009,314029,TELECARE PLACER COUNTY PSYCHIATRIC HEALTH FACILITY,Investor,PLACER,Discharge Days,4467
2009,320859,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS,District,PLUMAS,Discharge Days,21374
2009,320986,PLUMAS DISTRICT HOSPITAL,District,PLUMAS,Discharge Days,1564
2009,321016,SENECA HEALTHCARE DISTRICT,District,PLUMAS,Discharge Days,1057
2009,330120,"BETTY FORD CENTER AT EISENHOWER, THE",Non-Profit,RIVERSIDE,Discharge Days,26095
2009,331152,CORONA REGIONAL MEDICAL CENTER-MAIN,Investor,RIVERSIDE,Discharge Days,50129
2009,331164,DESERT REGIONAL MEDICAL CENTER,Investor,RIVERSIDE,Discharge Days,86952
2009,331168,EISENHOWER MEDICAL CENTER,Non-Profit,RIVERSIDE,Discharge Days,74415
2009,331194,HEMET VALLEY MEDICAL CENTER,District,RIVERSIDE,Discharge Days,62993
