Year,Oshpd_ID,Facility_Name,Type_Of_Control,County_Name,Admission_Source_Route,Count
2009,013619,SAN LEANDRO HOSPITAL,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),570
2009,013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Non-Profit,ALAMEDA,Your Emergency Room,1
2009,013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),590
2009,014034,FREMONT HOSPITAL,Investor,ALAMEDA,Not Your Emergency Room (or No ER),3438
2009,014050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Your Emergency Room,4038
2009,014050,VALLEYCARE MEDICAL CENTER,Non-Profit,ALAMEDA,Not Your Emergency Room (or No ER),5384
2009,014207,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,Investor,ALAMEDA,Not Your Emergency Room (or No ER),1272
2009,014226,TELECARE WILLOW ROCK CENTER,Investor,ALAMEDA,Not Your Emergency Room (or No ER),649
2009,034002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Your Emergency Room,1523
2009,034002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Not Your Emergency Room (or No ER),1133
2009,034002,SUTTER AMADOR HOSPITAL,Non-Profit,AMADOR,Unknown,2
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,Non-Profit,BUTTE,Your Emergency Room,502
2009,040802,BIGGS GRIDLEY MEMORIAL HOSPITAL,Non-Profit,BUTTE,Not Your Emergency Room (or No ER),231
2009,040875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Your Emergency Room,2906
2009,040875,FEATHER RIVER HOSPITAL,Non-Profit,BUTTE,Not Your Emergency Room (or No ER),3003
2009,040937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Your Emergency Room,6955
2009,040937,OROVILLE HOSPITAL,Non-Profit,BUTTE,Not Your Emergency Room (or No ER),2462
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,Non-Profit,BUTTE,Your Emergency Room,8439
2009,040962,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,Non-Profit,BUTTE,Not Your Emergency Room (or No ER),7651
2009,044006,BUTTE COUNTY PHF,City/County,BUTTE,Not Your Emergency Room (or No ER),609
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,Non-Profit,CALAVERAS,Your Emergency Room,1199
2009,050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,Non-Profit,CALAVERAS,Not Your Emergency Room (or No ER),339
2009,060870,COLUSA REGIONAL MEDICAL CENTER,Non-Profit,COLUSA,Your Emergency Room,679
2009,060870,COLUSA REGIONAL MEDICAL CENTER,Non-Profit,COLUSA,Not Your Emergency Room (or No ER),713
2009,070904,DOCTORS MEDICAL CENTER - SAN PABLO,District,CONTRA COSTA,Your Emergency Room,5443
2009,070904,DOCTORS MEDICAL CENTER - SAN PABLO,District,CONTRA COSTA,Not Your Emergency Room (or No ER),834
2009,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,Your Emergency Room,5122
2009,070924,CONTRA COSTA REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,Not Your Emergency Room (or No ER),6726
2009,070934,SUTTER DELTA MEDICAL CENTER,Non-Profit,CONTRA COSTA,Your Emergency Room,5980
2009,070934,SUTTER DELTA MEDICAL CENTER,Non-Profit,CONTRA COSTA,Not Your Emergency Room (or No ER),2457
2009,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,Non-Profit,CONTRA COSTA,Your Emergency Room,9730
2009,070988,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,Non-Profit,CONTRA COSTA,Not Your Emergency Room (or No ER),10290
2009,070990,KAISER FND HOSP - WALNUT CREEK,Non-Profit,CONTRA COSTA,Your Emergency Room,7941
2009,070990,KAISER FND HOSP - WALNUT CREEK,Non-Profit,CONTRA COSTA,Not Your Emergency Room (or No ER),11027
2009,071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,Non-Profit,CONTRA COSTA,Your Emergency Room,6032
2009,071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,Non-Profit,CONTRA COSTA,Not Your Emergency Room (or No ER),3023
2009,074017,SAN RAMON REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,Your Emergency Room,2738
2009,074017,SAN RAMON REGIONAL MEDICAL CENTER,City/County,CONTRA COSTA,Not Your Emergency Room (or No ER),2841
2009,074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,Non-Profit,CONTRA COSTA,Not Your Emergency Room (or No ER),2776
2009,074097,KAISER FOUND HSP-ANTIOCH,Non-Profit,CONTRA COSTA,Your Emergency Room,4158
2009,074097,KAISER FOUND HSP-ANTIOCH,Non-Profit,CONTRA COSTA,Not Your Emergency Room (or No ER),4888
2009,084001,SUTTER COAST HOSPITAL,Non-Profit,DEL NORTE,Your Emergency Room,1984
2009,084001,SUTTER COAST HOSPITAL,Non-Profit,DEL NORTE,Not Your Emergency Room (or No ER),792
2009,090793,BARTON MEMORIAL HOSPITAL,Non-Profit,EL DORADO,Your Emergency Room,1489
2009,090793,BARTON MEMORIAL HOSPITAL,Non-Profit,EL DORADO,Not Your Emergency Room (or No ER),1549
2009,090933,MARSHALL  MEDICAL CENTER (1-RH),Non-Profit,EL DORADO,Your Emergency Room,3962
2009,090933,MARSHALL  MEDICAL CENTER (1-RH),Non-Profit,EL DORADO,Not Your Emergency Room (or No ER),2503
2009,094002,EL DORADO COUNTY P H F,City/County,EL DORADO,Not Your Emergency Room (or No ER),337
2009,100005,CLOVIS COMMUNITY MEDICAL CENTER,Non-Profit,FRESNO,Your Emergency Room,3588
2009,100005,CLOVIS COMMUNITY MEDICAL CENTER,Non-Profit,FRESNO,Not Your Emergency Room (or No ER),9550
2009,100005,CLOVIS COMMUNITY MEDICAL CENTER,Non-Profit,FRESNO,Unknown,1
2009,100697,COALINGA REGIONAL MEDICAL CENTER,District,FRESNO,Your Emergency Room,1069
2009,100697,COALINGA REGIONAL MEDICAL CENTER,District,FRESNO,Not Your Emergency Room (or No ER),209
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Non-Profit,FRESNO,Your Emergency Room,20631
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Non-Profit,FRESNO,Not Your Emergency Room (or No ER),21528
2009,100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Non-Profit,FRESNO,Unknown,2
2009,100745,KINGSBURG MEDICAL CENTER,District,FRESNO,Not Your Emergency Room (or No ER),45
2009,100797,SIERRA KINGS DISTRICT HOSPITAL,District,FRESNO,Your Emergency Room,742
2009,100797,SIERRA KINGS DISTRICT HOSPITAL,District,FRESNO,Not Your Emergency Room (or No ER),3314
2009,100899,ST. AGNES MEDICAL CENTER,Non-Profit,FRESNO,Your Emergency Room,14594
2009,100899,ST. AGNES MEDICAL CENTER,Non-Profit,FRESNO,Not Your Emergency Room (or No ER),13092
2009,104023,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,Investor,FRESNO,Not Your Emergency Room (or No ER),1394
2009,104047,FRESNO SURGICAL HOSPITAL,Investor,FRESNO,Not Your Emergency Room (or No ER),2280
2009,104062,KAISER FND HOSP - FRESNO,Non-Profit,FRESNO,Your Emergency Room,4178
2009,104062,KAISER FND HOSP - FRESNO,Non-Profit,FRESNO,Not Your Emergency Room (or No ER),4586
2009,104089,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-FRESNO,City/County,FRESNO,Not Your Emergency Room (or No ER),897
2009,105029,FRESNO HEART AND SURGICAL HOSPITAL,Non-Profit,FRESNO,Not Your Emergency Room (or No ER),3633
2009,110889,GLENN MEDICAL CENTER,Non-Profit,GLENN,Your Emergency Room,276
2009,110889,GLENN MEDICAL CENTER,Non-Profit,GLENN,Not Your Emergency Room (or No ER),29
2009,121002,MAD RIVER COMMUNITY HOSPITAL,Investor,HUMBOLDT,Your Emergency Room,1319
2009,121002,MAD RIVER COMMUNITY HOSPITAL,Investor,HUMBOLDT,Not Your Emergency Room (or No ER),1260
2009,121031,JEROLD PHELPS COMMUNITY HOSPITAL,District,HUMBOLDT,Your Emergency Room,27
2009,121031,JEROLD PHELPS COMMUNITY HOSPITAL,District,HUMBOLDT,Not Your Emergency Room (or No ER),56
2009,121051,REDWOOD MEMORIAL HOSPITAL,Non-Profit,HUMBOLDT,Your Emergency Room,860
2009,121051,REDWOOD MEMORIAL HOSPITAL,Non-Profit,HUMBOLDT,Not Your Emergency Room (or No ER),1216
2009,121080,ST. JOSEPH HOSPITAL - EUREKA,Non-Profit,HUMBOLDT,Your Emergency Room,3413
2009,121080,ST. JOSEPH HOSPITAL - EUREKA,Non-Profit,HUMBOLDT,Not Your Emergency Room (or No ER),3868
2009,124004,SEMPERVIRENS P.H.F.,City/County,HUMBOLDT,Not Your Emergency Room (or No ER),637
2009,130699,EL CENTRO REGIONAL MEDICAL CENTER,City/County,IMPERIAL,Your Emergency Room,3854
2009,130699,EL CENTRO REGIONAL MEDICAL CENTER,City/County,IMPERIAL,Not Your Emergency Room (or No ER),3759
2009,130760,PIONEERS MEMORIAL HOSPITAL,District,IMPERIAL,Your Emergency Room,3204
2009,130760,PIONEERS MEMORIAL HOSPITAL,District,IMPERIAL,Not Your Emergency Room (or No ER),4254
2009,141273,NORTHERN INYO HOSPITAL,District,INYO,Your Emergency Room,617
2009,141273,NORTHERN INYO HOSPITAL,District,INYO,Not Your Emergency Room (or No ER),669
2009,141338,SOUTHERN INYO HOSPITAL,District,INYO,Your Emergency Room,22
2009,141338,SOUTHERN INYO HOSPITAL,District,INYO,Not Your Emergency Room (or No ER),27
2009,150706,DELANO REGIONAL MEDICAL CENTER,Non-Profit,KERN,Your Emergency Room,1994
2009,150706,DELANO REGIONAL MEDICAL CENTER,Non-Profit,KERN,Not Your Emergency Room (or No ER),2834
2009,150722,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,Non-Profit,KERN,Your Emergency Room,7742
2009,150722,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,Non-Profit,KERN,Not Your Emergency Room (or No ER),12461
2009,150736,KERN MEDICAL CENTER,City/County,KERN,Your Emergency Room,5365
2009,150736,KERN MEDICAL CENTER,City/County,KERN,Not Your Emergency Room (or No ER),10145
2009,150737,KERN VALLEY HEALTHCARE DISTRICT,District,KERN,Your Emergency Room,720
2009,150737,KERN VALLEY HEALTHCARE DISTRICT,District,KERN,Not Your Emergency Room (or No ER),211
2009,150761,MERCY HOSPITAL - BAKERSFIELD,Non-Profit,KERN,Your Emergency Room,7766
2009,150761,MERCY HOSPITAL - BAKERSFIELD,Non-Profit,KERN,Not Your Emergency Room (or No ER),7117
2009,150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,Investor,KERN,Not Your Emergency Room (or No ER),3714
2009,150782,RIDGECREST REGIONAL HOSPITAL,Non-Profit,KERN,Your Emergency Room,1657
2009,150782,RIDGECREST REGIONAL HOSPITAL,Non-Profit,KERN,Not Your Emergency Room (or No ER),1589
2009,150788,SAN JOAQUIN COMMUNITY HOSPITAL,Non-Profit,KERN,Your Emergency Room,9783
2009,150788,SAN JOAQUIN COMMUNITY HOSPITAL,Non-Profit,KERN,Not Your Emergency Room (or No ER),9750
2009,150808,TEHACHAPI HOSPITAL,District,KERN,Your Emergency Room,187
2009,150808,TEHACHAPI HOSPITAL,District,KERN,Not Your Emergency Room (or No ER),39
2009,154022,HEALTHSOUTH BAKERSFIELD REHABILITATION HOSPITAL,Investor,KERN,Not Your Emergency Room (or No ER),1478
2009,154101,BAKERSFIELD HEART HOSPITAL,Investor,KERN,Your Emergency Room,2924
2009,154101,BAKERSFIELD HEART HOSPITAL,Investor,KERN,Not Your Emergency Room (or No ER),899
2009,154147,CRESTWOOD PSYCHIATRIC HEALTH FACILITY-BAKERSFIELD,Investor,KERN,Not Your Emergency Room (or No ER),594
2009,160702,CORCORAN DISTRICT HOSPITAL,District,KINGS,Your Emergency Room,319
2009,160702,CORCORAN DISTRICT HOSPITAL,District,KINGS,Not Your Emergency Room (or No ER),20
2009,160725,HANFORD COMMUNITY MEDICAL CENTER,Non-Profit,KINGS,Your Emergency Room,6420
2009,160725,HANFORD COMMUNITY MEDICAL CENTER,Non-Profit,KINGS,Not Your Emergency Room (or No ER),4230
2009,160787,CENTRAL VALLEY GENERAL HOSPITAL,Non-Profit,KINGS,Your Emergency Room,1172
2009,160787,CENTRAL VALLEY GENERAL HOSPITAL,Non-Profit,KINGS,Not Your Emergency Room (or No ER),5149
2009,171049,ST. HELENA HOSPITAL - CLEARLAKE,Non-Profit,LAKE,Your Emergency Room,1357
2009,171049,ST. HELENA HOSPITAL - CLEARLAKE,Non-Profit,LAKE,Not Your Emergency Room (or No ER),567
2009,171395,SUTTER LAKESIDE HOSPITAL,Non-Profit,LAKE,Your Emergency Room,1340
2009,171395,SUTTER LAKESIDE HOSPITAL,Non-Profit,LAKE,Not Your Emergency Room (or No ER),1229
2009,184008,BANNER LASSEN MEDICAL CENTER,Non-Profit,LASSEN,Your Emergency Room,961
2009,184008,BANNER LASSEN MEDICAL CENTER,Non-Profit,LASSEN,Not Your Emergency Room (or No ER),738
2009,190017,ALHAMBRA HOSPITAL,Investor,LOS ANGELES,Your Emergency Room,2789
2009,190017,ALHAMBRA HOSPITAL,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),1092
2009,190020,BHC ALHAMBRA HOSPITAL,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),4019
2009,190034,ANTELOPE VALLEY HOSPITAL,District,LOS ANGELES,Your Emergency Room,15140
2009,190034,ANTELOPE VALLEY HOSPITAL,District,LOS ANGELES,Not Your Emergency Room (or No ER),14844
2009,190045,CATALINA ISLAND MEDICAL CENTER,Non-Profit,LOS ANGELES,Your Emergency Room,17
2009,190045,CATALINA ISLAND MEDICAL CENTER,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),18
2009,190049,KINDRED HOSPITAL BALDWIN PARK,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),724
2009,190052,BARLOW RESPIRATORY HOSPITAL,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),696
2009,190053,ST. MARY MEDICAL CENTER,Non-Profit,LOS ANGELES,Your Emergency Room,5705
2009,190053,ST. MARY MEDICAL CENTER,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),8698
2009,190053,ST. MARY MEDICAL CENTER,Non-Profit,LOS ANGELES,Unknown,3
2009,190066,BELLFLOWER MEDICAL CENTER,Investor,LOS ANGELES,Your Emergency Room,2034
2009,190066,BELLFLOWER MEDICAL CENTER,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),4131
2009,190081,BEVERLY HOSPITAL,Non-Profit,LOS ANGELES,Your Emergency Room,5771
2009,190081,BEVERLY HOSPITAL,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),4828
2009,190110,BROTMAN MEDICAL CENTER,Investor,LOS ANGELES,Your Emergency Room,4631
2009,190110,BROTMAN MEDICAL CENTER,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),3615
2009,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,Non-Profit,LOS ANGELES,Your Emergency Room,9564
2009,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),11139
2009,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,Non-Profit,LOS ANGELES,Unknown,1
2009,190137,CASA COLINA HOSPITAL FOR REHAB MEDICINE,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),1352
2009,190148,CENTINELA HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Your Emergency Room,15785
2009,190148,CENTINELA HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),4757
2009,190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),1077
2009,190159,TRI-CITY REGIONAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Your Emergency Room,2122
2009,190159,TRI-CITY REGIONAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),1462
2009,190163,AURORA CHARTER OAK,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),4641
2009,190170,CHILDREN'S HOSPITAL OF LOS ANGELES,Non-Profit,LOS ANGELES,Your Emergency Room,4769
2009,190170,CHILDREN'S HOSPITAL OF LOS ANGELES,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),6308
2009,190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Non-Profit,LOS ANGELES,Your Emergency Room,2
2009,190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),6339
2009,190184,COLLEGE HOSPITAL,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),6759
2009,190196,KINDRED HOSPITAL SOUTH BAY,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),887
2009,190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,Investor,LOS ANGELES,Your Emergency Room,3486
2009,190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),513
2009,190198,LOS ANGELES COMMUNITY HOSPITAL,Investor,LOS ANGELES,Your Emergency Room,2599
2009,190198,LOS ANGELES COMMUNITY HOSPITAL,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),3374
2009,190200,SAN GABRIEL VALLEY MEDICAL CENTER,Investor,LOS ANGELES,Your Emergency Room,4181
2009,190200,SAN GABRIEL VALLEY MEDICAL CENTER,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),5771
2009,190232,DEL AMO HOSPITAL,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),4579
2009,190240,LAKEWOOD REGIONAL MEDICAL CENTER,Investor,LOS ANGELES,Your Emergency Room,5172
2009,190240,LAKEWOOD REGIONAL MEDICAL CENTER,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),2499
2009,190243,DOWNEY REGIONAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Your Emergency Room,8849
2009,190243,DOWNEY REGIONAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),5944
2009,190256,EAST LOS ANGELES DOCTORS HOSPITAL,Investor,LOS ANGELES,Your Emergency Room,3137
2009,190256,EAST LOS ANGELES DOCTORS HOSPITAL,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),1890
2009,190256,EAST LOS ANGELES DOCTORS HOSPITAL,Investor,LOS ANGELES,Unknown,2
2009,190280,ENCINO HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Your Emergency Room,2379
2009,190280,ENCINO HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),325
2009,190298,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,Non-Profit,LOS ANGELES,Your Emergency Room,3911
2009,190298,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),2490
2009,190305,KINDRED HOSPITAL - LOS ANGELES,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),825
2009,190307,"PACIFIC ALLIANCE MEDICAL CENTER, INC.",Investor,LOS ANGELES,Not Your Emergency Room (or No ER),7105
2009,190307,"PACIFIC ALLIANCE MEDICAL CENTER, INC.",Investor,LOS ANGELES,Unknown,1
2009,190315,GARFIELD MEDICAL CENTER,Investor,LOS ANGELES,Your Emergency Room,5811
2009,190315,GARFIELD MEDICAL CENTER,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),8878
2009,190317,GATEWAYS HOSPITAL AND MENTAL HEALTH CENTER,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),854
2009,190323,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,Non-Profit,LOS ANGELES,Your Emergency Room,11511
2009,190323,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),10180
2009,190328,EAST VALLEY HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Your Emergency Room,1481
2009,190328,EAST VALLEY HOSPITAL MEDICAL CENTER,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),655
2009,190352,GREATER EL MONTE COMMUNITY HOSPITAL,Investor,LOS ANGELES,Your Emergency Room,2374
2009,190352,GREATER EL MONTE COMMUNITY HOSPITAL,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),1897
2009,190380,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),3556
2009,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Investor,LOS ANGELES,Your Emergency Room,7150
2009,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),14688
2009,190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,Non-Profit,LOS ANGELES,Your Emergency Room,9427
2009,190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),8155
2009,190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,Non-Profit,LOS ANGELES,Your Emergency Room,6514
2009,190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),14505
2009,190400,HUNTINGTON MEMORIAL HOSPITAL,Non-Profit,LOS ANGELES,Your Emergency Room,15634
2009,190400,HUNTINGTON MEMORIAL HOSPITAL,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),15556
2009,190410,SILVER LAKE MEDICAL CENTER-INGLESIDE CAMPUS,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),2774
2009,190413,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,Non-Profit,LOS ANGELES,Your Emergency Room,5561
2009,190413,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),3167
2009,190422,TORRANCE MEMORIAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Your Emergency Room,13035
2009,190422,TORRANCE MEMORIAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),15370
2009,190422,TORRANCE MEMORIAL MEDICAL CENTER,Non-Profit,LOS ANGELES,Unknown,7
2009,190429,KAISER FND HOSP - SUNSET,Non-Profit,LOS ANGELES,Your Emergency Room,9197
2009,190429,KAISER FND HOSP - SUNSET,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),15962
2009,190430,KAISER FND HOSP - BELLFLOWER,Non-Profit,LOS ANGELES,Your Emergency Room,8111
2009,190430,KAISER FND HOSP - BELLFLOWER,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),7941
2009,190431,KAISER FND HOSP - SOUTH BAY,Non-Profit,LOS ANGELES,Your Emergency Room,8309
2009,190431,KAISER FND HOSP - SOUTH BAY,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),8280
2009,190432,KAISER FND HOSP - PANORAMA CITY,Non-Profit,LOS ANGELES,Your Emergency Room,7996
2009,190432,KAISER FND HOSP - PANORAMA CITY,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),8548
2009,190434,KAISER FND HOSP - WEST LA,Non-Profit,LOS ANGELES,Your Emergency Room,6904
2009,190434,KAISER FND HOSP - WEST LA,Non-Profit,LOS ANGELES,Not Your Emergency Room (or No ER),7202
2009,190449,KINDRED HOSPITAL - LA MIRADA,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),2249
2009,190455,LANCASTER COMMUNITY HOSPITAL,Investor,LOS ANGELES,Your Emergency Room,4513
2009,190455,LANCASTER COMMUNITY HOSPITAL,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),1607
2009,190462,"AURORA LAS ENCINAS HOSPITAL, LLC",Investor,LOS ANGELES,Not Your Emergency Room (or No ER),2461
2009,190468,PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS,Investor,LOS ANGELES,Not Your Emergency Room (or No ER),1547
2009,190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,Non-Profit,LOS ANGELES,Your Emergency Room,12088
